sample_quantile,theoretical_quantile
-6.397109064276941,-2.3263286980256237
-6.342471442827467,-2.3190354396131925
-6.140156748508426,-2.311863489157642
-6.117181032462926,-2.304808520156914
-6.112881679186137,-2.297866437558148
-5.846212929974979,-2.291033361408983
-5.7439228631763495,-2.2843056119335863
-5.734722588509397,-2.277679695886577
-5.704524508574958,-2.27115229405538
-5.367132971708796,-2.2647202497966368
-5.18064249226083,-2.258380558505384
-3.957931022574893,-2.2521303579271326
-3.41539101199086,-2.2459669192329272
-3.352781358490922,-2.239887638786209
-3.2754696240861914,-2.233890030537922
-3.192473920235403,-2.2279717189930417
-3.107977357013455,-2.2221304326976172
-3.025998621714602,-2.216363998200653
-2.915729797416857,-2.2106703344497483
-2.870748714262538,-2.205047447583543
-2.7929331738876124,-2.1994934260876198
-2.753172668122591,-2.1940064362837535
-2.706333938275339,-2.1885847181252727
-2.700874160313227,-2.183226581273872
-2.693198337136751,-2.1779304014354994
-2.6822345046457263,-2.172694616934983
-2.645893138718651,-2.1675177255109386
-2.6084403989996914,-2.162398281314104
-2.596028193942185,-2.1573348920937625
-2.5579240415486555,-2.1523262165582495
-2.5525025910434382,-2.1473709618967303
-2.534356076893586,-2.1424678814505356
-2.507208053915317,-2.1376157725233167
-2.4850794551612116,-2.1328134743201823
-2.408968809159147,-2.128059866006778
-2.3948167666064273,-2.123353864879999
-2.3903447740161585,-2.1186944246426935
-2.389582376284863,-2.1140805337753354
-2.3740211771627355,-2.1095112139981627
-2.3647961407510194,-2.1049855188178026
-2.363473455411929,-2.100502532152863
-2.3146337558275802,-2.0960613670333754
-2.2972744978501245,-2.0916611643693614
-2.284624200159864,-2.08730109178416
-2.2535449113992905,-2.0829803425084363
-2.2485411777466204,-2.0786981343311344
-2.2410735860125057,-2.0744537086038664
-2.2282713191424746,-2.070246329295498
-2.2236837314011684,-2.06607528209392
-2.2195043953461147,-2.061939873552184
-2.2000891764894455,-2.0578394302764136
-2.1950773202519267,-2.0537732981530263
-2.179821547881929,-2.0497408416130254
-2.163328772544609,-2.045741442931221
-2.156338441224715,-2.041774501558405
-2.1560098420068217,-2.0378394334846512
-2.141364863646296,-2.033935670631982
-2.1247777379451973,-2.0300626602748055
-2.114100042995412,-2.0262198644866016
-2.095679429013404,-2.0224067596114397
-2.095077772697708,-2.0186228357589964
-2.0911032825204265,-2.0148675963218348
-2.08848894378754,-2.0111405575137553
-2.0780745327074706,-2.0074412479281434
-2.0669209826635235,-2.0037692081152647
-2.0512880765434525,-2.000123990177542
-2.050944646090188,-1.9965051573818993
-2.0495613460523914,-1.992912283788321
-2.042795606643738,-1.9893449538938037
-2.0272890145707314,-1.9858027622909482
-2.0195476672431925,-1.9822853133404748
-2.0173633155977426,-1.9787922208569702
-1.9950832446401083,-1.9753231078072477
-1.9936472357749417,-1.9718776060206962
-1.9743989505865709,-1.9684553559110627
-1.9590321067172478,-1.9650560062091227
-1.9381592687271503,-1.9616792137057322
-1.936778724462196,-1.9583246430047754
-1.8791577702068503,-1.9549919662855582
-1.8780701602160128,-1.9516808630742148
-1.8771960776807806,-1.948391020023715
-1.8616934253368589,-1.945122130702088
-1.8485447130080663,-1.9418738953884984
-1.83337198426905,-1.938646020876823
-1.8331604067758565,-1.935438220286398
-1.8196916154574283,-1.9322502128796284
-1.806341694272444,-1.9290817238861568
-1.8059497888848681,-1.9259324843333143
-1.8038259194928439,-1.9228022308825783
-1.7948353380628161,-1.9196907056717962
-1.7846687663849234,-1.9165976561629092
-1.776628091567444,-1.9135228349949778
-1.7738969591521676,-1.910465999842256
-1.7682821120549062,-1.90742691327713
-1.759341140417073,-1.9044053426377154
-1.7576990373075956,-1.9014010598999156
-1.7523491314617798,-1.898413841553774
-1.7522876743639901,-1.8954434684839387
-1.7470699368081704,-1.892489725854083
-1.745847819760672,-1.8895524029951163
-1.7410941851695205,-1.886631293297043
-1.736922854991415,-1.8837261941043328
-1.7301738662033401,-1.8808369066146458
-1.72844221742587,-1.8779632357808094
-1.696789839509738,-1.8751049902159018
-1.681581043856477,-1.8722619821013364
-1.6672387004540559,-1.8694340270978245
-1.666545058233939,-1.8666209442591188
-1.6645437397808527,-1.8638225559484223
-1.6616707709956646,-1.8610386877573744
-1.6537499645217266,-1.8582691684275128
-1.650706312040201,-1.8555138297741216
-1.648510192123653,-1.8527725066123806
-1.6456265362803302,-1.8500450366857304
-1.6392977119960082,-1.8473312605963768
-1.6345401924816265,-1.8446310217378539
-1.6315227486266102,-1.8419441662295764
-1.6294718032470652,-1.8392705428533118
-1.6282543631298667,-1.8366100029914947
-1.6236999171509712,-1.8339624005673374
-1.6209325763329865,-1.8313275919866585
-1.616336408597499,-1.828705436081376
-1.6152984746512973,-1.826095794054611
-1.6124740261364992,-1.823498529427341
-1.605357364470294,-1.8209135079865544
-1.5989894656317067,-1.8183405977348568
-1.5939085912446507,-1.815779668841473
-1.5904355685663905,-1.8132305935946105
-1.5849056175331775,-1.8106932463551262
-1.5848989011273518,-1.8081675035114648
-1.5810437048291714,-1.8056532434358177
-1.569943359924585,-1.8031503464414689
-1.5657042195228337,-1.800658694741291
-1.5625417051963109,-1.7981781724073433
-1.5623873808369537,-1.7957086653315528
-1.5600605032372765,-1.7932500611874276
-1.5587017029426378,-1.7908022493927829
-1.5515328145948866,-1.788365121073443
-1.5484253585073051,-1.7859385690278793
-1.5477183710061335,-1.783522487692775
-1.5425834816043391,-1.7811167731094697
-1.540761188830848,-1.7787213228912646
-1.5346814615427578,-1.776336036191563
-1.5344054497929835,-1.7739608136728178
-1.5343261012264364,-1.7715955574762587
-1.5336015123923823,-1.7692401711923857
-1.5224960630787765,-1.7668945598321912
-1.5108172685961143,-1.7645586297991054
-1.5077971344307382,-1.762232288861627
-1.5064501059624522,-1.7599154461266322
-1.5031787737603948,-1.7576080120133355
-1.5001165642113516,-1.7553098982278819
-1.4957360319917854,-1.7530210177385552
-1.4947034261488013,-1.750741284751593
-1.490416054998196,-1.7484706146875615
-1.4827583958883206,-1.7462089241583163
-1.480313417893211,-1.7439561309444969
-1.4755485088218776,-1.7417121539735556
-1.4742636755615028,-1.7394769132983072
-1.4699789998542974,-1.737250330075975
-1.4696247055521454,-1.7350323265477319
-1.469309484548825,-1.7328228260187069
-1.4684326317168985,-1.730621752838464
-1.4655959210592575,-1.7284290323819191
-1.462109176287027,-1.7262445910306992
-1.4537973781145863,-1.724068356154926
-1.4531482921147354,-1.7219002560954069
-1.4513387895372496,-1.7197402201462344
-1.450742091138492,-1.7175881785377725
-1.4456098825126698,-1.7154440624200198
-1.444693652336327,-1.71330780384635
-1.438289638219937,-1.7111793357576086
-1.4362287699825782,-1.709058591966556
-1.430448181907888,-1.7069455071426607
-1.4271785369987608,-1.7048400167972149
-1.4266538311684949,-1.7027420572687841
-1.4259694918331798,-1.7006515657089634
-1.4230274503839382,-1.6985684800684406
-1.4118787661655665,-1.6964927390833684
-1.4118367925000532,-1.6944242822620141
-1.4099626067046662,-1.6923630498717044
-1.4063413379397987,-1.690308982926038
-1.4053095943123706,-1.6882620231723782
-1.403829487236691,-1.686222113079593
-1.4015210368916375,-1.6841891958260702
-1.3975201809057214,-1.6821632152879635
-1.3945929988336199,-1.6801441160277
-1.3936319658856624,-1.6781318432827061
-1.392980012176977,-1.676126342954383
-1.3895529652518182,-1.674127561597295
-1.3861316757271431,-1.672135446408586
-1.3815735322365255,-1.6701499452176047
-1.3752973587213992,-1.6681710064757467
-1.3745671066519667,-1.6661985792464917
-1.3734280114436632,-1.664232613195652
-1.3690406926321002,-1.6622730585818044
-1.3645308491811896,-1.6603198662469199
-1.3631483033156209,-1.6583729876071764
-1.355465477223689,-1.6564323746439522
-1.3491051050405658,-1.6544979798949961
-1.3485588405817224,-1.6525697564457733
-1.3475862394582554,-1.6506476579209766
-1.346969544634243,-1.6487316384762054
-1.3464045310043569,-1.6468216527897985
-1.3458269069735895,-1.644917656054837
-1.3420240066901075,-1.6430196039712868
-1.3388900678536297,-1.6411274527383015
-1.3353184044429791,-1.6392411590466653
-1.3323533842575936,-1.6373606800713842
-1.3318474482166645,-1.6354859734644107
-1.3316713791099832,-1.6336169973475145
-1.3256760258075,-1.6317537103052786
-1.3241520163008593,-1.629896071378228
-1.3201361832657508,-1.6280440400560914
-1.3144994346717043,-1.6261975762711784
-1.3100572710589726,-1.6243566403918894
-1.3093409712758532,-1.622521193216338
-1.308286101542979,-1.6206911959660883
-1.303343411483507,-1.6188666102800173
-1.3032613453292883,-1.6170473982082758
-1.3029434273848506,-1.6152335222063658
-1.2978527872387544,-1.613424945129328
-1.2970566308999385,-1.6116216302260216
-1.2964191922591952,-1.6098235411335229
-1.2955273291469975,-1.6080306418716093
-1.2931634345349436,-1.6062428968373494
-1.293028147036291,-1.6044602707997901
-1.2887924817380585,-1.6026827288947294
-1.286804048014679,-1.600910236619591
-1.2867926670904088,-1.5991427598283805
-1.2849309372849214,-1.5973802647267348
-1.2842428525891498,-1.5956227178670561
-1.2802876741327367,-1.593870086143732
-1.2797950513178615,-1.5921223367884336
-1.2783653621039257,-1.5903794373654987
-1.2771007242769348,-1.588641355767394
-1.2764750120733424,-1.5869080602102523
-1.271692168776574,-1.5851795192294889
-1.2697509417293251,-1.5834557016754895
-1.2671169599450585,-1.5817365767093754
-1.2670418369299794,-1.5800221137988324
-1.2655207234274224,-1.578312282714019
-1.2645049930480956,-1.576607053523538
-1.2627100661480475,-1.5749063965904724
-1.261471212471948,-1.5732102825684975
-1.2606187790667571,-1.571518682398045
-1.2604276888015151,-1.569831567302539
-1.2604104612246416,-1.568148908784692
-1.2581566567558762,-1.5664706786228584
-1.2564348075595433,-1.5647968488674535
-1.2550369770828962,-1.5631273918374262
-1.2537988974049585,-1.5614622801167892
-1.2537405855017323,-1.5598014865512093
-1.2527573159953422,-1.5581449842446482
-1.251082364139121,-1.5564927465560596
-1.2502541142641366,-1.5548447470961393
-1.2402807997999306,-1.5532009597241274
-1.2398160891462928,-1.551561358544658
-1.2362677342149246,-1.5499259179046672
-1.2356905349602432,-1.5482946123903372
-1.2349608523784805,-1.546667416824105
-1.2340796950238142,-1.5450443062617
-1.230514014447313,-1.5434252559892443
-1.2300423327091572,-1.5418102415203885
-1.227603183924533,-1.5401992385934917
-1.2253632664909204,-1.5385922231688562
-1.223375146963721,-1.5369891714259891
-1.2229156060776187,-1.5353900597609185
-1.2214010043282977,-1.533794864783545
-1.2141068151621484,-1.5322035633150384
-1.2139422060801417,-1.5306161323852678
-1.213787242745908,-1.5290325492302757
-1.2104919802183634,-1.527452791289789
-1.2099438513216683,-1.525876836204768
-1.2087668679123824,-1.5243046618149931
-1.2059008028341882,-1.522736246156684
-1.204710147371349,-1.5211715674601596
-1.2041005731712835,-1.519610604147531
-1.1973819482931243,-1.5180533348304297
-1.1966199049915396,-1.5164997383077623
-1.1953419948118063,-1.5149497935635134
-1.195233377533398,-1.5134034797645661
-1.1944703523732967,-1.5118607762585647
-1.187267146327389,-1.5103216625718006
-1.1860994448276014,-1.5087861184071367
-1.1827444783147851,-1.5072541236419579
-1.1805196504494235,-1.5057256583261522
-1.1799182898506548,-1.5042007026801205
-1.1780679356425678,-1.5026792370928173
-1.1766481046422725,-1.5011612421198166
-1.1759879510439786,-1.499646698481409
-1.173276550715419,-1.498135587060722
-1.170764037367316,-1.496627888901873
-1.1702149063659737,-1.4951235852081421
-1.168873159431267,-1.493622657340173
-1.1686410098731803,-1.4921250868142057
-1.1678439589065264,-1.4906308553003227
-1.1677683263972125,-1.4891399446207287
-1.1670980988102395,-1.4876523367480534
-1.1670241014869984,-1.4861680138036717
-1.1649690299523776,-1.4846869580560589
-1.164310028454394,-1.483209151919154
-1.1625419328056443,-1.4817345779507602
-1.1622977516381754,-1.480263218850959
-1.1620425222624018,-1.4787950574605464
-1.1616238802794296,-1.4773300767594955
-1.1598732833449958,-1.475868259865435
-1.1593769923480242,-1.474409590032152
-1.1591714955076802,-1.4729540506481151
-1.1582273644623695,-1.471501625235013
-1.155216921969485,-1.4700522974463197
-1.1551143311684715,-1.4686060510658745
-1.153954109551627,-1.4671628700064832
-1.153094106779853,-1.465722738308537
-1.1504189698258485,-1.4642856401386508
-1.1488487224455115,-1.4628515597883192
-1.1435291026595917,-1.4614204816725918
-1.1432619852213253,-1.4599923903287624
-1.1432332867848967,-1.4585672704150814
-1.1429124053154285,-1.4571451067094787
-1.1422105529664648,-1.4557258841083107
-1.1418249530431535,-1.454309587625117
-1.1413220552447934,-1.452896202389397
-1.1391906918765604,-1.451485713645403
-1.1364812669747448,-1.4500781067509465
-1.1320283245689713,-1.448673367176223
-1.1295654390924283,-1.4472714805026508
-1.1295253907225522,-1.4458724324217223
-1.1285213099171176,-1.4444762087338745
-1.1278607029605443,-1.443082795347374
-1.126173896841196,-1.4416921782772085
-1.1247149106969916,-1.4403043436440057
-1.1234891401347138,-1.4389192776729542
-1.1209863635314505,-1.4375369666927431
-1.1208817866586605,-1.436157397134518
-1.1199512610176006,-1.434780555530844
-1.1186326431902598,-1.433406428514683
-1.1168479040748793,-1.432035002818392
-1.116304935228456,-1.4306662652727231
-1.1153000584695976,-1.4293002028058421
-1.1106425591345395,-1.4279368024423584
-1.108542949127701,-1.4265760513023646
-1.107104683615388,-1.4252179366004945
-1.107050245122031,-1.423862445644984
-1.1058118783762843,-1.4225095658367513
-1.105352941540472,-1.421159284668483
-1.1053517943461995,-1.4198115897237362
-1.1053299356623778,-1.4184664686760469
-1.1028696680609182,-1.4171239092880543
-1.1026252587067014,-1.4157838994106309
-1.102118622356742,-1.4144464269820256
-1.1020414498085827,-1.4131114800270206
-1.100419880067363,-1.4117790466560902
-1.1001341777896838,-1.410449115064579
-1.0987931121431938,-1.4091216735318841
-1.095337586038286,-1.4077967104206475
-1.095181437222539,-1.4064742141759625
-1.0934979124402717,-1.4051541733245847
-1.0907722818730636,-1.4038365764741554
-1.0904083324278997,-1.4025214123124325
-1.0889188287427234,-1.4012086696065322
-1.0882552097576355,-1.3998983372021798
-1.086350786450017,-1.3985904040229662
-1.084127607301875,-1.3972848590696172
-1.0818075003887,-1.3959816914192695
-1.081734891825702,-1.3946808902247558
-1.0806162082991262,-1.3933824447138974
-1.080302527355431,-1.392086344188806
-1.0768687511659216,-1.3907925780251935
-1.0735919734688124,-1.3895011356716889
-1.0733977000355646,-1.3882120066491648
-1.0693163735336817,-1.3869251805500715
-1.0691239827088668,-1.3856406470377758
-1.0668131690066718,-1.3843583958459127
-1.0665558088738218,-1.3830784167777384
-1.0664975757705357,-1.3818006997054981
-1.063576446180922,-1.3805252345697945
-1.062796769533664,-1.3792520113789657
-1.0626944559932254,-1.3779810202084706
-1.0618583070154692,-1.376712251200283
-1.0606934100086698,-1.3754456945622893
-1.0600514481593983,-1.3741813405676941
-1.060031105813129,-1.3729191795544349
-1.059935336960588,-1.371659201924599
-1.0584571077223928,-1.3704013981438512
-1.0569151760260973,-1.3691457587408662
-1.0556807616596655,-1.3678922743067665
-1.0538458259736587,-1.3666409354945661
-1.0536824572489962,-1.365391733018626
-1.052801632629105,-1.3641446576541063
-1.0525552224014314,-1.3628997002364336
-1.0523830434188064,-1.361656851660768
-1.0521261245763063,-1.360416102881478
-1.0517181109248415,-1.359177444911625
-1.0461765870664907,-1.3579408688224441
-1.0460635071145017,-1.3567063657428424
-1.0432496828863134,-1.3554739268588911
-1.0421393489363573,-1.3542435434133349
-1.0399693326568333,-1.353015206705095
-1.0389789494705173,-1.351788908088787
-1.0357249482817494,-1.350564638974239
-1.0351036616072575,-1.3493423908260165
-1.0346008629314623,-1.3481221551629505
-1.0340063742460142,-1.3469039235576763
-1.0336611210774178,-1.3456876876361676
-1.0325805326325088,-1.3444734390772866
-1.0324657980563217,-1.3432611696123307
-1.0315091553759965,-1.3420508710245869
-1.0284210112209344,-1.3408425351488917
-1.0283575367755722,-1.3396361538711965
-1.0278553183594945,-1.3384317191281327
-1.0271998578646644,-1.3372292229065887
-1.026683991154185,-1.336028657243282
-1.0229245333228068,-1.3348300142243488
-1.0215509041248472,-1.3336332859849234
-1.0211998874339094,-1.332438464708734
-1.020893319176377,-1.3312455426276932
-1.0200610084345243,-1.330054512021503
-1.0197133242736303,-1.3288653652172533
