bin_center,count
-6.398876732115875,21
-6.086857866081939,26
-5.7748390000480025,49
-5.462820134014067,5
-5.150801267980131,3
-4.838782401946195,2
-4.526763535912258,4
-4.214744669878322,7
-3.902725803844386,22
-3.5907069378104506,18
-3.2786880717765143,50
-2.966669205742578,63
-2.654650339708642,137
-2.342631473674706,203
-2.0306126076407702,364
-1.718593741606834,633
-1.4065748755728977,1329
-1.0945560095389615,2767
-0.7825371435050257,5291
-0.4705182774710899,8850
-0.15849941143715363,15074
0.15351945459678262,11159
0.46553832063071887,5141
0.7775571866646551,2949
1.089576052698591,1801
1.4015949187325272,1257
1.713613784766463,934
2.0256326508003983,652
2.3376515168343346,415
2.649670382868271,310
2.961689248902207,266
3.2737081149361433,230
3.5857269809700796,162
3.897745847004016,95
4.209764713037952,74
4.521783579071888,55
4.833802445105825,43
5.14582131113976,25
5.457840177173695,23
5.7698590432076315,21
6.081877909241568,12
6.393896775275504,11
6.70591564130944,12
7.0179345073433765,11
7.329953373377313,17
7.641972239411249,18
7.953991105445185,21
8.266009971479122,13
8.578028837513058,7
8.890047703546994,6
