container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio,day1_mape,energy_recovery_ratio,energy_actual,energy_predicted,variant_id
c_10032,0.36340013187466047,0.43822617542335457,0.689632769466307,0.7591168140352899,0.2881156770458189,0.3215228046901454,0.053837056574023774,0.0649223963590155,-0.06684926253663263,-0.04752193172487473,0.06343266816996744,0.004073725547641516,0.06422125483868964,10.74766657826749,0.004406442600935127,0.39698052025174557,0.0017492718761786819,v4_full
c_10034,3.6534194355786256,4.063566506281322,,,3.6534194355786256,4.063566506281322,0.11978424378946319,0.1332316887305352,0.5690641331255547,0.00490985151841461,0.13355997199754616,0.018772989511489868,0.14055850140365989,66.79194188079491,0.019677862509588195,1.891530974348445,0.037221286445856094,v4_full
c_10089,0.767673870394372,1.023028752217815,1.1531245106396222,1.6118449314799237,0.6725626734507388,0.8147152629477666,0.05483384788531228,0.0730734823012725,-0.01645403280177527,-0.11221613683311649,0.06928914592205651,0.004133176989853382,0.05965114643645342,7.746127716334378,0.003214647202777384,0.5101779667327826,0.0016400421736761928,v4_full
c_10132,0.6196058117949845,0.7643476561532144,1.4012439960023013,1.4487179559423191,0.47485799990474065,0.5511387633158832,0.15490145294874613,0.1910869140383036,-0.058528459163100656,-0.01408580888204769,0.18975515988932884,0.012183593586087227,0.06420691586565067,22.147837288249963,0.00740243714447875,3.496608049032525,0.025883421301841736,v4_full
c_1016,0.3664883680805537,0.5129985306864215,1.3114889846445306,1.4453235385184438,0.28057922112019207,0.31174724302078327,0.0261777405771824,0.03664275219188724,0.01568520261956345,-0.013975935904075198,0.03638934692361461,0.002862153574824333,0.07865361202640761,15.380570114488526,0.009249854201717674,0.12738783139317833,0.0011783188674598932,v4_full
c_10306,0.35155502809090056,0.4028470925732247,0.511024940220632,0.5289473316456463,0.304145054214494,0.3568662162658351,0.10044429374025732,0.11509916930663563,-0.18960369644521788,-0.022058933389205393,0.11385031065216984,0.004329907242208719,0.03803158039188184,1534.7666715333326,0.0014420771239812777,1.2524947054889028,0.0018061939626932144,v4_full
c_10312,0.2940309843369499,0.3743786034983919,0.4403273275036934,0.5222693981037331,0.23969234258930236,0.30150569981877057,0.008400885266769997,0.010696531528525483,0.30225612657670536,0.0736428757319132,0.011113574180935965,0.002833187347277999,0.2549303492424606,23.090123069709943,0.10788221852010646,0.013423386081979398,0.0014481446705758572,v4_full
c_10382,0.5543890187592778,0.794296988125394,1.1069437479594308,1.4777316900415889,0.4520640689073976,0.5859652319440773,0.06929862734490971,0.09928712351567424,-0.08759918671264745,-0.023766638835087672,0.0981278858542851,0.0030690839048475027,0.03127636836490023,14.687621897378111,0.0010731534152710403,0.9431274051745839,0.001012120395898819,v4_full
c_10393,1.1506845592415649,1.492281047793173,2.478908165983994,2.544995223525069,1.013282117164762,1.3368759924436013,0.0547945028210269,0.07106100227586538,-0.015234320782227542,-0.006321355766488956,0.07083746059594516,0.00465144868940115,0.06566368486771257,10.133529925231137,0.004521841972343718,0.4818709267103174,0.002178944181650877,v4_full
c_10641,0.5597429700593731,0.7390093581302738,0.8355636219213305,0.9957731990772336,0.3163718066517636,0.3912912744569312,0.026654427145684435,0.035190921815727326,0.049308102585441535,-0.24419046563192603,0.03154911700302905,0.002414072398096323,0.07651790691525681,11.153161269869464,0.009193742088448809,0.12723148627102296,0.0011697334703058004,v4_full
