dominant_freq,dominant_period_steps,daily_freq_power_fraction,peak_power,total_power,container_id
0.0013020833333333333,768.0,0.02147511616989501,249.9075849384204,730.0629175289757,c_10032
0.001303780964797914,767.0,0.06569294886340053,1723.7409618684674,6668.669152966645,c_10034
0.0026041666666666665,384.0,0.003083543379566761,30.37567820493212,888.3783552181842,c_10089
0.3285340314136126,3.043824701195219,0.000893116981054871,9.690482753447226,508.24646803905716,c_10132
0.08463541666666666,11.815384615384616,0.0002587213240337667,7.546646543409826,386.5101958278144,c_1016
0.04427083333333333,22.58823529411765,0.0008435015065257564,2.485590909982409,115.08451798007866,c_10306
0.014322916666666666,69.81818181818183,9.894740912589179e-05,22.203530687650222,1824.715404625529,c_10312
0.05078125,19.692307692307693,0.001192544540098608,9.463851310690332,373.22833881124086,c_10382
0.006510416666666666,153.60000000000002,0.006127330880157549,185.79557201113988,2792.719802710064,c_10393
0.001303780964797914,767.0,0.0033304957534274313,51.2859695323437,1168.1059834571959,c_10641
0.01953125,51.2,0.009394689038883219,13.385210375991308,345.96474812881036,c_10695
0.002617801047120419,382.0,0.0021868356091163605,343.0040450054812,3790.8344998902394,c_10733
0.009114583333333332,109.71428571428572,0.0022280691013381046,5.510558561242444,257.8832857428762,c_10878
0.08072916666666666,12.38709677419355,0.005281221761824943,7.085242395121617,330.0624479889467,c_10898
0.0013054830287206266,766.0,0.0017841258175837992,1159.5191024449928,11019.917692558884,c_11013
0.0546875,18.285714285714285,0.0005245411699235989,2936.519488134603,150557.04967783252,c_11087
0.0013054830287206266,766.0,0.010661343796601653,619.5652674599529,3255.409108131382,c_11203
0.009114583333333332,109.71428571428572,0.005803563023344014,224.67286861698787,4843.531662386011,c_11307
0.00261437908496732,382.5,0.008368007852859296,15.95484258157867,500.4443135572236,c_11327
0.005249343832020997,190.5,0.002045483778615607,144.0380806100528,4019.486331615327,c_11461
0.001303780964797914,767.0,0.0062503618070750685,195.95399418589415,4182.123927703936,c_11735
0.0392156862745098,25.5,0.0005424213965782511,4.780058222778658,250.65383970838013,c_11752
