container_id,origin_index,origin_timestamp,hybrid_mae,hybrid_rmse,prophet_mae,prophet_rmse,n_history_steps,rolling_hybrid_mae,rolling_hybrid_rmse,rolling_prophet_mae,rolling_prophet_rmse,baseline_hybrid_mae,baseline_hybrid_rmse,baseline_prophet_mae
c_10032,200,1970-01-04 01:45:00,1.0256047230364447,1.3622427197863307,1.0282023272562173,1.3638766242155589,200,1.0256047230364447,1.3622427197863307,1.0282023272562173,1.3638766242155589,0.3531221154126398,0.4327977328186703,1.0282023272562173
c_10032,296,1970-01-05 01:45:00,1.2893014735554529,1.5141215862850492,1.2924781605164892,1.5166990155720983,296,1.1574530982959488,1.43818215303569,1.1603402438863533,1.4402878198938285,0.3531221154126398,0.4327977328186703,1.0282023272562173
c_10032,392,1970-01-06 01:45:00,0.738772352564172,0.8456230973083346,0.7297418404213313,0.8346935600650048,392,1.0178928497186899,1.240662467793238,1.016807442731346,1.238423066617554,0.3531221154126398,0.4327977328186703,1.0282023272562173
c_10032,488,1970-01-07 01:45:00,0.524621026379489,0.6394944997255343,0.5245119831182845,0.6391447654083089,488,0.8508982841663714,0.9997463944396393,0.848910661352035,0.9968457803484706,0.3531221154126398,0.4327977328186703,1.0282023272562173
c_10032,584,1970-01-08 01:45:00,0.36663773766609714,0.43480602412369035,0.36440000640372716,0.43391548320137285,584,0.5433437055365861,0.6399745403858531,0.539551276647781,0.6359179362248956,0.3531221154126398,0.4327977328186703,1.0282023272562173
c_10034,200,1970-01-04 01:45:00,0.9043154219915251,1.1871872447786527,0.919594878445659,1.1875131230284,200,0.9043154219915251,1.1871872447786527,0.919594878445659,1.1875131230284,3.6561898548874816,4.107339381144937,0.919594878445659
c_10034,296,1970-01-05 01:45:00,1.1981643215473434,1.4640827670643828,1.179657616330734,1.4439082865170423,296,1.0512398717694342,1.3256350059215176,1.0496262473881965,1.3157107047727212,3.6561898548874816,4.107339381144937,0.919594878445659
c_10034,392,1970-01-06 01:45:00,0.9196931354611767,1.1438634349429677,0.9193451789219744,1.144455355302218,392,1.007390959666682,1.265044482262001,1.0061992245661224,1.2586255882825534,3.6561898548874816,4.107339381144937,0.919594878445659
c_10034,488,1970-01-07 01:45:00,2.5629277728448434,3.7440171359114047,2.559559259716432,3.738912288803294,488,1.5602617432844543,2.1173211126395852,1.5528540183230468,2.109091976874185,3.6561898548874816,4.107339381144937,0.919594878445659
c_10034,584,1970-01-08 01:45:00,3.9934535040723596,4.786080999067296,3.82704198058464,4.624515289131532,584,2.492024804126127,3.224653856640556,2.4353154730743487,3.1692943110790144,3.6561898548874816,4.107339381144937,0.919594878445659
c_10089,200,1970-01-04 01:45:00,1.019238325969895,1.2021392569707054,1.030325945255152,1.2092643242626364,200,1.019238325969895,1.2021392569707054,1.030325945255152,1.2092643242626364,0.767384200123057,1.024064625455502,1.030325945255152
c_10089,296,1970-01-05 01:45:00,0.8641209110956959,1.1769570886916019,0.8658341259874233,1.1776895759780646,296,0.9416796185327954,1.1895481728311537,0.9480800356212877,1.1934769501203504,0.767384200123057,1.024064625455502,1.030325945255152
c_10089,392,1970-01-06 01:45:00,0.8088162874776709,0.9668020900720367,0.8133884255459424,0.9742141861138833,392,0.8973918415144206,1.1152994785781145,0.9031828322628392,1.1203893621181946,0.767384200123057,1.024064625455502,1.030325945255152
c_10089,488,1970-01-07 01:45:00,0.89591599778106,1.2957692877033273,0.8978425439537494,1.2980976612846413,488,0.8562843987848089,1.146509488822322,0.8590216984957051,1.150000474458863,0.767384200123057,1.024064625455502,1.030325945255152
c_10089,584,1970-01-08 01:45:00,0.9499605352883087,1.24026090353653,0.9349725872796069,1.228177153765045,584,0.8848976068490132,1.167610760437298,0.8820678522597664,1.1668296670545233,0.767384200123057,1.024064625455502,1.030325945255152
c_10132,200,1970-01-04 01:45:00,0.8747481632679254,1.0261283643509842,0.877261565809869,1.0285545739087596,200,0.8747481632679254,1.0261283643509842,0.877261565809869,1.0285545739087596,0.6161709487152378,0.7626872448676484,0.877261565809869
c_10132,296,1970-01-05 01:45:00,0.6811169559898911,0.8362014319345745,0.684110047825118,0.8375420420769277,296,0.7779325596289082,0.9311648981427794,0.7806858068174936,0.9330483079928437,0.6161709487152378,0.7626872448676484,0.877261565809869
c_10132,392,1970-01-06 01:45:00,0.6723127076512018,0.8162485277068715,0.6698153311857787,0.8180187143487656,392,0.742725942303006,0.8928594413308101,0.7437289816069219,0.8947051101114843,0.6161709487152378,0.7626872448676484,0.877261565809869
c_10132,488,1970-01-07 01:45:00,0.5649441994829771,0.6919471561627119,0.5679531246297642,0.6921353086197618,488,0.63945795437469,0.7814657052680527,0.6406261678802203,0.7825653550151518,0.6161709487152378,0.7626872448676484,0.877261565809869
c_10132,584,1970-01-08 01:45:00,0.6859173696043296,0.872337125381406,0.6888026740081435,0.8739853858461695,584,0.6410580922461695,0.7935109364169964,0.6421903766078955,0.7947131362715657,0.6161709487152378,0.7626872448676484,0.877261565809869
