container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio,variant_id
c_10032,0.354751826564941,0.4337990547279598,0.6987455110796149,0.7669902175317923,0.2753686686000163,0.3096007275828195,0.05255582615776903,0.06426652662636441,-0.019692185601465836,-0.026463942071355495,0.06343266816996744,0.001744388434649521,0.02749984329802182,R0
c_10034,3.683029528703045,4.136243109655002,,,3.683029528703045,4.136243109655002,0.12075506651485395,0.13561452818540992,0.5612300870695783,-0.031002684411487236,0.13355997199754616,0.009700020797515085,0.07262670583438952,R0
c_10089,0.7642478761297022,1.0222237496316924,1.184469687668755,1.6312055750322292,0.6605567797759099,0.803875135047396,0.054589134009264434,0.07301598211654946,0.010066802131206351,-0.11046646048736819,0.06928914592205651,0.0011788090004701299,0.0170128955232927,R0
c_10132,0.6160243229081929,0.7624351270182302,1.4373259160918475,1.477903627793719,0.4639314352815902,0.5333624529527038,0.15400608072704822,0.19060878175455753,0.06334999911772782,-0.009017324148956396,0.18975515988932884,0.005082246537016711,0.026783179650982016,R0
c_1016,0.3443241377084727,0.5091426975165606,1.3570049682832424,1.4925038066739853,0.25226224401985725,0.2833481354153551,0.0245945812648909,0.03636733553689719,0.04259594298710369,0.0012094050261339806,0.03638934692361461,0.0014783330768552423,0.040625435789172916,R0
c_10306,0.3507541381072941,0.4016536053095306,0.5117892671134207,0.5289081173812622,0.30287882948385114,0.35513407946254416,0.10021546803065547,0.11475817294558018,-0.21802789681260915,-0.016011937333518356,0.11385031065216984,0.0025099180535975165,0.022045772551870332,R0
c_10312,0.32275528001927417,0.41601214657238633,0.5803695035791915,0.6557556727033695,0.22706999698273345,0.2786175854834656,0.00922157942912212,0.011886061330639611,0.18833420483058455,-0.14384829275371214,0.011113574180935965,0.000966373007713335,0.08695429498918851,R0
c_10382,0.5476742210214338,0.791161010511591,1.12422730265994,1.483826672610731,0.440905131829118,0.5780310082020762,0.06845927762767924,0.09889512631394888,0.06850918978304109,-0.01569869554535308,0.0981278858542851,0.004198608261446404,0.04278710607992842,R0
c_10393,1.141171166634196,1.4862413633754104,2.5260928356458208,2.605546002256694,0.9979034077709242,1.3172413516581625,0.0543414841254379,0.07077339825597193,0.0784495549902707,0.001807895761021916,0.07083746059594516,0.0013218770909812234,0.018660706917787078,R0
c_10641,0.584764181821736,0.7662593199366455,0.8962250065546903,1.043576931192089,0.3099458070573644,0.3798695505757194,0.027845913420082663,0.03648853904460216,0.1548076847899547,-0.33763779966137397,0.03154911700302905,0.0011471532526773067,0.03636086716998031,R0
c_10695,0.6399968685400088,0.8914540060609115,1.577172168501062,1.7308021975472665,0.39337178960288954,0.46420189816597063,0.12799937370800177,0.1782908012121823,-0.011139505358058547,-0.16512127399747878,0.16517464062341308,0.006410896678074104,0.03881283866504975,R0
c_10733,1.765055735396458,2.2288868726944235,1.7549038616933195,2.4340514263002353,1.7720017542459745,2.0768662073860495,0.11031598346227865,0.13930542954340144,0.09749727238031118,-0.02579891921694233,0.13754250356546124,0.001964846138242528,0.014285374246568004,R0
c_10878,0.41330076412281097,0.5570729980329933,0.8921364729277316,1.0120107068877755,0.31753362236182675,0.4093449107951164,0.0826601528245622,0.11141459960659866,0.12858013524239398,0.00468470286134981,0.11167649228047392,0.0023110138800992996,0.02069382582589737,R0
c_10898,0.5858819187739175,0.7740318041711166,1.621164672133647,1.7008365173228681,0.4091263267368904,0.45553766718156263,0.13019598194975943,0.17200706759358148,-0.05924861500549214,-0.09007124238128017,0.16474750672580932,0.004808177596316812,0.029185131185742938,R0
c_11013,2.7518268046784056,4.039726461628133,10.818279102632307,11.297222122875759,2.0185129594098687,2.49007942413945,0.061151706770631246,0.08977169914729184,0.11299568221338799,-0.20551611655953583,0.08176226895726244,0.004970278980947747,0.06078939643352777,R0
c_11087,6.342803152884804,12.174693704133857,43.27273763063107,48.61564061512877,4.313685873887757,5.148371608227801,0.06820218443962156,0.13091068499068664,-0.051522331906610784,-0.019265891172109972,0.1296675633068953,0.0025474000350385008,0.01964562277621699,R0
c_11203,1.426691486721843,2.3277842976159597,2.302036993399484,3.535640465411157,0.9681771737002213,1.3072374188139886,0.05095326738292296,0.08313515348628428,0.3334483141075306,-0.08801331563635628,0.07970170236445669,0.002055026062324146,0.025783966983879553,R0
c_11307,2.614987504932238,4.443122015007204,5.723721959798426,8.492675997756345,1.6907691534855336,2.0414819332498593,0.15382279440777868,0.26136011852983554,0.019662794822515303,-0.0021991499268290138,0.2610732066221621,0.0039018319399650803,0.01494535571247647,R0
c_11327,0.676386912312271,0.8351942522299488,1.070066265917788,1.2274506863079395,0.5916711020427293,0.7234931783951364,0.07515410136803012,0.09279936135888324,0.06580088353934223,-0.06383216584856766,0.08997221838383174,0.0023041969257312006,0.02561009350576679,R0
c_11461,1.4780012574737345,2.0476505772810336,3.451348170935137,4.1107449908981755,1.1410883698095926,1.4225563377529773,0.03464065447204065,0.047991810405024225,0.2569721932159836,-0.025431156266736643,0.04739296488727951,0.002491270577362401,0.05256625288769535,R0
c_11735,2.071351783347207,4.372018081921848,3.795676441756041,6.371474336017967,0.6123078416166557,0.968602214444433,0.058623163679637956,0.1237363608091089,-0.3227892550096382,-0.2537963396017311,0.11050548629851935,0.0011313574089841932,0.010238020272839179,R0
c_11752,0.48982470641073017,0.6048797667308126,0.8833090563888256,1.0185930917430221,0.3658501851847549,0.3927633345862719,0.09796494128214604,0.12097595334616251,0.15504736347280673,0.007212721826699964,0.1214146106621068,0.003567370741563078,0.029381725330330823,R0
c_1181,5.5193085573236536,8.999006809383424,20.443375872201397,22.667042996331713,3.3872989409125474,4.376269615699837,0.07560696653868017,0.12327406588196468,0.044052465655252615,-0.021861864140431342,0.12194826463056055,0.0015150065982973131,0.01242335512429792,R0
c_1186,0.9905433580651462,1.1777127420689164,1.0539336365529908,1.2505360538175279,0.9657384664829463,1.1479598139749059,0.04382935212677636,0.05211118327738567,0.29597397807469417,-0.05026124488227479,0.05084898222364692,0.0020262507846865447,0.03984840396164808,R0
c_11996,1.340843821644498,1.6566599189386546,2.7531472690350824,2.940867831787261,1.2466902584851258,1.5332677476171424,0.06384970579259515,0.07888856756850737,0.32351629563577766,0.0048676304635828505,0.07908127156080241,0.00333564990130462,0.04218002360697972,R0
c_12060,0.13930608179583795,0.23723262580247825,0.6127727161546102,0.6621129509380503,0.08425182198667838,0.1088459013945853,0.13930608179583795,0.23723262580247825,0.10470801159139177,-0.024352087006940693,0.23439577949258059,0.0055718363814190935,0.023771061038219167,R0
c_12158,1.9192632991797869,2.320316091774791,2.422366908283698,3.0260591497620846,1.8333675610400948,2.177077739914846,0.04652759513163118,0.05625008707332825,-0.1440823890907572,-0.11891597784451857,0.05317707695629051,0.002956657438543503,0.05560022490468516,R0
c_12164,0.7568379205846177,0.985141370391521,1.452471509245023,1.628908885318083,0.5500279347666595,0.6857109788324508,0.05821830158343213,0.07578010541473239,-0.016736852236019294,-0.03288936937848708,0.07456384607497801,0.0034532408005875275,0.046312535932160816,R0
c_12174,0.5768896312038359,0.7571177237902238,1.0423024536545524,1.1838323471255094,0.43025271454128133,0.5588179571827628,0.11537792624076719,0.1514235447580448,0.17623657306158996,-0.25872048623472343,0.134967361637456,0.009306990054725349,0.06895733858772032,R0
c_12189,0.4018722762477014,0.5157213298441952,0.5602867106633944,0.6708692906876028,0.3575162346113073,0.46305647368271075,0.029405288505929373,0.03773570706177039,0.01366805866051369,-0.057058125589442454,0.036703126232638626,0.0010808463289268592,0.02944834513757865,R0
c_12193,0.3174680013097813,0.421230394754351,0.9121471962502441,0.9497811858561851,0.22432547680103415,0.25285522434089164,0.0952404003929344,0.12636911842630533,0.016991852915634514,-0.04161484875336363,0.12381902349505995,0.0023554083082353485,0.019022992119860506,R0
c_12231,7.466480111216289,8.210096762834182,5.582441792592182,6.324753678105725,10.606543975589805,10.633797775602767,0.3294035343183657,0.362210151301508,-0.4715466777389318,-0.19220499292139448,0.33173030615852406,0.04057565857730351,0.12231519949797294,R0
c_12237,17.46695329882863,22.5060212949649,5.566894599120926,7.157777241331809,30.401799711554403,31.644879633547056,0.3119098803362256,0.40189323741008753,0.2056792159587334,-1.4949355372533133,0.2544374497366328,0.003816847933735662,0.015001124786018985,R0
c_12441,1.8332036283952942,3.373928933028855,4.054259846611762,6.339157289269998,1.320652193422263,2.176440243003606,0.028869348478666044,0.05313273910281661,-0.08919468444401789,-0.32107849848312253,0.04622723239499298,0.0012007019699800897,0.025973909917872167,R0
c_12517,1.125873944602316,1.368346790885015,1.7954448331338186,1.8905579837741002,0.836059679417039,1.065719062429268,0.060858051059584674,0.07396469139919006,0.1769338386021953,-0.562594605330456,0.05916996185245165,0.003346867295839671,0.05656362098365957,R0
c_12624,0.2756046579161196,0.3929168956481567,0.6294126923447552,0.6690119343793595,0.18249728043489966,0.2778984710047486,0.05905814098202561,0.08419647763889071,-0.05981314248493867,-0.016953912982200725,0.08349169680101902,0.006413645312335713,0.07681776222156542,R0
c_12767,0.5192210566753498,0.6406139256207006,1.3245107391485458,1.3521593195304429,0.43591522745398464,0.5135190953772221,0.10384421133506995,0.1281227851241401,-0.13108053362984515,-0.02357638917127103,0.1266386409126281,0.008018873507468558,0.06332090623904457,R0
c_12858,0.30997308002796986,0.4179351052804956,0.9754453224152021,1.057170524525646,0.24113112391894584,0.2777125478302512,0.04132974400372932,0.05572468070406608,-0.08233438550999445,-0.005175678206298162,0.05558103156772683,0.0014608513028570803,0.02628327077875476,R0
c_1286,0.3940243122558666,0.557132147042784,1.1864406443480269,1.2735728383472875,0.29147631633805765,0.37504780070938704,0.09850607806396666,0.139283036760696,0.041760400394257116,0.001256942512495418,0.13937065475252428,0.002744585543663269,0.019692707539738088,R0
c_12971,0.9669052495554027,1.3429872957026276,2.105706010888273,2.4840295179494096,0.6283428610510359,0.7109013114618349,0.10177949995320028,0.14136708375817134,0.02421599538407849,-0.009333746369337037,0.14071192427438192,0.0018633451297568272,0.01324226883660114,R0
c_12974,0.5601840242987289,0.707325520636687,1.4780048977110065,1.5218682658245672,0.46523703739401073,0.5589908238416276,0.1120368048597458,0.1414651041273374,0.06800398139782575,-0.00808496437159123,0.1408966784272262,0.0071091607988506954,0.05045655354127181,R0
c_12993,5.1147462150708245,5.917629782208192,9.095620703944252,10.39001875667991,4.896016847550306,5.568749545109022,0.07749615477380038,0.08966105730618473,-0.04255708529650309,-0.272129497019,0.07949470361682644,0.0014323139549884203,0.01801772809786596,R0
