container_id,day1_mae_R0,day1_rmse_R0,peak_mae_R0,peak_rmse_R0,non_peak_mae_R0,non_peak_rmse_R0,residual_mae_scaled_R0,residual_rmse_scaled_R0,residual_pearson_r_R0,residual_r2_R0,residual_std_actual_R0,residual_std_predicted_R0,residual_std_ratio_R0,variant_id_R0,day1_mae_R3,day1_rmse_R3,peak_mae_R3,peak_rmse_R3,non_peak_mae_R3,non_peak_rmse_R3,residual_mae_scaled_R3,residual_rmse_scaled_R3,residual_pearson_r_R3,residual_r2_R3,residual_std_actual_R3,residual_std_predicted_R3,residual_std_ratio_R3,variant_id_R3
c_10032,0.354751826564941,0.4337990547279598,0.6987455110796149,0.7669902175317923,0.2753686686000163,0.3096007275828195,0.05255582615776903,0.06426652662636441,-0.019692185601465836,-0.026463942071355495,0.06343266816996744,0.001744388434649521,0.02749984329802182,R0,0.3574476223363304,0.43451414395563115,0.6917095561442396,0.759038605598435,0.2803102529960437,0.3153047178638308,0.05295520330908598,0.0643724657712046,0.004828961107635019,-0.0298508479943016,0.06343266816996744,0.0018142436571253115,0.028601093245266884,R3
c_10034,3.683029528703045,4.136243109655002,,,3.683029528703045,4.136243109655002,0.12075506651485395,0.13561452818540992,0.5612300870695783,-0.031002684411487236,0.13355997199754616,0.009700020797515085,0.07262670583438952,R0,3.60646790377168,4.035142212992609,,,3.60646790377168,4.035142212992609,0.1182448493039895,0.13229974468828226,0.6005618565825428,0.018782300541265506,0.13355997199754616,0.01683281618784621,0.12603189365864403,R3
c_10089,0.7642478761297022,1.0222237496316924,1.184469687668755,1.6312055750322292,0.6605567797759099,0.803875135047396,0.054589134009264434,0.07301598211654946,0.010066802131206351,-0.11046646048736819,0.06928914592205651,0.0011788090004701299,0.0170128955232927,R0,0.7649449076919548,1.0199735570442667,1.1818211981092706,1.6289386263084755,0.6620793295370329,0.8014422191693016,0.05463892197799677,0.07285525407459048,0.042667509507371276,-0.10558296375813181,0.06928914592205651,0.001765397891470883,0.02547870763852079,R3
c_10132,0.6160243229081929,0.7624351270182302,1.4373259160918475,1.477903627793719,0.4639314352815902,0.5333624529527038,0.15400608072704822,0.19060878175455753,0.06334999911772782,-0.009017324148956396,0.18975515988932884,0.005082246537016711,0.026783179650982016,R0,0.6169824588518095,0.7662781061203614,1.4538974032154317,1.4938307384633815,0.46199820989558316,0.5316702185019218,0.15424561471295237,0.19156952653009035,-0.05457955515538398,-0.019214663607238336,0.18975515988932884,0.005959066791424912,0.03140397760408954,R3
c_1016,0.3443241377084727,0.5091426975165606,1.3570049682832424,1.4925038066739853,0.25226224401985725,0.2833481354153551,0.0245945812648909,0.03636733553689719,0.04259594298710369,0.0012094050261339806,0.03638934692361461,0.0014783330768552423,0.040625435789172916,R0,0.3449515736477329,0.5046896860184725,1.3402027640007605,1.4703411110581974,0.2544741927065486,0.2851852933880706,0.024639398117695204,0.036049263287033756,0.25847757056462073,0.018604042484875793,0.03638934692361461,0.0015955343656792497,0.04384619402564323,R3
c_10306,0.3507541381072941,0.4016536053095306,0.5117892671134207,0.5289081173812622,0.30287882948385114,0.35513407946254416,0.10021546803065547,0.11475817294558018,-0.21802789681260915,-0.016011937333518356,0.11385031065216984,0.0025099180535975165,0.022045772551870332,R0,0.34963392836651835,0.4002415938321992,0.5071091686763545,0.5239580371015357,0.3028169650311616,0.35524744835129957,0.09989540810471952,0.11435474109491406,-0.03201270748454031,-0.008880922963716786,0.11385031065216984,0.00230578822057695,0.02025280570047355,R3
c_10312,0.32275528001927417,0.41601214657238633,0.5803695035791915,0.6557556727033695,0.22706999698273345,0.2786175854834656,0.00922157942912212,0.011886061330639611,0.18833420483058455,-0.14384829275371214,0.011113574180935965,0.000966373007713335,0.08695429498918851,R0,0.32294707684621365,0.41328447469324486,0.5716317208198375,0.637071751761335,0.2305784947988676,0.2889591823611721,0.009227059338463245,0.011808127848378426,0.06617678174482748,-0.1288976994285238,0.011113574180935965,0.0017575309537528586,0.15814272934513696,R3
c_10382,0.5476742210214338,0.791161010511591,1.12422730265994,1.483826672610731,0.440905131829118,0.5780310082020762,0.06845927762767924,0.09889512631394888,0.06850918978304109,-0.01569869554535308,0.0981278858542851,0.004198608261446404,0.04278710607992842,R0,0.5479884960855913,0.7891339868806134,1.1213828992130792,1.4780504517626971,0.4418043473582788,0.577487299402538,0.06849856201069891,0.09864174836007668,0.06875561467055163,-0.010500745293026581,0.0981278858542851,0.0049795805894192946,0.05074582567501472,R3
c_10393,1.141171166634196,1.4862413633754104,2.5260928356458208,2.605546002256694,0.9979034077709242,1.3172413516581625,0.0543414841254379,0.07077339825597193,0.0784495549902707,0.001807895761021916,0.07083746059594516,0.0013218770909812234,0.018660706917787078,R0,1.1364045423179927,1.4865879025983901,2.5354745725238477,2.6122453705322646,0.9916731598829043,1.3162998992900443,0.05411450201514251,0.07078990012373286,0.04552752907930825,0.0013423548979383249,0.07083746059594516,0.002481931572482297,0.03503699245571723,R3
c_10641,0.584764181821736,0.7662593199366455,0.8962250065546903,1.043576931192089,0.3099458070573644,0.3798695505757194,0.027845913420082663,0.03648853904460216,0.1548076847899547,-0.33763779966137397,0.03154911700302905,0.0011471532526773067,0.03636086716998031,R0,0.580426108885927,0.7548729894133844,0.8777740150190286,1.02201959576583,0.3180603093567198,0.38857223968603205,0.02763933851837748,0.03594633282920878,0.13588471576875027,-0.2981795541679193,0.03154911700302905,0.001993208697500999,0.06317795510123562,R3
