container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio
c_10032,g192,g288,-0.12997597787115323,-0.19720441302608116,-4.301609709273599,-0.0192557005690787,-0.0292154698044899,0.08247939932588999,1.839731504010918,-0.8087157718350467
c_10034,g192,g288,-2.184565464280442,-1.8962682103577255,-34.154640380589704,-0.0716251070329789,-0.06217273578232521,-0.006564300484319552,1.4995804781769344,0.2041086002591217
c_10089,g192,g288,-0.20481257030257471,-0.14200117191368067,-3.672922369640782,-0.014629473426211806,-0.010142944623160899,0.08825172330892583,0.059609997044476226,0.1422699698317511
c_10132,g192,g288,-0.04533653375175273,-0.0500532423245158,-2.455785815751245,-0.0113341318857339,-0.012513311688853973,0.11353821880877818,0.1438171885772062,-0.05482855716392862
c_1016,g192,g288,-0.03472350637118027,-0.033513238072595763,-1.7365676538686117,-0.002480251258904397,-0.0023938035789594983,0.1089111809100681,0.16823303022313857,-0.020771524867497115
c_10306,g192,g288,0.005556515599083489,0.0060422139936818775,-129.27519229109544,0.0015875759242574977,0.0017263472834836008,-0.04595796018182852,-0.0319793668428215,-0.048073061033203524
c_10312,g192,g288,-0.07211323465324115,-0.08762920434336285,-6.340536874843949,-0.0020603783849058,-0.0025036917369993007,0.08758475657263559,0.9398020394516708,-0.2092277547825323
c_10382,g192,g288,-0.029919498496585373,-0.02773201772658085,-2.305123899907887,-0.0037399404940920006,-0.003466502718953199,0.1666688325549927,0.0601132354032989,0.15105427213022232
c_10393,g192,g288,0.13820041467746091,0.1530046682826951,-0.025173360298886394,0.0065809692965732025,0.007285933820919091,-0.004823290619851539,-0.029029816373710604,0.0736661227098705
c_10641,g192,g288,-0.022682175536950733,-0.00678569399201101,-0.7399557278352731,-0.0010801053487711001,-0.0003231300651961033,0.26699137306214293,0.02248832773520526,0.02478928416141679
c_10695,g192,g288,0.008019169171651241,0.011535930734634325,-0.03241051435515985,0.0016038339895506903,0.0023071901555414,-0.020103438413323002,-0.0284348035723989,0.00043900574362909506
c_10733,g192,g288,-0.767895177558616,-0.8002615940873321,-2.076932151029858,-0.04799343881852641,-0.050016340725903996,0.4173318903626842,1.119602004709352,-0.6554137816677077
c_10878,g192,g288,-0.007646769285202026,-0.005022476777412965,-0.36817056475068455,-0.0015293577996392943,-0.0010045005270121893,0.057875272061595595,0.0172182368573944,0.03842429969930708
c_10898,g192,g288,-0.017285529110166675,-0.021687318682681922,-0.7348861801825777,-0.003841228190993473,-0.00481940662908989,0.11861195948129902,0.06262260447154208,-0.04712387885500549
c_11013,g192,g288,-0.024024728271696993,0.3403958324687357,-1.3283502457562015,-0.0005338916454440956,0.007564345385776106,0.014531706230149877,-0.039538200402776114,0.12604096423375066
