container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio
c_10032,g96,g288,-0.01794043431679415,-0.019175445447681683,-0.7076798393672057,-0.0026578422474825003,-0.0028408079613875953,-0.03860227194659702,0.161348009569374,-0.2109999876560975
c_10034,g96,g288,-2.525441815080638,-2.6023400972777515,-26.22517218773192,-0.08280138115223439,-0.08532263391780401,-0.008141896138444404,2.207506054922649,-0.0908829352715601
c_10089,g96,g288,0.300960041306637,0.37952837356192104,2.5963007752864637,0.021497138695195095,0.0271091621606339,-0.01707295310620538,-0.13344692148648674,-0.0003325472759956316
c_10132,g96,g288,0.0030081628097428093,0.003668944357248183,0.1178051540510836,0.0007520388397904976,0.0009172336144941118,0.080386838170592,-0.010190218488798294,0.06977036151348881
c_1016,g96,g288,0.06344332363870403,0.06205603048222785,2.712620866326464,0.004531665530706198,0.004432572948861804,-0.0747459262735588,-0.2867367710491593,0.22336931408215255
c_10306,g96,g288,-0.006858117878437098,-0.0030780886884680947,-33.08951792196672,-0.0019594621456539008,-0.0008794535545431914,0.02191317745595639,0.0164700756156113,-0.003119062298987507
c_10312,g96,g288,-0.07144009371081161,-0.08106911080380619,-6.227167581374694,-0.0020411456519800995,-0.002316260469554101,0.2012598715844686,0.8648462655810156,-0.07926547309544985
c_10382,g96,g288,0.04738975978559912,0.06750024072697647,0.4458343422109543,0.005923718809046699,0.008437529939023608,-0.053372816460601435,-0.1381290789702196,0.16723603494384642
c_10393,g96,g288,0.14334068336972483,0.10934306980928232,0.2213016371372607,0.006825745733195401,0.0052068112918459,-0.015037871372534206,-0.02096174259153316,0.008396441212628059
c_10641,g96,g288,0.15483723829189922,0.238124327449319,2.7143946993767525,0.007373201198846296,0.011339253276041898,-0.5460841138167649,-0.7119543802626198,-0.05580272382731272
c_10695,g96,g288,0.007503146926561954,0.016971583448503247,0.1910062394574652,0.0015006364323199017,0.0033943234082666196,-0.1388842408363454,-0.0417047243345956,-0.026074561516320788
c_10733,g96,g288,0.3612766265869145,0.33604091733084474,0.907875031782563,0.02257978885124129,0.0210025596405799,0.10862730879643678,-0.3968505527141004,-0.026473233397217688
c_10878,g96,g288,0.012266794012652404,0.02059129950953531,0.2770727178262504,0.002453352190140201,0.00411825298852421,-0.1562569278414635,-0.0690447991171768,0.002972842237779799
c_10898,g96,g288,0.014403449164496651,0.02097911306152478,0.429849416869704,0.003200765946351103,0.004662023491817019,-0.169246857896514,-0.058922418152378704,0.0547092120637538
c_11013,g96,g288,0.564126779635747,1.0079070639437173,2.1606051594431186,0.0125361423525545,0.0223979271897589,-0.03196172211256254,-0.11036405749787725,0.013097369452464758
c_11087,g96,g288,0.14853888957036876,0.28542826042499314,5.757282847637242,0.001597192585874499,0.003069120702135192,-0.1854243926716922,-0.048845936789445196,-0.041884190736154986
c_11203,g96,g288,1.4434785031610065,1.480172467761161,7.912605614275533,0.05155280435093801,0.0528633038895511,-0.022315806619650047,-0.2296893807916226,0.017501884038392035
c_11307,g96,g288,0.08601499597231532,0.13055331889320865,0.4577397096226754,0.005059706951108023,0.007679609795658848,-0.018454659317752087,-0.04944145486635369,-0.047119607096048316
c_11327,g96,g288,0.11315999664957566,0.10810804485898207,1.190517931387376,0.012573327920711697,0.012011996704124409,-0.016297300799816283,-0.09063231175756536,0.1296305882032468
c_11461,g96,g288,0.20216599520709755,0.19459950409883664,0.38103999946644507,0.004738263300775203,0.004560923613654608,-0.006887902715709937,-0.03670923618877597,0.07375503754716517
c_11735,g96,g288,0.39412897328535745,0.21014921944391052,4.3428918184942695,0.011154595042034199,0.005947619823581413,-0.0559118264637786,-0.14612522643848075,0.00914071241157649
c_11752,g96,g288,-0.01675889309909606,-0.0029128899068491254,-2.1809115523422022,-0.0033517801409795045,-0.0005825783086340908,0.035713809197503,0.0093618275360998,0.011229673325161005
c_1181,g96,g288,0.38038193268908493,0.9202036882748708,-5.772254375560447,0.0052107148728463976,0.012605531900426792,-0.06120743806380524,-0.12390534502080541,0.10321709754364705
