container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio
c_10032,g96,g192,0.11203554355435907,0.17802896757839948,3.5939298699063933,0.0165978583215962,0.026374661843102304,-0.12108167127248701,-1.6783834944415439,0.5977157841789492
c_10034,g96,g192,-0.34087635080019574,-0.706071886920026,7.929468192857783,-0.01117627411925548,-0.023149898135478797,-0.0015775956541248526,0.7079255767457147,-0.2949915355306818
c_10089,g96,g192,0.5057726116092117,0.5215295454756017,6.2692231449272455,0.0361266121214069,0.0372521067837948,-0.10532467641513121,-0.19305691853096296,-0.14260251710774674
c_10132,g96,g192,0.04834469656149554,0.053722186681763984,2.5735909698023285,0.012086170725524398,0.013430545303348085,-0.03315138063818618,-0.15400740706600452,0.12459891867741743
c_1016,g96,g192,0.0981668300098843,0.09556926855482362,4.449188520195076,0.007011916789610596,0.006826376527821303,-0.1836571071836269,-0.45496980127229786,0.24414083894964966
c_10306,g96,g192,-0.012414633477520587,-0.009120302682149972,96.18567436912872,-0.0035470380699113985,-0.002605800838026792,0.0678711376377849,0.0484494424584328,0.044953998734216016
c_10312,g96,g192,0.0006731409424295398,0.006560093539556666,0.11336929346925473,1.923273292570027e-05,0.00018743126744519972,0.113675115011833,-0.07495577387065522,0.12996228168708246
c_10382,g96,g192,0.07730925828218449,0.09523225845355732,2.750958242118841,0.0096636593031387,0.011904032657976807,-0.22004164901559414,-0.1982423143735185,0.0161817628136241
c_10393,g96,g192,0.005140268692263916,-0.04366159847341278,0.2464749974361471,0.00024477643662219883,-0.0020791225290731907,-0.010214580752682667,0.008068073782177443,-0.06526968149724244
c_10641,g96,g192,0.17751941382884995,0.24491002144133,3.4543504272120256,0.008453306547617397,0.011662383341238002,-0.8130754868789078,-0.7344427079978251,-0.08059200798872951
c_10695,g96,g192,-0.0005160222450892871,0.0054356527138689215,0.22341675381262505,-0.0001031975572307886,0.0010871332527252198,-0.1187808024230224,-0.0132699207621967,-0.026513567259949883
c_10733,g96,g192,1.1291718041455305,1.1363025114181768,2.984807182812421,0.0705732276697677,0.0710189003664839,-0.3087045815662474,-1.5164525574234524,0.62894054827049
c_10878,g96,g192,0.01991356329785443,0.025613776286948275,0.645243282576935,0.003982709989779495,0.005122753515536399,-0.2141321999030591,-0.0862630359745712,-0.03545145746152728
c_10898,g96,g192,0.031688978274663326,0.0426664317442067,1.1647355970522817,0.007041994137344576,0.009481430120906909,-0.287858817377813,-0.12154502262392078,0.10183309091875929
c_11013,g96,g192,0.588151507907444,0.6675112314749816,3.48895540519932,0.013070033997998595,0.014833581803982795,-0.04649342834271242,-0.07082585709510114,-0.1129435947812859
c_11087,g96,g192,1.2568309009075165,0.41806612395928866,82.03304894941454,0.013514310773712498,0.004495334647658389,-0.03731657599186179,-0.0719403359648851,0.05895670451915272
c_11203,g96,g192,0.9848911778794389,0.9012158286024308,7.244985622705817,0.035174689691750305,0.03218628445541741,-0.05376656687019066,-0.12859514900885105,-0.1249891664721724
c_11307,g96,g192,0.17974732319513942,0.21572969621313032,1.457820689647388,0.010573372655712426,0.012689980482143093,-0.10847610245742428,-0.0824321372349008,-0.06453029047076841
c_11327,g96,g192,0.2752118441793654,0.3060241254280204,5.221864258456456,0.030579091624621302,0.0340026768072957,-0.15971138633711945,-0.28442415169073243,-0.010008378057785872
c_11461,g96,g192,1.39629316329956,1.3835672825671939,19.808817647673052,0.032725620432756806,0.03242735807021781,-0.2237308592212226,-0.3105125313408175,-0.17255349980004298
c_11735,g96,g192,0.7056690596871911,0.13688254529486255,10.175471514746743,0.019971768033058196,0.003874035130471992,-0.355000630550568,-0.09440311439898369,-0.09466716610473391
c_11752,g96,g192,0.03169609751138419,0.07561037165883044,1.275534379202611,0.006339218757218698,0.01512207444177241,-0.23195026221355639,-0.2590823610002706,0.20833762586320612
c_1181,g96,g192,2.031589320633146,1.603540320068996,24.55862731770992,0.0278299951471552,0.021966308359084002,-0.23755547880128192,-0.2230693696133731,-0.19716344564829602
c_1186,g96,g192,0.6017255634069438,0.6221337925352217,6.2947337787195075,0.026625024286994398,0.0275280452594137,-0.015488342813205436,-0.052201937107585805,-0.05786423925159012
c_11996,g96,g192,0.371663698222902,0.4266196012450316,4.873853181118751,0.01769827137720921,0.0203152176396392,-0.11179048662722124,-0.1708071172212564,-0.08428478267517492
