origin_index,decision,rationale,cohort_diagnostic_confidence,n_recommend,n_investigate,n_stable,trigger_reason
200,recommend_retraining,Diagnostic and trigger policies support offline candidate retraining.,0.16666666666666666,1,0,2,fraction
296,do_not_retrain,Global trigger policy not satisfied.,0.16666666666666666,1,0,2,cooldown_active
