epoch,loss,val_loss,mae,val_mae
1,0.8542842268943787,1.7180529832839966,0.5867480039596558,0.8068198561668396
2,0.8538104891777039,1.716159701347351,0.5870280265808105,0.8061721920967102
3,0.8536979556083679,1.716350793838501,0.587202787399292,0.8052648901939392
4,0.8574845194816589,1.7174577713012695,0.589837372303009,0.8092329502105713
5,0.8577958941459656,1.7107775211334229,0.5893434882164001,0.8047785758972168
6,0.8578314185142517,1.7124769687652588,0.5902162790298462,0.8053794503211975
7,0.8573727011680603,1.7140591144561768,0.5899785161018372,0.8084365129470825
8,0.8568651676177979,1.711946725845337,0.5891828536987305,0.8077013492584229
9,0.860996663570404,1.723220705986023,0.5920566320419312,0.8092916011810303
10,0.8675861358642578,1.7258516550064087,0.5963587760925293,0.8065978288650513
11,0.8614810109138489,1.7204093933105469,0.5917584300041199,0.8049447536468506
12,0.8600962162017822,1.7179069519042969,0.5912017226219177,0.8045158386230469
13,0.85916668176651,1.716459035873413,0.5908504128456116,0.8042370080947876
14,0.8586372137069702,1.715350866317749,0.5906949043273926,0.8040522933006287
15,0.858184278011322,1.7144594192504883,0.5905051827430725,0.8038811087608337
