horizon,cross_container_pearson_r,mae,rmse,std_ratio
1,0.2906144120363787,0.06422174282272779,0.09162587487188625,0.3056904065386394
4,0.01938191311636014,0.08157972344870744,0.12867878763002177,0.1109596300591197
12,0.20116116448775165,0.0787239082433118,0.11162435661542255,0.12730766920460984
24,-0.08850812344648193,0.09319283030256172,0.14259170103221389,0.046842214909718786
48,-0.09566798409279698,0.0923395728990219,0.1317052470858629,0.06571370942022041
96,0.17349368334043716,0.10950677444938815,0.1570129477143323,0.07739961248854071
