lag,pacf_mean
0,1.0
1,-0.3366532697899343
2,-0.24606969198402492
3,-0.1799654115426751
4,-0.13944385294061598
5,-0.1326718986282347
6,-0.10991763908133743
7,-0.11442144056355495
8,-0.08970264145058215
9,-0.09342056918923124
10,-0.08043964602493704
11,-0.07885321912445294
12,-0.05770211588279288
13,-0.06341090336529509
14,-0.057839935597322235
15,-0.0602485266254911
16,-0.04828145059588976
17,-0.052360969362769856
18,-0.040523345239071716
19,-0.04185894917518088
20,-0.025620838305359966
21,-0.0325011754186393
22,-0.02458492019593185
23,-0.029785295079122708
24,-0.010656469981237728
25,-0.01797843634341434
26,-0.02216257495357689
27,-0.020895290344165526
28,-0.014484045488628123
29,-0.026823743407379
30,-0.019226274588248313
31,-0.023530515527775492
32,-0.016425591994084866
33,-0.019800964722849545
34,-0.024989759819619154
35,-0.022315290260182148
36,-0.027767784890597853
37,-0.020517695524396484
38,-0.015429085873017629
39,-0.025794821289883908
40,-0.008159577748191134
41,-0.013108494726335254
42,-0.013154972702025527
43,-0.011427067575520288
44,-0.010457559816457237
45,-0.004100032606409022
46,-0.007370155605663906
47,-0.012756598666914191
48,-0.015003008751204567
49,-0.009409752340102101
50,-0.012946410052005974
51,-0.011891163655408928
52,-0.013101837296693574
53,-0.014438473202091457
54,-0.014539262805803707
55,-0.012223376723478499
56,-0.011379611531346203
57,-0.01890952282473277
58,-0.013457764681030798
59,-0.010239644532149495
60,-0.017213585942003853
61,-0.009407549533539476
62,-0.01032222016696722
63,-0.00919875004691328
64,-0.009804253723070597
65,-0.003075238496959585
66,-0.00746191295801682
67,-0.008334232364206148
68,-0.0014733318927183429
69,-0.004304510998089846
70,-0.005562717131691496
71,-0.007752823963594265
72,-0.01001511658944832
73,-0.006255813637870911
74,-0.008976596087420878
75,-0.01896712758004276
76,-0.0064789641693815125
77,-0.016375059194380173
78,-0.010484646283450987
79,-0.004395212773822594
80,-0.0028155606719262394
81,-0.009493228651681548
82,-0.005448280475144523
83,-0.005972408215170151
84,0.003866258001623199
85,-0.003866880647310864
86,0.001000816345952277
87,0.0006144305144441098
88,0.008987556264087926
89,0.00033048181714490695
90,-0.0015991855448043882
91,-0.00464379541931236
92,-0.0009364568897491076
93,-0.006009946749302511
94,-0.014238849625646418
95,-0.020006138624875835
96,0.0055411742517838545
