sample_quantile,theoretical_quantile
-8.070430045529278,-2.3263478740408408
-8.03076644189913,-2.319054555509805
-7.909055933185367,-2.311882545935597
-7.506133595715461,-2.3048275187804927
-7.3255257934351885,-2.297885378957878
-7.312692479952886,-2.2910522464834084
-6.929870173461147,-2.284324441550919
-6.925388717926441,-2.277698470886234
-6.6303877240628495,-2.2711710152494176
-6.505061905916347,-2.264738917971091
-6.46693595975949,-2.2583991744215237
-6.386311794308615,-2.252148922322633
-6.316870139821459,-2.24598543282297
-5.741394252607595,-2.2399061022645137
-5.699105012486453,-2.233908444577716
-5.431353702648202,-2.22799008424797
-5.241488732905773,-2.2221487498026025
-5.24021782166115,-2.216382267772701
-5.192874686139576,-2.210688557088711
-4.819727023079522,-2.205065623872837
-4.805564167315541,-2.1995115565949055
-4.544319095946163,-2.194024521561575
-4.477592181855157,-2.188602758711667
-4.286410499641962,-2.183244577692942
-4.284992125784605,-2.177948354197959
-4.273293303479332,-2.1727125265386737
-4.1866449517043725,-2.167535592441318
-4.154805625082286,-2.162416106044712
-4.127312242620772,-2.157352675086662
-4.077050313109466,-2.1523439582644475
-4.06230435331436,-2.1473886627565775
-4.056969326160853,-2.1424855418941053
-4.033440732963126,-2.13763339297077
-4.004405236464705,-2.13283105518211
-3.98648022607843,-2.1280774076845335
-3.9857310716934693,-2.1233713677660093
-3.970733912741513,-2.118711889120762
-3.9638761560013163,-2.1140979602209278
-3.958707116104176,-2.1095286027786795
-3.9555572423721386,-2.1050028702928434
-3.953855927698842,-2.1005198466744757
-3.93219695532314,-2.0960786449462963
-3.890916918785642,-2.091678406011246
-3.88515335509179,-2.0873182974858016
-3.7685004666486073,-2.0829975125939786
-3.7529214598280234,-2.0787152691182733
-3.7407721771801916,-2.0744708084040435
-3.6909948820720695,-2.070263394414089
-3.673314806062188,-2.0660923128304116
-3.609508687224124,-2.0619568702003472
-3.590967163640166,-2.0578563931244678
-3.570271027451375,-2.0537902274838
-3.5518441606518674,-2.049757737704108
-3.5391354589826176,-2.0457583060551094
-3.4508803496177385,-2.0417913319826457
-3.320453137217642,-2.0378562314719777
-3.262903376893849,-2.033952436440444
