epoch,loss,val_loss,mae,val_mae
1,0.8526407480239868,1.7159991264343262,0.5861198306083679,0.8061212301254272
2,0.8514907956123352,1.7137646675109863,0.5855889916419983,0.8054184317588806
3,0.8518091440200806,1.7141693830490112,0.5858277082443237,0.8052617311477661
4,0.8516878485679626,1.7136834859848022,0.5856509208679199,0.8053624033927917
5,0.85170578956604,1.7112555503845215,0.5856102705001831,0.804831326007843
6,0.8522958159446716,1.7135809659957886,0.5860103964805603,0.805191159248352
7,0.8554750680923462,1.7146977186203003,0.5878958106040955,0.8046149611473083
8,0.8567364811897278,1.719973087310791,0.5893515348434448,0.8050202131271362
9,0.8635702133178711,1.7235908508300781,0.5942249298095703,0.8137907385826111
10,0.8646913170814514,1.7196402549743652,0.5941259860992432,0.8175114989280701
11,0.8596111536026001,1.7182121276855469,0.5913737416267395,0.8172730207443237
12,0.8582315444946289,1.7168078422546387,0.5912336111068726,0.8153845071792603
13,0.85732102394104,1.7146507501602173,0.5907235741615295,0.813214123249054
14,0.8565998673439026,1.7136398553848267,0.5904138088226318,0.8120439648628235
15,0.8560380935668945,1.7130732536315918,0.5902103781700134,0.8116157650947571
