container_id,day1_mae,day1_rmse,day1_mape,train_steps,validation_steps
c_10032,0.6846194093426069,0.8283769398397256,19.86460154595879,614,154
c_10034,5.603144977655675,6.511992644955498,72.73243142221843,613,154
c_10089,0.8780938163951592,1.1551796338884301,8.946760307740693,614,154
c_10132,0.638259078727828,0.776505834697648,23.976278362992566,611,153
c_1016,0.3457401795519723,0.5219468319147385,14.489300321286148,614,154
c_10306,0.35762740863073206,0.421552247172807,1225.5654966968664,614,154
c_10312,0.5366458843151728,0.6571691608473503,44.87292238609026,614,154
c_10382,0.5627244939406714,0.7695571783752306,15.112251210470337,614,154
c_10393,1.535506915052732,2.06479923279429,13.115549011436926,614,154
c_10641,0.7670735801259676,1.0101829199634287,14.967011788888065,613,154
c_10695,0.6303748698698151,0.8744337173259956,20.254427311893984,614,154
c_10733,2.2541123893525863,2.908573252969444,5.681647926326939,611,153
c_10878,0.419777831931909,0.5614570724541537,20.80797000727674,614,154
c_10898,0.5706485978431172,0.7489497158891885,20.366377007131263,614,154
c_11013,3.9077208638191223,4.987166736797371,15.428972443158715,612,154
c_11087,6.194397799670696,11.845208121717679,206.86222192388973,614,154
c_11203,2.0002311617136,2.857373531376398,10.736315229474018,612,154
c_11307,2.5814091828134327,4.676101214712094,19.772882010479318,614,154
c_11327,0.6557349004442729,0.8569342211364536,11.329420376592763,612,153
c_11461,2.2485474116272397,3.036169381303167,18.938771975146352,609,153
c_11735,2.3420497566461562,4.383238298550512,18.446274509024207,613,154
c_11752,0.47163205138511133,0.5949402699205697,33.56105283780772,612,153
c_1181,6.337253221273422,9.853578867757893,34.19489346904026,609,153
c_1186,1.7316396236419678,2.1219863036824402,15.413400273191149,613,154
c_11996,1.6543474594751995,1.9552635751075496,17.26743092758176,613,154
c_12060,0.17075063908576138,0.24787891106796206,795.7696382291462,614,154
c_12158,3.0602043171723685,4.0728034134394715,10.289296825023976,611,153
c_12164,0.7831872542699179,0.9828056379495202,11.039294041962032,614,154
c_12174,0.6275569382641051,0.8351477961236162,9.985641494869474,614,154
c_12189,0.40896622036342256,0.5820114265860302,12.444804022504972,614,154
c_12193,0.37382000635067625,0.4430157045782621,16.004632776081827,610,153
c_12231,10.058671025186777,13.084199230765865,57.090763979844695,614,154
c_12237,12.763624850908913,14.392588761303092,24.806205166913283,608,152
c_12441,2.325110359324349,3.5447146899254105,17.193663909622448,611,153
c_12517,1.653424999448988,2.2050752522005888,8.701264852956514,613,154
c_12624,0.2871587246656418,0.4046321502552075,14.613042584645703,613,154
c_12767,0.5055034039197145,0.6281415137127272,11.083064106338114,614,154
c_12858,0.3418250663412941,0.4269383083049879,15.719007673665237,614,154
c_1286,0.3896239127549861,0.5680641953976315,18.956939494988045,612,154
c_12971,0.9545570267571343,1.389629710842544,21.79723478715371,614,154
c_12974,0.5337130462602965,0.6772532896140915,20.42457175274294,612,153
c_12993,4.341003549319726,5.278647470666861,102.79345952950621,613,154
c_12999,2.088496780395508,2.8240136514937637,7.681180750270546,612,153
c_13020,1.1343878322177465,1.3539948348030164,6.39944240863889,613,154
c_13044,0.514207443015443,0.6871023204842521,33.69169968434261,612,153
c_13083,0.8702749017212126,1.1087160226483797,12.007162911504771,614,154
c_13166,1.5355842133363087,1.938515532705342,10.358143857291397,614,154
c_13170,2.6525629818439485,3.33847546127133,12.633536678389431,614,154
c_13229,1.4005906421513785,2.607810614582449,10.654532510167856,614,154
c_13269,0.4580138939950202,0.5605966024744923,18.57374518845428,614,154
c_13308,0.0036233984659096072,0.004478009256565439,36.233984659096066,614,154
c_13389,6.026236225672499,8.357284213111067,26.027003632055308,613,154
c_13403,0.32098145965072844,0.445401750397361,14.497988308977188,613,154
c_13441,1.5088510192102855,1.9630567821799456,11.3564219221908,610,153
c_13607,1.9655995572054827,4.175165603834949,26.755728776198833,614,154
c_13615,2.491817548043198,3.9670350456548995,35.18751006159813,614,154
c_13658,1.1576569866802957,2.6861936878625854,16.66426607862647,613,154
c_13690,1.2659733384847642,2.2951245903256394,40.208990246780424,614,154
c_1379,0.40970833658699,0.5214267451777969,15.873956358243957,614,154
c_1387,0.41694664532939596,0.5058488848662936,14.285257567516894,613,154
c_13873,1.7922796201374795,3.647030424364095,24.6056920049858,612,153
c_14106,0.012740497325012257,0.05790771014236181,50.73947322932023,608,153
c_14135,3.5478350083033248,4.251346482195277,14.350067985187776,614,154
c_14296,3.972878855135706,4.9703378510648495,35.32768178519427,614,154
c_14363,0.4901083111763,0.9968860321771149,14.663554642099507,613,154
c_14388,1.0707718799511592,1.3471373126178592,12.082064675338827,613,154
c_14396,2.2276190261046094,2.815107679405992,11.465648808001193,613,154
c_14413,0.5241476736134953,0.7148864694027732,17.754354523374126,614,154
c_14416,0.294472833805614,0.5454744484989,11.126159573418597,614,154
c_14417,1.1877768370840285,1.5796515849609025,11.630103094596498,614,154
c_14435,0.4598141733221907,0.5755579573131605,10.830285901032788,614,154
c_14471,2.928088818561463,3.63124741670742,16.089984803334513,608,152
c_14820,4.541002835830053,5.894018134602114,21.65711913312778,613,154
c_14855,0.9249542092283566,1.2399475876449237,13.023383250954021,613,154
c_14886,2.6455302774906166,3.2864767588540182,11.552469283971668,613,154
c_1494,0.28900129107965367,0.3951505144521692,21.297594390947513,613,154
c_14964,2.8694816463523445,3.4430412708635654,26.42586369171735,612,154
c_15030,4.391887961162461,5.321829221197889,22.366544328343462,613,154
