container_id,actual_std,gru_std,ridge_std
c_10032,0.06299921776343763,0.004816136788576841,0.013892387600301705
c_10034,0.13307478035605072,0.010942427441477776,0.013862570425463426
c_10089,0.07169447891476498,0.005345013923943043,0.0159978054458355
c_10132,0.19003685080271865,0.019233785569667816,0.022742745972313013
c_1016,0.037954899649077126,0.001836080919019878,0.007822255170804397
c_10306,0.11385031065216984,0.006782157812267542,0.015567097209181147
c_10312,0.011971251317778264,0.0019144037505611777,0.004378858530392287
c_10382,0.09792209000249842,0.009404810145497322,0.01734042962387539
c_10393,0.07327151863729381,0.009167448617517948,0.012080191106563746
c_10641,0.031239752235556747,0.002880641259253025,0.005246838478801045
c_10695,0.1593982852906902,0.012012841179966927,0.01982356432429028
c_10733,0.13768540929770545,0.007105685770511627,0.024145932184085762
c_10878,0.10969896331687722,0.00552429910749197,0.014969207432172896
c_10898,0.1611769535229937,0.00807915162295103,0.017598858638406347
c_11013,0.080441159528662,0.004082051571458578,0.014613260937207783
c_11087,0.1281947913060115,0.0069697704166173935,0.02766597431861417
c_11203,0.07589097176668522,0.005290420260280371,0.012884760569628177
c_11307,0.26055273834573334,0.010612945072352886,0.02762642431545433
c_11327,0.09097683280009965,0.007365227211266756,0.014156363636737914
c_11461,0.049435146510285986,0.006113794632256031,0.01404063040356457
c_11735,0.11142939547651111,0.002881415421143174,0.00602223278642539
c_11752,0.12179983860286846,0.008892178535461426,0.01904156520321661
c_1181,0.11774126887445972,0.005205398891121149,0.01491917560797101
c_1186,0.05997405791801819,0.006553479004651308,0.02140386349690963
c_11996,0.08141372486981392,0.00741721224039793,0.016307206989460234
c_12060,0.23439577949258059,0.010559477843344212,0.03389863889595196
c_12158,0.057086624146550746,0.0038844558876007795,0.011897332675798341
c_12164,0.07374665315787411,0.005303598940372467,0.011010901043067461
c_12174,0.1317859920664638,0.011029550805687904,0.019075080605160465
c_12189,0.037696343350997544,0.0016459368634968996,0.005057043635706809
c_12193,0.12674603065131262,0.012752256356179714,0.01889644606037355
c_12231,0.313689750349535,0.0191773921251297,0.03773727405653984
c_12237,0.2399900532408431,0.010704674758017063,0.030711300854418047
c_12441,0.046564866607934324,0.0020792302675545216,0.005232872611309884
c_12517,0.0637695394174914,0.008349204435944557,0.023739630988672315
c_12624,0.08438259174358037,0.008331071585416794,0.017786527233842123
c_12767,0.12586455898876414,0.011331786401569843,0.022316955878364072
c_12858,0.05477289470447233,0.003298195544630289,0.01065581644516673
c_1286,0.14027801934540585,0.012887240387499332,0.032207393892400335
c_12971,0.13929183336775605,0.003478260478004813,0.013606301046693017
c_12974,0.1350679566991563,0.011769491247832775,0.017498632258251868
c_12993,0.07874569609351607,0.004674768075346947,0.020149754058299375
c_12999,0.07026363068816519,0.0055951387621462345,0.01710631242744507
c_13020,0.08091384924899435,0.011603732593357563,0.018991487961731206
c_13044,0.1657157825439153,0.007433813530951738,0.023049028929995084
c_13083,0.11580237214882685,0.010809410363435745,0.014844273804232049
c_13166,0.06798944023677965,0.00521424412727356,0.015986228023567396
c_13170,0.06354012430057294,0.00396849075332284,0.01517336011229089
c_13229,0.2721355668797564,0.013221927918493748,0.016884900260782414
c_13269,0.16953799650805326,0.006570067256689072,0.021296205021341448
c_13308,0.004865419599840783,0.00162871356587857,0.01247975180326038
c_13389,0.11222082774291114,0.00687433872371912,0.02825527410662653
c_13403,0.06347268415901416,0.00515923835337162,0.015985817407151073
c_13441,0.05824863574442433,0.004707928281277418,0.011775798870137659
c_13607,0.2644638588542939,0.006005541421473026,0.0072844305428939
c_13615,0.049993309106588384,0.0054298038594424725,0.022855193563796797
c_13658,0.4416793301306196,0.005952363833785057,0.01754079111563942
c_13690,0.051900485185259033,0.006222338881343603,0.011788614736628608
c_1379,0.08819106093953107,0.008039554581046104,0.011666351900170705
