container_id,gru_pearson_r,ridge_pearson_r
c_12231,-0.35711506933041814,-0.5328149239435079
c_14964,-0.35593729647976824,-0.07437459074688568
c_15030,-0.32415788602281104,0.12467976366058565
c_14106,-0.24447483796160965,0.009304302904542996
c_13170,-0.2404260345605027,0.3389898088628794
c_10132,-0.2365020109101492,0.12455491810473243
c_12158,-0.23360379713552998,0.546719368384231
c_10032,-0.1905303426254333,0.046237725924268
c_11752,-0.18458237616304563,-0.0822720548389369
c_13308,-0.1813734096842889,0.11715382024969556
