container_id,model,bias,actual_std,pred_std,amplitude_ratio,pearson_r,phase_lag_steps,mae,rmse,r2
c_10032,gru,0.010042353089653478,0.06299921776343763,0.004816136788576841,0.0764475648993208,-0.1905303426254333,53.0,0.052241074546349964,0.06487344738960343,-0.06038515722848681
c_10032,ridge,0.014445441094772103,0.06299921776343763,0.013892387600301705,0.22051682693057695,0.046237725924268,66.0,0.05489148735341109,0.06549530702050577,-0.08081173288138999
c_10034,gru,0.05093171205496199,0.13307478035605072,0.010942427441477776,0.08222765735326076,0.5041330068095273,5.0,0.12282097901064043,0.13767525328388847,-0.07033629413728115
c_10034,ridge,0.04837838651852274,0.13307478035605072,0.013862570425463426,0.10417128165361736,0.2040909850899864,20.0,0.12548522087607147,0.13960135795463066,-0.1004942294939215
c_10089,gru,-0.024606320085617844,0.07169447891476498,0.005345013923943043,0.0745526573991498,0.28178378649376146,-1.0,0.05516193824749318,0.07455316807445218,-0.08133629711320789
c_10089,ridge,-0.02897705880010601,0.07169447891476498,0.0159978054458355,0.22313859711365952,0.36820608155140283,-16.0,0.054577065594017794,0.07342388512624941,-0.04882564207732365
c_10132,gru,-0.019313673208710077,0.19003685080271865,0.019233785569667816,0.10121082036680783,-0.2365020109101492,-38.0,0.15921730204130705,0.19643281658955403,-0.06844565684021453
c_10132,ridge,-0.014215989414679159,0.19003685080271865,0.022742745972313013,0.11967545176762978,0.12455491810473243,11.0,0.15165159014660554,0.18909439126731598,0.009894107773207095
c_1016,gru,0.002461320030614257,0.037954899649077126,0.001836080919019878,0.0483753332506709,0.12744685663517094,-4.0,0.026337212390693237,0.037844954690990806,0.00578506168492432
c_1016,ridge,0.0019331641369822912,0.037954899649077126,0.007822255170804397,0.20609342253904747,0.18833974557873057,35.0,0.0258130042235038,0.03733183275206397,0.03256247681716662
c_10306,gru,0.00927877971734154,0.11385031065216984,0.006782157812267542,0.05957083273130518,0.0916785842186677,29.0,0.09896603509258815,0.11380864322014445,0.0007318347569316153
c_10306,ridge,0.008342342667936802,0.11385031065216984,0.015567097209181147,0.13673302356408157,-0.040414649746014164,25.0,0.10041152703245138,0.11583211007180634,-0.03511712986814808
c_10312,gru,-0.003631629174198212,0.011971251317778264,0.0019144037505611777,0.15991676222836748,0.14589360208414887,-28.0,0.009440879691841694,0.012388599883242271,-0.07094053505434572
c_10312,ridge,-0.004791819250121724,0.011971251317778264,0.004378858530392287,0.36578118812770494,0.18650694216637148,-17.0,0.01016407503638242,0.012879955314197332,-0.1575762721652385
c_10382,gru,-0.013232656837843852,0.09792209000249842,0.009404810145497322,0.09604380528701302,0.30320091892427414,1.0,0.06704382574804701,0.09640451466631417,0.030755385414178882
c_10382,ridge,-0.01569477824440467,0.09792209000249842,0.01734042962387539,0.17708394115600432,0.26027099177866525,-1.0,0.06608863977079442,0.09618662174478987,0.03513179609432071
c_10393,gru,-0.0017830234632157688,0.07327151863729381,0.009167448617517948,0.12511612681181541,0.3006337728403081,-2.0,0.05786415931068963,0.07107782750523897,0.05898205704665671
c_10393,ridge,-0.006273174911866296,0.07327151863729381,0.012080191106563746,0.16486885124304165,0.049746748059395,17.0,0.05972643888411844,0.07393195596668975,-0.018108367014403326
c_10641,gru,-0.017556579487276975,0.031239752235556747,0.002880641259253025,0.09221075882843624,0.06891577978764869,-9.0,0.028195943850844275,0.035777788685820676,-0.31163146869712244
c_10641,ridge,-0.01884231129790719,0.031239752235556747,0.005246838478801045,0.16795390818846348,0.18334368355504504,-4.0,0.028761314260436512,0.03603304631350721,-0.3304139750194719
c_10695,gru,-0.06549440285226883,0.1593982852906902,0.012012841179966927,0.07536367883794637,0.059504031829313214,14.0,0.12132359730430815,0.17208648623204323,-0.1655374798115392
c_10695,ridge,-0.06344305874058115,0.1593982852906902,0.01982356432429028,0.12436497850738232,0.21253355034443683,0.0,0.11992982617338989,0.16876807699387025,-0.1210198774606277
c_10733,gru,0.0301334976834835,0.13768540929770545,0.007105685770511627,0.0516081246862375,0.024888908105772736,6.0,0.11164174763726176,0.1409506661888855,-0.047993106223649606
c_10733,ridge,0.014681768471854893,0.13768540929770545,0.024145932184085762,0.1753703047203576,-0.06418955729853917,-40.0,0.1086756491370725,0.14206566837103793,-0.0646391633001342
c_10878,gru,-0.00012118483640164689,0.10969896331687722,0.00552429910749197,0.05035871753440768,-0.03544804784468331,5.0,0.08240969358724913,0.11003344422383152,-0.006107456740428008
c_10878,ridge,-0.0008011827412647311,0.10969896331687722,0.014969207432172896,0.13645714580668128,0.2569350667893727,-1.0,0.07990825120779654,0.10683984328058074,0.05144735847382509
