container_id,model,dom_freq_actual,dom_freq_pred,dom_freq_abs_error,spectral_corr,spectral_energy_ratio
c_10032,gru,0.20833333333333331,0.0625,0.14583333333333331,-0.16434517115957414,0.004348062472710334
c_10032,ridge,0.20833333333333331,0.0625,0.14583333333333331,-0.08521684085044244,0.03815448473728795
c_10034,gru,0.010416666666666666,0.010416666666666666,0.0,0.8770287165696098,0.006885773045961123
c_10034,ridge,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.5371315493829525,0.03049165079465484
c_10089,gru,0.0625,0.0625,0.0,0.7167023547489565,0.0036401458985388982
c_10089,ridge,0.0625,0.0625,0.0,0.8034759294293541,0.052820034716856
c_10132,gru,0.03125,0.010416666666666666,0.020833333333333336,-0.043328899398677664,0.0076667324654675515
c_10132,ridge,0.03125,0.03125,0.0,0.48867117400428145,0.009518220232588992
c_1016,gru,0.05208333333333333,0.0625,0.010416666666666671,0.3854698569085212,0.0020044336045725543
c_1016,ridge,0.05208333333333333,0.0625,0.010416666666666671,0.4257900576052309,0.04878443340738626
c_10306,gru,0.041666666666666664,0.0625,0.020833333333333336,0.5236665671581094,0.0015831528357243374
c_10306,ridge,0.041666666666666664,0.07291666666666666,0.031249999999999993,0.21123366766049095,0.016949129007331983
c_10312,gru,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.4103318165688469,0.021149505285853458
c_10312,ridge,0.020833333333333332,0.0625,0.04166666666666667,0.6789188770633624,0.10042407211989694
c_10382,gru,0.17708333333333331,0.0625,0.11458333333333331,0.04960361691329322,0.007725401599728834
c_10382,ridge,0.17708333333333331,0.0625,0.11458333333333331,-0.01645086421719824,0.0282271946280288
c_10393,gru,0.08333333333333333,0.0625,0.02083333333333333,0.38540357826929617,0.010152949480152091
c_10393,ridge,0.08333333333333333,0.05208333333333333,0.03125,0.42387673924764674,0.03828751743844739
c_10641,gru,0.020833333333333332,0.0625,0.04166666666666667,0.261413757046403,0.003419822063197132
c_10641,ridge,0.020833333333333332,0.0625,0.04166666666666667,0.24749775701882334,0.028091498472112855
