container_id,gru_pearson_r,ridge_pearson_r
c_15179,0.46185731345940023,0.6005898630186783
c_12517,0.3341542613305395,0.5722162257936332
c_1186,0.5171573319535101,0.5487325796709419
c_12158,-0.23360379713552998,0.546719368384231
c_14471,0.03215991128966668,0.5095636831940624
c_14820,0.1591538271098535,0.4796143914271507
c_12999,0.27299505140376895,0.43739145254375056
c_15446,0.051805957428765814,0.4325883391941832
c_16048,0.09254883805115101,0.4260011652402732
c_11996,0.456870760119378,0.4253688612326608
