container_id,gru_pearson_r,ridge_pearson_r
c_1186,0.5171573319535101,0.5487325796709419
c_10034,0.5041330068095273,0.2040909850899864
c_15179,0.46185731345940023,0.6005898630186783
c_11996,0.456870760119378,0.4253688612326608
c_14296,0.43973224377774534,0.09813950918937386
c_13690,0.41833355919069926,0.37600761468984006
c_15235,0.36779538978462023,0.35212955651169275
c_15420,0.36385410144776353,0.22544673124490935
c_14855,0.34409008867452995,0.4233001477888456
c_12517,0.3341542613305395,0.5722162257936332
