container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio,day1_mape,energy_recovery_ratio,energy_actual,energy_predicted,variant_id
c_10032,0.358852864482574,0.43547099958836905,0.6952295766128102,0.7599154371072896,0.2812274693755964,0.3164399869045539,0.05316338733075171,0.06451422216123986,-0.04667029627415478,-0.034391568278266726,0.06343266816996744,0.002693822607398033,0.04246743334491231,10.59105590864395,0.0017620141725321406,0.39698052025174557,0.0006994853029027581,v1_prophet
c_10034,3.611826572417307,4.038314565109598,,,3.611826572417307,4.038314565109598,0.1184205433579445,0.13240375623310158,0.5710778712383704,0.017238864656593633,0.13355997199754616,0.01583986170589924,0.11859737216918748,68.5388803047373,0.012734235002191577,1.891530974348445,0.024087199941277504,v1_prophet
c_10089,0.7607050829965901,1.01675511348594,1.2269398381440035,1.654841185437556,0.6456601434147605,0.7830380777707348,0.05433607735689929,0.07262536524899571,0.09188383788183954,-0.09861681752980922,0.06928914592205651,0.004396197851747274,0.06344713581392049,7.65316209954877,0.003637647376383471,0.5101779667327826,0.0018558475421741605,v1_prophet
c_10132,0.6215042668790044,0.7649249084154527,1.4453732705481985,1.4828083426057905,0.4689359328661907,0.5350638865266044,0.1553760667197511,0.1912312271038632,-0.02250483908222297,-0.015618107358499556,0.18975515988932884,0.009031938388943672,0.04759785396197596,21.895425382604326,0.002242229713696661,3.496608049032525,0.007840198464691639,v1_prophet
c_1016,0.34124984619337373,0.5058644980588123,1.3512478458767885,1.4836869727572377,0.24943184622215425,0.2811437114919236,0.02437498901381241,0.036133178432772306,0.15219300509865755,0.014029755594608728,0.03638934692361461,0.002164052100852132,0.059469385515346675,13.99763734311317,0.004039685005687046,0.12738783139317833,0.0005146067123860121,v1_prophet
c_10306,0.34912771660276665,0.4002820907757829,0.5091459239668458,0.5256823145145358,0.30155473603506755,0.35454863775186385,0.09975077617221906,0.11436631165022368,-0.034539315295184496,-0.009085092952094476,0.11385031065216984,0.0031313172075897455,0.027503809077485963,1533.494439797364,0.000752117355233698,1.2524947054889028,0.0009420230053365231,v1_prophet
c_10312,0.3261624490006251,0.41991260721416557,0.5835224838168618,0.6592208042544697,0.23057157892602292,0.28356101865737465,0.009318927114303575,0.011997503063261873,0.13140921240409364,-0.1653979065758573,0.011113574180935965,0.0017912528710439801,0.1611770292690055,24.552754886629298,0.026442321098919665,0.013423386081979398,0.00035494548501446843,v1_prophet
c_10382,0.5407229530358991,0.7879821796547514,1.1307468458693681,1.4935606003027724,0.4314592691778493,0.5681579384169252,0.06759036912948739,0.09849777245684392,0.14497846147531565,-0.007553076904195377,0.0981278858542851,0.005501982755959034,0.05606951284091861,14.272767837932834,0.003083244328913628,0.9431274051745839,0.0029078922234475613,v1_prophet
c_10393,1.1401436102659686,1.4907538072684725,2.5248524198592475,2.606015221179902,0.9968978713425258,1.3227603745416612,0.05429255286980802,0.07098827653659394,-0.006387978171906953,-0.004262617155590176,0.07083746059594516,0.003807572415098548,0.05375083159483697,10.013620252774965,0.00296341472441443,0.4818709267103174,0.0014279833994805813,v1_prophet
c_10641,0.5916210416905195,0.7686068234686768,0.9022044618825618,1.042660650724685,0.3175768474034232,0.39085787112145765,0.028172430556691403,0.03660032492707985,0.06606993285428743,-0.3458462987416986,0.03154911700302905,0.001695662154816091,0.05374673892309853,11.74266169776008,0.002358802332956745,0.12723148627102296,0.00030011392664164305,v1_prophet
c_10695,0.6375087127805622,0.8879183601457484,1.5686581865656486,1.7192261601084753,0.39246937757396055,0.46695448864267497,0.12750174255611244,0.17758367202914968,0.030093906252115422,-0.15589749567258937,0.16517464062341308,0.009829574264585972,0.05951019010840006,19.630030610706637,0.0031730982462492155,3.0540147738747896,0.00969068892300129,v1_prophet
