epoch,loss,val_loss,mae,val_mae
1,6.259273052215576,12.580985069274902,1.5831376314163208,2.1824631690979004
2,6.247970104217529,12.582231521606445,1.5850226879119873,2.182224750518799
3,6.24562931060791,12.560099601745605,1.5839269161224365,2.182915449142456
4,6.246339797973633,12.547916412353516,1.5858818292617798,2.18270206451416
5,6.245100498199463,12.591992378234863,1.5856508016586304,2.1802923679351807
6,6.254210472106934,12.592890739440918,1.5873634815216064,2.18465256690979
7,6.250974655151367,12.557787895202637,1.5858161449432373,2.1782538890838623
8,6.242666721343994,12.556312561035156,1.5855966806411743,2.1784987449645996
9,6.2575459480285645,12.62459659576416,1.5893975496292114,2.1886301040649414
10,6.270924091339111,12.625955581665039,1.5918692350387573,2.1878552436828613
11,6.268096923828125,12.626205444335938,1.5911247730255127,2.187295436859131
12,6.2664055824279785,12.626134872436523,1.590840458869934,2.187438488006592
13,6.265727519989014,12.625957489013672,1.5905662775039673,2.187167167663574
14,6.265512943267822,12.625555992126465,1.5905290842056274,2.187178611755371
