container_id,day1_mae,day1_rmse,day1_mape,forecast_mae_scaled,forecast_rmse_scaled,forecast_pearson_r,forecast_r2,forecast_std_ratio,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_ratio,train_steps,validation_steps,input_window,variant_id
c_10032,0.796654952896966,1.006405907418125,23.458531415865185,0.1180229542198219,0.14909716946484436,0.14071137231533398,-4.204298580793982,1.472101937770433,0.1180229542198219,0.14909716946484436,0.14071137231533398,-4.204298580793982,1.472101937770433,614,154,192,g192
c_10034,5.262268626855479,5.805920758035472,80.66189961507621,0.17253340425848526,0.19035806685205103,0.9199808681649461,-1.7437451072835035,1.4997591034606579,0.17253340425848526,0.19035806685205103,0.9199808681649461,-1.7437451072835035,1.4997591034606579,613,154,192,g192
c_10089,1.3838664280043709,1.6767091793640316,15.215983452667938,0.0988476007363744,0.11976494008370951,0.818574986596639,0.6325097937613116,0.7910706858192509,0.0988476007363744,0.11976494008370951,0.818574986596639,0.6325097937613116,0.7910706858192509,614,154,192,g192
c_10132,0.6866037752893236,0.830228021379412,26.549869332794895,0.17165094242534704,0.20755700513803807,-0.1657914640346992,-0.22981220654650314,0.259374415677922,0.17165094242534704,0.20755700513803807,-0.1657914640346992,-0.22981220654650314,0.259374415677922,611,153,192,g192
c_1016,0.44390700956185664,0.6175161004695621,18.938488841481224,0.031707645153316366,0.044108294052219436,-0.12441665002677058,-0.593164706188462,0.6536877197164644,0.031707645153316366,0.044108294052219436,-0.12441665002677058,-0.593164706188462,0.6536877197164644,614,154,192,g192
c_10306,0.3452127751532114,0.41243194449065707,1321.7511710659953,0.09863222151115121,0.11783769820103009,0.15651391789061767,-0.08349345405196629,0.4770057291509117,0.09863222151115121,0.11783769820103009,0.15651391789061767,-0.08349345405196629,0.4770057291509117,614,154,192,g192
c_10312,0.5373190252576023,0.663729254386907,44.986291679559514,0.015351972906639621,0.018963693526512327,0.05899139641928718,-2.810724212609542,1.7301671008088595,0.015351972906639621,0.018963693526512327,0.05899139641928718,-2.810724212609542,1.7301671008088595,614,154,192,g192
c_10382,0.6400337522228559,0.864789436828788,17.863209452589178,0.08000422135616342,0.10809867996803071,0.30165054262151303,0.047447658019247774,0.44207179370482297,0.08000422135616342,0.10809867996803071,0.30165054262151303,0.047447658019247774,0.44207179370482297,614,154,192,g192
c_10393,1.540647183744996,2.021137634320877,13.362024008873071,0.07336415193212832,0.09624464996050278,0.9049429101975366,0.8152558846369875,0.9337146349188369,0.07336415193212832,0.09624464996050278,0.9049429101975366,0.8152558846369875,0.9337146349188369,614,154,192,g192
c_10641,0.9445929939548176,1.2550929414047587,18.421362216100086,0.04498061791712802,0.059766329965098064,-0.39821148783279725,-1.085364589782373,0.40590753298258747,0.04498061791712802,0.059766329965098064,-0.39821148783279725,-1.085364589782373,0.40590753298258747,613,154,192,g192
c_10695,0.6298588476247258,0.8798693700398645,20.477844065706606,0.12597177225682474,0.17597387359851724,-0.07233028673256553,-0.07732644026549162,0.15929219970582453,0.12597177225682474,0.17597387359851724,-0.07233028673256553,-0.07732644026549162,0.15929219970582453,614,154,192,g192
c_10733,3.383284193498117,4.044875764387621,8.66645510913936,0.21145525541915386,0.25280473026657735,-0.08035716208350842,-2.1401109063257078,0.9367871544785633,0.21145525541915386,0.25280473026657735,-0.08035716208350842,-2.1401109063257078,0.9367871544785633,611,153,192,g192
c_10878,0.43969139522976347,0.5870708487411019,21.453213289853675,0.08793828072233334,0.11741417016566212,0.07884620687788581,-0.010626651108352814,0.2072231268830687,0.08793828072233334,0.11741417016566212,0.07884620687788581,-0.010626651108352814,0.2072231268830687,614,154,192,g192
c_10898,0.6023375761177805,0.7916161476333952,21.531112604183544,0.13385279579662981,0.1759147030100868,-0.2793208671085599,-0.15877694157642042,0.17045695754381915,0.13385279579662981,0.1759147030100868,-0.2793208671085599,-0.15877694157642042,0.17045695754381915,614,154,192,g192
c_11013,4.495872371726566,5.6546779682723525,18.917927848358037,0.09990828036859539,0.12565951527449348,0.8276526126660511,0.6811898461697631,0.7984917335274211,0.09990828036859539,0.12565951527449348,0.8276526126660511,0.6811898461697631,0.7984917335274211,612,154,192,g192
c_11087,7.451228700578213,12.26327424567697,288.89527087330424,0.080120739315079,0.13186316429538097,0.09541711602529801,-0.07342200858046488,0.23981929683464487,0.080120739315079,0.13186316429538097,0.09541711602529801,-0.07342200858046488,0.23981929683464487,614,154,192,g192
