container_id,split,train_steps,validation_steps,day1_mae,day1_rmse,day1_mape,day1_pearson_r,day1_r2
c_10032,known,614,154,0.3527265424615,0.4342746801876826,10.35582386746874,0.2198337356999156,0.030952913409406202
c_10034,known,613,154,3.6539311792857596,4.100806759564513,69.45505178406628,0.9658377654370168,-0.3688003966195572
c_10089,known,614,154,0.7671085517160261,1.0264640799980946,7.700515677990001,0.9376167351454948,0.8622734059518247
c_10132,known,611,153,0.6186292306302041,0.765900643587523,21.692062402288723,0.007096827888188731,-0.04661967455556204
c_1016,known,614,154,0.3373625017825272,0.508068809892791,13.74045255422148,-0.11006223349777525,-0.07847269066643547
c_10306,known,614,154,0.34942368126449325,0.4010465099784245,1512.6259943737978,0.11052905336315329,-0.024498164629809693
c_10382,known,614,154,0.5505098471493538,0.7951472479223621,14.552529693018487,0.5047234488760337,0.1946897735473644
c_10393,known,614,154,1.1435608135976194,1.4932521441736883,9.998525549166722,0.9484408297832134,0.89915714708382
c_10641,known,613,154,0.5848794100440305,0.7649508520659688,11.554094437611818,0.7029341979741419,0.22536468117886643
c_10695,known,614,154,0.6429442462876115,0.8954920014969145,19.769050055916395,0.19613186344395458,-0.1159232965120971
c_10733,known,611,153,1.7669614486739542,2.23022936140851,4.609851894481057,0.26368044717701516,0.045373054934818136
c_10878,known,614,154,0.41246615904842265,0.5571475326742624,19.821298306540324,0.30639994645859336,0.08977211681019615
c_10898,known,614,154,0.58852094932183,0.7775527847507634,20.469891230896007,-7.602405845865551e-05,-0.11797038787538106
c_11307,known,614,154,2.6103885441826287,4.42685479636212,21.544744073816112,0.5288178859012196,0.21736520025275896
c_11327,known,612,153,0.6839051837740104,0.843147590016608,10.89179176404198,0.836669175356318,0.6728930516673551
c_11461,known,609,153,1.452769845263379,2.0231040183807445,11.807756855254386,0.941148339726952,0.8767988274254243
c_11735,known,613,154,2.070568034191734,4.366963570483181,15.621096625620826,-0.008650102242401814,-0.4772139788091945
c_11752,known,612,153,0.48726686184391516,0.605394286388308,34.9786663853798,0.11539264994773737,0.0076289781631924125
c_11996,known,613,154,1.3209160743352795,1.640820399182955,13.807020602583222,0.8700962056797222,0.7514675154550646
c_12060,known,614,154,0.13800769856992243,0.2377051354598834,517.1294525773089,0.19423449502491166,0.0038878307666401213
c_12158,known,611,153,1.8798730727791855,2.2729673297873343,6.646528678543214,0.9818383490390126,0.9602003111185636
c_12164,known,614,154,0.7596362723546605,0.987728256142959,10.776479309783806,0.10511654421829987,-0.04358847606580074
c_12174,known,614,154,0.5784125976920057,0.7562096032195974,9.14325685650814,0.6558270664617383,0.22316043910728312
c_12189,known,614,154,0.39685634077499915,0.5122273931104917,13.242531855367371,-0.011043524950996628,-0.16969631183462286
c_12193,known,610,153,0.31824351318384453,0.4243466511069079,12.678019540855553,0.13274811837330014,-0.03501575425778114
c_12231,known,614,154,7.443136830485611,8.110292275646962,101.8394319992116,0.0709745594840266,-0.058532294144993946
c_12237,known,608,152,17.307691653622694,22.450363952717183,52.95696510392415,0.7815191112732092,-0.25610906888647667
c_12441,known,611,153,1.8485272804943775,3.382716643906812,12.564803035502106,0.7616889505741455,0.43594478818126614
