container_id,prophet_dominant_freq,remaining_dominant_freq,prophet_dominant_period_steps,remaining_dominant_period_steps,prophet_peak_power,remaining_peak_power
c_10032,0.006493506493506494,0.06493506493506494,154.0,15.399999999999999,0.6278168140218232,0.41674524913477884
c_10034,0.012987012987012988,0.012987012987012988,77.0,77.0,0.7669437015275067,0.7372264316189172
c_10089,0.06493506493506494,0.06493506493506494,15.399999999999999,15.399999999999999,0.049066184179781674,0.43018738483705826
c_10132,0.16339869281045752,0.032679738562091505,6.12,30.599999999999998,0.29332833246921824,0.7495390367680939
c_1016,0.06493506493506494,0.06493506493506494,15.399999999999999,15.399999999999999,0.01438838462718219,0.16216375149987636
c_10306,0.03896103896103896,0.07142857142857144,25.666666666666668,13.999999999999998,0.17055122221112284,0.5617744196379721
c_10312,0.01948051948051948,0.01948051948051948,51.333333333333336,51.333333333333336,0.0050618759122333795,0.0320387280247315
c_10382,0.07792207792207792,0.06493506493506494,12.833333333333334,15.399999999999999,0.0964554412791074,0.6104250369259644
c_10393,0.012987012987012988,0.006493506493506494,77.0,154.0,0.22085848895653976,0.3005235525684522
c_10641,0.012987012987012988,0.05844155844155845,77.0,17.11111111111111,0.026902056365645452,0.04854020339479312
c_10695,0.012987012987012988,0.05844155844155845,77.0,17.11111111111111,0.41577089335325834,0.6436189942326195
c_10733,0.006535947712418301,0.006535947712418301,153.0,153.0,0.27191033737883175,1.7154154067483445
c_10878,0.012987012987012988,0.06493506493506494,77.0,15.399999999999999,0.26558701794100825,0.23798522118005283
c_10898,0.07792207792207792,0.006493506493506494,12.833333333333334,154.0,0.5072450138134482,1.2288580529036737
c_11013,0.5,0.05844155844155845,2.0,17.11111111111111,0.06427893534028581,0.4083434645970106
c_11087,0.2077922077922078,0.05844155844155845,4.8125,17.11111111111111,0.11173355359365532,1.8160209110270507
c_11203,0.012987012987012988,0.05844155844155845,77.0,17.11111111111111,0.18572430602131276,0.4576311535066872
c_11307,0.012987012987012988,0.06493506493506494,77.0,15.399999999999999,0.3837106551117294,1.9782565564251695
c_11327,0.013071895424836602,0.058823529411764705,76.5,17.0,0.14148755454525655,0.2919139509304748
c_11461,0.05228758169934641,0.06535947712418301,19.125,15.299999999999999,0.05484043408370465,0.5068697158003863
c_11735,0.012987012987012988,0.012987012987012988,77.0,77.0,0.12532005900470117,0.1213197662839072
c_11752,0.0392156862745098,0.06535947712418301,25.5,15.299999999999999,0.1215305377496641,1.1360794060593942
c_1181,0.13071895424836602,0.13071895424836602,7.6499999999999995,7.6499999999999995,0.24319331974929825,0.4423679751939863
c_1186,0.06493506493506494,0.05844155844155845,15.399999999999999,17.11111111111111,0.12485094508232886,1.1675667996611008
c_11996,0.05844155844155845,0.06493506493506494,17.11111111111111,15.399999999999999,0.11886218896959222,0.6358908487402539
c_12060,0.09740259740259741,0.06493506493506494,10.266666666666666,15.399999999999999,0.4187661633175256,2.1533345486377797
c_12158,0.05228758169934641,0.06535947712418301,19.125,15.299999999999999,0.14358301714375982,0.15301871543687845
c_12164,0.01948051948051948,0.06493506493506494,51.333333333333336,15.399999999999999,0.056750060804793605,0.3330265566718274
c_12174,0.006493506493506494,0.03246753246753247,154.0,30.799999999999997,0.191680469296791,0.3686263199434473
c_12189,0.006493506493506494,0.006493506493506494,154.0,154.0,0.03375694675000083,0.1442376834702953
