container_id,prophet_avg_abs_acf_1_10,remaining_avg_abs_acf_1_10,acf_reduction,prophet_lb_reject_20,remaining_lb_reject_20
c_10032,0.49643399154503864,0.2137789953494294,0.28265499619560924,1.0,1.0
c_10034,0.7966067674939352,0.5271962542377279,0.26941051325620735,1.0,1.0
c_10089,0.10751331233581589,0.2909295034798903,-0.18341619114407437,1.0,1.0
c_10132,0.06064995419802127,0.14665049790425178,-0.0860005437062305,0.0,1.0
c_1016,0.07693581017962804,0.35142505875009755,-0.2744892485704695,1.0,1.0
c_10306,0.05789010287780294,0.22100230435807205,-0.16311220148026911,0.0,1.0
c_10312,0.2558234068930939,0.3565545942595375,-0.1007311873664436,1.0,1.0
c_10382,0.06488675614427697,0.31205404966772055,-0.24716729352344358,1.0,1.0
c_10393,0.2909715907051075,0.21780357007072815,0.07316802063437933,1.0,1.0
c_10641,0.2381301531669613,0.19324946587250874,0.04488068729445255,1.0,1.0
c_10695,0.16647634478045706,0.18215285014745586,-0.0156765053669988,1.0,1.0
c_10733,0.10614427474435287,0.24869804470895013,-0.14255376996459726,1.0,1.0
c_10878,0.13357774512872458,0.12686743634758654,0.006710308781138041,1.0,1.0
c_10898,0.10928338022483353,0.17151182311650298,-0.062228442891669455,1.0,1.0
c_11013,0.08076798504252194,0.2419245676465128,-0.16115658260399085,0.0,1.0
c_11087,0.03462848994450274,0.35824585895007305,-0.3236173690055703,0.0,1.0
c_11203,0.19873645203454698,0.3239468663096595,-0.12521041427511254,1.0,1.0
c_11307,0.055453474351267996,0.19668124095005612,-0.14122776659878813,0.0,1.0
c_11327,0.15752085003290628,0.210396179895809,-0.05287532986290272,1.0,1.0
c_11461,0.13758737515986855,0.41685923732943886,-0.27927186216957034,1.0,1.0
c_11735,0.2561013917668715,0.25006944037934536,0.006031951387526158,1.0,1.0
c_11752,0.09131058987833023,0.2610452044246835,-0.16973461454635325,1.0,1.0
c_1181,0.12095696543646661,0.14087348651409123,-0.01991652107762462,1.0,1.0
c_1186,0.30766784318908347,0.5270959258308189,-0.2194280826417354,1.0,1.0
c_11996,0.13858172405012179,0.3274287680097176,-0.1888470439595958,1.0,1.0
c_12060,0.08296876916809535,0.1943849393161991,-0.11141617014810375,0.0,1.0
c_12158,0.2938798608221183,0.2602983017403092,0.0335815590818091,1.0,1.0
c_12164,0.05490197292851552,0.23436826084966653,-0.179466287921151,0.0,1.0
c_12174,0.055140429977044034,0.12723591154674707,-0.07209548156970304,0.0,1.0
c_12189,0.11999631459305302,0.21249153521891612,-0.0924952206258631,1.0,1.0
c_12193,0.06476380203796027,0.17676329127521492,-0.11199948923725465,0.0,1.0
c_12231,0.7323822974583394,0.771674544576511,-0.039292247118171586,1.0,1.0
c_12237,0.736239899929041,0.6227771816151695,0.11346271831387156,1.0,1.0
c_12441,0.09020862735365642,0.28501376631523806,-0.19480513896158164,0.0,1.0
c_12517,0.21283181164721698,0.5049840602554841,-0.29215224860826716,1.0,1.0
c_12624,0.10927216476910631,0.21103636163429637,-0.10176419686519006,0.0,1.0
c_12767,0.16985377093775775,0.23650521142376885,-0.0666514404860111,1.0,1.0
c_12858,0.15242721289993286,0.2612644176088192,-0.10883720470888633,1.0,1.0
c_1286,0.10580235768024848,0.288317892271098,-0.18251553459084952,1.0,1.0
c_12971,0.10466800358586181,0.09622502992465033,0.00844297366121148,0.0,1.0
c_12974,0.09691602287511754,0.1531101601098564,-0.05619413723473886,1.0,1.0
c_12993,0.11288623467177368,0.26124202426678345,-0.14835578959500978,1.0,1.0
c_12999,0.10271673495103754,0.3718447746555718,-0.26912803970453425,1.0,1.0
c_13020,0.3714471099412503,0.24552041105601172,0.12592669888523858,1.0,1.0
c_13044,0.08636566868103197,0.1531942055029128,-0.06682853682188082,1.0,1.0
c_13083,0.17556775393731044,0.2477450089490561,-0.07217725501174566,1.0,1.0
c_13166,0.22405216820899523,0.2704456580911977,-0.04639348988220246,1.0,1.0
c_13170,0.17239666822047642,0.2788588588970233,-0.10646219067654686,1.0,1.0
c_13229,0.1585588669350319,0.10901881513461412,0.04954005180041779,1.0,1.0
c_13269,0.1317499727527142,0.13175423725030835,-4.2644975941641405e-06,1.0,1.0
c_13308,0.56699565064498,0.3176444666064099,0.24935118403857015,1.0,1.0
c_13389,0.4246453333675976,0.3637833218716108,0.0608620114959868,1.0,1.0
c_13403,0.06272382276011419,0.31712043632561937,-0.2543966135655052,0.0,1.0
c_13441,0.31182003696371496,0.29169333988181817,0.020126697081896794,1.0,1.0
c_13607,0.19370630364827596,0.1612539188129994,0.03245238483527657,1.0,1.0
c_13615,0.2478975839483062,0.3629208695142843,-0.11502328556597813,1.0,1.0
c_13658,0.19214004328022607,0.219934465544174,-0.027794422263947932,1.0,1.0
c_13690,0.13860365883063527,0.2882192522567076,-0.1496155934260723,1.0,1.0
c_1379,0.06726010879273263,0.18431536385254563,-0.117055255059813,0.0,1.0
c_1387,0.08910126726814718,0.276765224759402,-0.18766395749125483,1.0,1.0
c_13873,0.1741634722759342,0.13635841729151876,0.03780505498441544,1.0,1.0
c_14106,0.04614609587239372,0.05059855308638759,-0.004452457213993871,0.0,0.0
c_14135,0.2285632996116164,0.232098441033687,-0.0035351414220705923,1.0,1.0
c_14296,0.7231005944786402,0.6277171227702336,0.09538347170840655,1.0,1.0
c_14363,0.04747904980982293,0.1117875716325816,-0.06430852182275867,0.0,1.0
c_14388,0.16757289176058315,0.32256772545993845,-0.1549948336993553,1.0,1.0
c_14396,0.3486934465661292,0.3560761932211024,-0.007382746654973182,1.0,1.0
c_14413,0.0713708011695841,0.15860755577505253,-0.08723675460546844,0.0,1.0
c_14416,0.1417610589326162,0.12270101753948273,0.01906004139313347,1.0,1.0
c_14417,0.1857685172907173,0.18707920592409943,-0.0013106886333821288,1.0,1.0
c_14435,0.1950075993970029,0.27433969073732667,-0.07933209134032376,1.0,1.0
c_14471,0.19521446530615127,0.26696389347466204,-0.07174942816851076,1.0,1.0
c_14820,0.19364604998026347,0.3620116967877713,-0.16836564680750782,1.0,1.0
c_14855,0.17594544961469094,0.4169661876981465,-0.24102073808345553,1.0,1.0
c_14886,0.22663545392779563,0.3076219497838181,-0.0809864958560225,1.0,1.0
c_1494,0.07477003967696272,0.29860548147279403,-0.2238354417958313,0.0,1.0
c_14964,0.48680136414258957,0.3759026562300086,0.11089870791258094,1.0,1.0
c_15030,0.2881949756840815,0.37658865852900997,-0.08839368284492849,1.0,1.0
c_15035,0.011077960651802643,0.0380581757016358,-0.026980215049833153,0.0,0.0
c_15072,0.08684121602043852,0.15252368143059675,-0.06568246541015822,0.0,1.0
c_15179,0.23457431773383347,0.3250255355784171,-0.09045121784458365,1.0,1.0
c_15235,0.1592904097985712,0.2399336753668313,-0.0806432655682601,1.0,1.0
c_15282,0.07546523431719103,0.273934915646596,-0.19846968132940496,1.0,1.0
c_15420,0.17051603139215207,0.3390669631630785,-0.16855093177092642,1.0,1.0
c_15446,0.05478127032755923,0.026285255555121408,0.028496014772437822,0.0,0.0
c_15486,0.1884188486741858,0.23659815634792808,-0.04817930767374229,1.0,1.0
c_15527,0.09424057780944314,0.1541883956619629,-0.059947817852519764,1.0,1.0
c_15555,0.22179495549296008,0.29210814332138474,-0.07031318782842466,1.0,1.0
c_15570,0.07060784773174812,0.194157767444129,-0.12354991971238087,0.0,1.0
c_15604,0.0693849299612325,0.07634027826300191,-0.006955348301769415,0.0,0.0
c_15616,0.4894358642431646,0.2796820302511749,0.2097538339919897,1.0,1.0
c_15630,0.45212797830705087,0.36702136799254337,0.0851066103145075,1.0,1.0
c_15640,0.24903138680783873,0.36677994559955723,-0.1177485587917185,1.0,1.0
c_15642,0.051079925610898955,0.11110606487621566,-0.060026139265316705,0.0,1.0
c_15647,0.10495116667159458,0.3586651117014064,-0.2537139450298118,1.0,1.0
c_15794,0.5525327880833851,0.27687541175491315,0.275657376328472,1.0,1.0
c_15856,0.09132190971169118,0.14304254722828288,-0.0517206375165917,1.0,1.0
c_16008,0.686339056000386,0.5995316557760775,0.08680740022430855,1.0,1.0
c_16048,0.10960786286473316,0.197988072065098,-0.08838020920036484,1.0,1.0
