container_id,n_val,ridge_pearson_r,ridge_mae_scaled,ridge_rmse_scaled,prophet_mean,prophet_std,prophet_var,remaining_mean,remaining_std,remaining_var,remaining_std_ratio,var_reduction_fraction
c_10032,154,0.12622259116448825,0.14426921530028633,0.166138486134601,-0.06392554137963734,0.11085980909099694,0.012289897271692286,-0.0891999042684584,0.1401619550862318,0.01964537365359486,1.2643171248038396,-0.5984977920722478
c_10034,154,0.20287633949506256,0.11196789437447977,0.1407376802909476,-0.04025738159519201,0.11373030688677728,0.01293458270456054,-0.03792958254843746,0.13553022327650116,0.018368441421378254,1.1916808015951852,-0.42010313289054313
c_10089,154,0.32732794025696244,0.09628148140636851,0.12556406771295894,0.025262435615911853,0.06744895422158871,0.00454936142558597,0.05411784198738623,0.11330310798584843,0.01283759427925283,1.6798349106142696,-1.8218453269184511
c_10132,153,0.10051399695853608,0.18753562951496797,0.24061493849130508,0.02211527184125068,0.19101200317965744,0.03648558535870546,-0.0006708171995440944,0.24061400339435635,0.057895098629459324,1.2596800169047253,-0.5867937449890892
c_1016,154,0.1704564720194651,0.0449052864333106,0.0604183950927017,-0.002182719137855012,0.03380323316856684,0.0011426585726484974,0.0008650007455189485,0.06041220273494463,0.0036496342392880517,1.7871723226499263,-2.1939849108459324
c_10306,154,-0.06456383967647204,0.13527688591844883,0.16497282799729857,-0.004172406836694776,0.11383051448120142,0.012957386027055005,0.0029847734825096156,0.16494582475674965,0.027207125104684364,1.4490475204167657,-1.099738716425977
c_10312,154,0.14388949278110852,0.02702234768740301,0.03442236553722015,0.0043263420571068596,0.01400825181742454,0.00019623111898037796,0.011242721699808668,0.03253460400801971,0.0010585004579586523,2.322531350239626,-4.3941518728458995
c_10382,154,0.23654825626608156,0.09776301563801097,0.13895981134308175,0.02243430868849086,0.08602970003283707,0.007401109287739927,0.038772185657589026,0.13344117351042112,0.01780654678783832,1.551105879242719,-1.4059294486213285
c_10393,154,0.0008900965115264965,0.10297191539064478,0.12672107608720348,-0.017957524621535336,0.08983005813305207,0.008069439344187515,0.00838400553911354,0.1264434244071985,0.015987939575818923,1.4075847999554494,-0.9812949690656225
c_10641,154,0.11323321216450569,0.049307722122454274,0.0603365671846063,0.0261474047558125,0.03414350472580425,0.001165778914961017,0.03670478012570325,0.047887999076452234,0.00229326045554629,1.4025507768176027,-0.9671486815516606
