feature,mean,std,count,abs_mean
res_ewm_mean_12,0.608572518371749,0.10508585534889966,20,0.608572518371749
res_roll_mean_6,0.5372791354303895,0.15879658890089107,20,0.5372791354303895
res_diff1,0.5349031112469305,0.11913651254271565,20,0.5349031112469305
res_slope_12,0.47650581378333146,0.05578006551492476,20,0.47650581378333146
res_roll_mean_12,0.404775661019912,0.18556012970722469,20,0.404775661019912
res_lag1,0.39906992247891027,0.20312251297612322,20,0.39906992247891027
res_roll_mean_24,0.2858534612161301,0.16727190581633156,20,0.2858534612161301
res_diff2,0.2281361104260097,0.0819464111042392,20,0.2281361104260097
res_ewm_var_12,0.18172199696392818,0.268142799370959,20,0.18172199696392818
res_roll_std_6,0.17527075344670445,0.2035122668192098,20,0.17527075344670445
res_roll_abs_mean_6,0.13915151846050047,0.4339051235718232,20,0.13915151846050047
res_roll_std_12,0.11258874098374352,0.21042933939357655,20,0.11258874098374352
res_lag96,0.10742658597700758,0.17549915589932077,20,0.10742658597700758
res_roll_mean_96,0.10341080318337921,0.2411185056403669,20,0.10341080318337921
res_roll_abs_mean_12,0.07664531085487378,0.37951406267516846,20,0.07664531085487378
res_roll_std_24,0.062402803838568235,0.22496191214224195,20,0.062402803838568235
res_roll_std_96,-0.045377469772529835,0.2363984325187591,20,0.045377469772529835
res_roll_abs_mean_96,0.030330160056005223,0.27676614113953474,20,0.030330160056005223
res_energy_96,0.0290355190389932,0.27035842871511473,20,0.0290355190389932
res_roll_abs_mean_24,0.027994711186393018,0.30246290939110754,20,0.027994711186393018
minute_of_day,-0.013447848375313168,0.19200240788597606,20,0.013447848375313168
hour,-0.011965037225072559,0.19256350807925218,20,0.011965037225072559
step_idx,-0.007256134225200076,0.22310682094451353,20,0.007256134225200076
day_idx,-0.0028888862414559956,0.19830313874231836,20,0.0028888862414559956
weekday,0.00043041848247014414,0.19738775282188792,20,0.00043041848247014414
is_weekend,,,0,
