feature,mean,std,count,abs_mean
cpu_scaled,0.7708141602215014,0.27170170025793244,97,0.7708141602215014
is_peak,0.6264553212794166,0.15008268463896524,93,0.6264553212794166
res_roll_std_12,0.15510289095773647,0.22495490829162787,99,0.15510289095773647
res_lag96,0.11809768606484852,0.24337742923164435,99,0.11809768606484852
prophet_pred,-0.07137257263794465,0.32904351862962233,99,0.07137257263794465
res_energy_96,0.06661525053072007,0.2032979616125263,99,0.06661525053072007
hour,0.01700685597358171,0.1847526185372127,99,0.01700685597358171
cpu_std,1.637806041122427e-18,5.305755190014358e-17,62,1.637806041122427e-18
