arm,band,band_range,n,mean_std_ratio,median_std_ratio,ci_low,ci_high,n_flagged
da_mse,h01_12,1-12,99,2.4307895781044433,0.8194795238040508,1.222495355437876,4.017345357487781,0
da_mse,h13_24,13-24,99,1.9953575958554355,0.5683902421676903,0.886239869554442,3.5243012344265323,0
da_mse,h25_48,25-48,99,0.8257917756732236,0.3867854386517134,0.4840891736812123,1.3110302739649133,0
da_mse,h49_72,49-72,99,1.0199861732243425,0.5729864182770007,0.6572708714915406,1.5800787177275177,0
da_mse,h73_96,73-96,99,1.794599059947737,0.7206677588798144,1.066438606664484,2.732736652109189,0
mse,h01_12,1-12,99,0.19432230913755547,0.1048730298525579,0.1454993886279548,0.25474397735222354,0
mse,h13_24,13-24,99,0.15074080121190483,0.08538190934951316,0.10776358943800868,0.20559323989400682,0
mse,h25_48,25-48,99,0.07331546895170647,0.04747071931683319,0.057207482981174194,0.09324852997833182,0
mse,h49_72,49-72,99,0.10496383236038169,0.07398885640251786,0.08099527057337573,0.139620693764925,0
mse,h73_96,73-96,99,0.18117393929553097,0.12347069837214152,0.14469422434781937,0.2259177449327838,0
