epoch,loss,val_loss,mae,val_mae
1,0.046339500695466995,0.03119760751724243,0.15217222273349762,0.12723062932491302
2,0.024632791057229042,0.03222089633345604,0.10948345810174942,0.12682440876960754
3,0.022542500868439674,0.02827080339193344,0.10447581112384796,0.11654798686504364
4,0.02064671739935875,0.028220685198903084,0.09937557578086853,0.11590214818716049
5,0.019416337832808495,0.028503350913524628,0.09594754129648209,0.11661799252033234
6,0.018977519124746323,0.028659621253609657,0.0947611927986145,0.11676490306854248
7,0.018658317625522614,0.028453972190618515,0.09397266805171967,0.11622441560029984
8,0.01846405491232872,0.028496574610471725,0.09353536367416382,0.11673209071159363
9,0.01801398955285549,0.027997924014925957,0.09232409298419952,0.11529693007469177
10,0.018021956086158752,0.028310278430581093,0.09248138964176178,0.11420530825853348
11,0.01780196838080883,0.028663458302617073,0.09176401793956757,0.11361271888017654
12,0.017342299222946167,0.02904435247182846,0.09056367725133896,0.11381115764379501
13,0.01712426356971264,0.028971770778298378,0.09014265984296799,0.1129026859998703
14,0.016864493489265442,0.028423862531781197,0.08953791111707687,0.11161772161722183
15,0.016481181606650352,0.028120404109358788,0.08843683451414108,0.11000916361808777
16,0.016093112528324127,0.027938244864344597,0.08752512186765671,0.10981302708387375
17,0.015970459207892418,0.027252856642007828,0.08704358339309692,0.10987017303705215
18,0.017141250893473625,0.027714263647794724,0.09200750291347504,0.11400783807039261
19,0.016221368685364723,0.027095302939414978,0.0888812467455864,0.11053434759378433
20,0.01512148417532444,0.027092505246400833,0.08398788422346115,0.1105429157614708
21,0.014918435364961624,0.026564955711364746,0.08341098576784134,0.10863567143678665
22,0.014851815067231655,0.02636091783642769,0.08316338062286377,0.10768143087625504
23,0.01478418055921793,0.026268206536769867,0.08316841721534729,0.10796495527029037
24,0.014975322410464287,0.025693777948617935,0.08404440432786942,0.10694941878318787
25,0.015149269253015518,0.025410689413547516,0.08513154089450836,0.10761460661888123
26,0.015045792795717716,0.0248623788356781,0.08428171277046204,0.10365002602338791
27,0.0149472551420331,0.025446990504860878,0.08373565971851349,0.10572262108325958
28,0.01480155810713768,0.025834331288933754,0.08306115120649338,0.1069144755601883
29,0.014989636838436127,0.026408309116959572,0.0836138129234314,0.10786886513233185
30,0.015253860503435135,0.025695305317640305,0.08500294387340546,0.10633531212806702
31,0.015094309113919735,0.026033606380224228,0.08428983390331268,0.10692224651575089
32,0.01646455004811287,0.02686397172510624,0.08842871338129044,0.11055763810873032
33,0.015043533407151699,0.025522397831082344,0.08378234505653381,0.10540377348661423
34,0.014849872328341007,0.02562490850687027,0.08329876512289047,0.10522520542144775
35,0.01477676909416914,0.02603219263255596,0.08273831009864807,0.1063399389386177
36,0.014690793119370937,0.024629881605505943,0.08285791426897049,0.10252172499895096
37,0.015307263471186161,0.025580495595932007,0.08564431220293045,0.1054483950138092
38,0.016075482591986656,0.024956680834293365,0.08912412822246552,0.10346533358097076
39,0.01499812863767147,0.025545567274093628,0.08434413373470306,0.10483947396278381
40,0.014527760446071625,0.02590508759021759,0.08231484889984131,0.10519875586032867
41,0.014701328240334988,0.02573489584028721,0.08317571133375168,0.10507244616746902
42,0.014672878198325634,0.025705678388476372,0.08305300772190094,0.10521616041660309
43,0.015492591075599194,0.02598940022289753,0.08625935018062592,0.10703513026237488
44,0.015572442673146725,0.0261826254427433,0.08671806752681732,0.10859700292348862
45,0.014930682256817818,0.025984281674027443,0.08405085653066635,0.10819969326257706
46,0.01666034571826458,0.026699800044298172,0.09168490022420883,0.10942290723323822
