sample_quantile,theoretical_quantile
-5.335207438649226,-5.181746983340859
-5.316879272062641,-5.172083203430507
-5.2748724217336465,-5.162487522329384
-5.253901365230601,-5.152958868263632
-5.247984028126208,-5.1434961950696065
-5.187628045223558,-5.134098481376749
-5.183737944214506,-5.124764729822924
-5.131594969717535,-5.115493966300743
-5.089966692697765,-5.106285239233377
-5.033422857839447,-5.097137618878487
-5.029683008616778,-5.088050196658977
-4.873589729718207,-5.079022084519316
-4.870643429855133,-5.070052414306292
-4.868275568879633,-5.061140337173058
-4.826279391147764,-5.052285023005436
-4.790659959862403,-5.043485659869493
-4.749557534376418,-5.03474145347944
-4.748984377873189,-5.02605162668495
-4.712497863082452,-5.017415418977067
-4.6763333635920885,-5.008832086011887
-4.675271704725877,-5.000300899151256
-4.669518212066172,-4.991821145019735
-4.645163021272236,-4.983392125077194
-4.617622111392,-4.975013155206299
-4.59584018651697,-4.96668356531436
-4.588441638205578,-4.958402698948866
-4.573231201216948,-4.950169912926183
-4.549010401726127,-4.941984576972881
-4.5445619981555785,-4.933846073379145
-4.53006927834446,-4.925753796663823
-4.529902793078301,-4.917707153250597
-4.51576811283835,-4.909705561154889
-4.512457437761771,-4.901748449681032
-4.499579997261041,-4.893835259129309
-4.488280000353949,-4.885965440512522
-4.469997210650193,-4.878138455281641
-4.465306230796263,-4.870353775060259
-4.3795609751385545,-4.862610881387472
-4.338360845562505,-4.854909265468874
-4.299507906771311,-4.8472484279353685
-4.297628852702877,-4.839627878609493
-4.29220734652514,-4.832047136278979
-4.284424568130566,-4.824505728477289
-4.262967362674387,-4.817003191270854
-4.254722207733639,-4.809539069052782
-4.248772990768065,-4.802112914342804
-4.240961261482837,-4.794724287593213
-4.223816683665973,-4.787372757000599
-4.210928719035383,-4.780057898323174
-4.202754562405929,-4.772779294703472
-4.197198618508915,-4.765536536496247
-4.193900613083423,-4.7583292211013815
-4.181562768013003,-4.751156952801639
-4.174066132323929,-4.744019342605084
-4.161615264380632,-4.736916008092
-4.15880353529637,-4.729846573266188
-4.151152196726007,-4.7228106684104425
-4.131873393230894,-4.71580792994611
-4.114622963725601,-4.708838000296568
-4.100859041329717,-4.701900527754497
-4.0914507365811295,-4.694995166352832
-4.076470280250998,-4.688121575739248
-4.076452085727472,-4.681279421054087
-4.0660084851526905,-4.674468372811595
-4.035938014167715,-4.66768810678438
-4.024454321584486,-4.6609383038909655
-4.015887173796494,-4.654218650086359
-4.015469114158689,-4.647528836255524
-4.009165678909774,-4.64086855810967
-4.005484733390916,-4.634237516085278
-3.9860644495250965,-4.6276354152457735
-3.9776464527041067,-4.621061965185721
-3.9757312467061436,-4.614516879937553
-3.961820999403475,-4.607999877880659
-3.9568844679314883,-4.601510681652826
-3.940414685723411,-4.595049018063924
-3.939666978928313,-4.588614618011789
-3.9394520262589534,-4.582207216400216
-3.9374891388263777,-4.575826552059025
-3.907404840164459,-4.569472367666106
-3.875767368207594,-4.563144409671411
-3.86758592361544,-4.556842428222827
-3.8639368675888304,-4.5505661770938515
-3.855074935738088,-4.544315413613074
-3.846779510308886,-4.538089898595328
-3.8349127919195514,-4.531889396274546
-3.8321154964924933,-4.525713674238232
-3.820501148389415,-4.51956250336347
-3.7997568005285487,-4.513435657754505
-3.793133435174336,-4.507332914681782
-3.7802254524758556,-4.501254054522422
-3.7767448812315627,-4.495198860702119
-3.765137834996422,-4.489167119638369
-3.764178063329453,-4.4831586206850575
-3.763324139949984,-4.477173156078288
-3.760948774331421,-4.471210520883507
-3.753264218017489,-4.465270512943803
-3.7438187405655183,-4.459352932829415
-3.7213023513969197,-4.453457583788378
-3.7195439986706718,-4.447584271698286
-3.714642115420986,-4.441732805019151
-3.7130256789912313,-4.435902994747312
-3.6991226938229174,-4.43009465437037
-3.6966406562673195,-4.424307599823137
-3.6792923916566673,-4.418541649444559
-3.673709567062654,-4.412796623935571
-3.6580501431915775,-4.407072346317902
-3.6491927821621504,-4.401368641893752
-3.647771371243816,-4.395685338206381
-3.645917518385787,-4.390022265001516
-3.6379476244053346,-4.384379254189602
-3.607746203801667,-4.378756139808881
-3.6076324985157684,-4.3731527579892315
-3.602555390546146,-4.367568946916794
-3.592745492001664,-4.362004546799341
-3.589950532288323,-4.356459399832383
-3.5859409706705137,-4.350933350165971
-3.579687454251172,-4.345426243872215
-3.5688492663503752,-4.339937928913453
-3.560919625936185,-4.334468255111115
-3.558316219138868,-4.329017074115181
-3.5565500978832603,-4.323584239374317
-3.547266339944841,-4.31816960610659
-3.537998178615869,-4.3127730312707895
-3.5256503171072295,-4.307394373538329
-3.5086483685006336,-4.302033493265726
-3.5066701395488,-4.296690252467615
-3.503584367916942,-4.291364514790329
-3.4916992648720417,-4.286056145485982
-3.4794822465899022,-4.28076501138708
-3.475736975096689,-4.275490980881642
-3.454924450705254,-4.270233923888792
-3.437694410663235,-4.264993711834847
-3.43621459812579,-4.259770217629865
