lag,pacf_mean
0,1.0
1,0.36129773708725665
2,0.02337576615528518
3,0.017626619926477394
4,-0.0018817122520729279
5,-0.014827769652036717
6,-0.0014248911570675829
7,-0.00886167301245114
8,0.00887319850434201
9,-0.004001550597490362
10,0.008606928995142791
11,0.0040840103909497395
12,0.010197575871232586
13,-0.005277761895981717
14,0.005332832359113302
15,0.004105898158231766
16,0.010839140308111903
17,0.003429393159731704
18,0.010579956084369325
19,0.0014813111858166562
20,0.005308912388270841
21,-0.00969719722518017
22,-0.0016342016919289471
23,-0.00773804172605216
24,-0.0018847198284294975
25,-0.02056259570778737
26,-0.013977343978827005
27,-0.008754711607776588
28,-0.009970018441004714
29,-0.016108600897599305
30,-0.0031275217118528643
31,-0.010096259330306523
32,-0.004501328330505997
33,-0.01100866203959884
34,-0.0072574892879552185
35,-0.001088613301615408
36,-0.0025936768195731546
37,0.002742274657273411
38,-0.0031686409757290413
39,-0.007515494204130068
40,0.0037182786132747498
41,-0.013006449431756205
42,-0.007840990030992182
43,-0.0069215190750977745
44,-0.008236888947337265
45,-0.00883416541830473
46,-0.015618007918324859
47,-0.013620921606774188
48,-0.007729007395692643
49,-0.0049646393425931525
50,-0.010727222318264609
51,-0.007507069517915268
52,-0.007452813440541318
53,-0.00594407272809739
54,-0.0036041403637721036
55,-0.0032519759996899205
56,-0.004621501163060485
57,-0.00547212940878369
58,0.0025935887439699503
59,-0.001944332681240715
60,-0.005656450978410376
61,0.002028207869975792
62,-0.00498253000033099
63,-0.0035401856167876023
64,-0.004748410987620237
65,-0.004120874697170051
66,-0.010429574448115481
67,-0.006222238345824605
68,-0.005776337707083221
69,-0.012940751185914368
70,-0.010573956030879777
71,-0.009046508343646752
72,-0.0066849741485997035
73,-0.0043557400160994806
74,-0.008323719424150592
75,-0.0054615732281168535
76,0.0055397746554108574
77,-0.005950013055471191
78,0.0036608548057405904
79,-0.0013102912445485326
80,-0.006082461055361615
81,-0.00816610502663735
82,-0.0009819582149231169
83,-0.004690413360229249
84,-0.003953844686599762
85,-0.014514524511286804
86,-0.006813924926033924
87,-0.012725161676697887
88,-0.011861073323777187
89,-0.022013903800465293
90,-0.013967443470313598
91,-0.013390250675562581
92,-0.01077771820520556
93,-0.014922101629754112
94,-0.009577228118877743
95,-0.000318576883711776
96,0.008789650960997743
