freq,psd_mean
0.0,1.6534051027127108
0.00390625,7.384070682198937
0.0078125,8.707874730615291
0.01171875,7.218125489872708
0.015625,5.824168390083121
0.01953125,3.3226759165147626
0.0234375,2.999943802110544
0.02734375,3.457017746738913
0.03125,2.78071048256223
0.03515625,3.441589149053026
0.0390625,2.702159360138427
0.04296875,2.9157790377310153
0.046875,2.989666013222252
0.05078125,4.223630653040241
0.0546875,3.5469843168155344
0.05859375,2.7807374055378924
0.0625,3.364059664428906
0.06640625,2.693046667936546
0.0703125,2.869136568427756
0.07421875,3.1794745450615114
0.078125,2.649063499340389
0.08203125,3.0544978441057062
0.0859375,2.741663040429287
0.08984375,3.9680507008219297
0.09375,10.794675259864318
0.09765625,6.215421723579944
0.1015625,2.610773728712812
0.10546875,2.7370526448653987
0.109375,2.172398849525448
0.11328125,2.5656155540977155
0.1171875,2.381822563886427
0.12109375,2.3103526773849326
0.125,2.23149322250879
0.12890625,1.9671260045375605
0.1328125,2.2873420346834057
0.13671875,2.1382784196942506
0.140625,2.0168857262526894
0.14453125,2.0646737066920298
0.1484375,1.8165201568305096
0.15234375,2.152494227049376
0.15625,2.2688353032727933
0.16015625,2.041162485353288
0.1640625,2.1689067388227254
0.16796875,1.9469039840953581
0.171875,2.0302701930004936
0.17578125,2.190584742398306
0.1796875,2.15654168617734
0.18359375,2.2933486669567693
0.1875,4.04502974782648
0.19140625,3.5073724650471276
0.1953125,1.805669034929925
0.19921875,1.6000114808343766
0.203125,1.4790111497466032
0.20703125,1.7091641468284409
0.2109375,1.5580168653094149
0.21484375,1.6621793788077894
0.21875,1.5702334242536675
0.22265625,1.747833192589121
0.2265625,1.6948602407115392
0.23046875,1.5515537910601604
0.234375,1.510135164989372
0.23828125,1.5303949047737317
0.2421875,1.4600614733192183
0.24609375,1.5170261721542708
0.25,1.6966093548593089
0.25390625,1.5484620037581867
0.2578125,1.4721671198605166
0.26171875,1.4222191476898736
0.265625,1.298154562772729
0.26953125,1.4486729235093656
0.2734375,1.4025846043043997
0.27734375,1.4430848414902393
0.28125,1.5217734845497082
0.28515625,1.5377471277872703
0.2890625,1.3562785053820527
0.29296875,1.321111046204405
0.296875,1.1505866911790197
0.30078125,1.2194724847772147
0.3046875,1.1502052669542213
0.30859375,1.2463855080795387
0.3125,1.2018201748332948
0.31640625,1.0304378962397545
0.3203125,1.217224072519752
0.32421875,1.1535777268601433
0.328125,1.3051921831431095
0.33203125,1.3396189606191742
0.3359375,1.0587067505298036
0.33984375,1.204839168573401
0.34375,1.2826812477201088
0.34765625,1.0449251550125684
0.3515625,1.1457889955452023
0.35546875,1.2034270911069447
0.359375,1.1193468680942003
0.36328125,1.1262964930871449
0.3671875,1.1447845558857777
0.37109375,1.2451575280725566
0.375,1.205951196821587
0.37890625,1.0390396180973145
0.3828125,0.9114357576807746
0.38671875,0.8791991477558951
0.390625,1.0163977168800624
0.39453125,1.1671094955064114
0.3984375,1.0707177347855221
0.40234375,1.0810099280291512
0.40625,1.1623257625241268
0.41015625,1.0975530346930207
0.4140625,1.007748774384563
0.41796875,1.0376697884195971
0.421875,0.8978573276808645
0.42578125,0.9492811633579904
0.4296875,0.9777223477933352
0.43359375,1.052346722093343
0.4375,1.0247996073931507
0.44140625,0.9417062907807386
0.4453125,1.0241969251262468
0.44921875,1.0706004673154328
0.453125,1.047713350508565
0.45703125,0.9540627676165312
0.4609375,0.9453100115233678
0.46484375,0.8347782275079216
0.46875,0.7602499920710095
0.47265625,0.9573556335693769
0.4765625,0.9473332407675819
0.48046875,0.8419133428122609
0.484375,0.8941367533296448
0.48828125,1.0421360216535709
0.4921875,1.1426538523248684
0.49609375,1.2144331696298905
0.5,0.7315791579271131
