container_id,prophet_avg_abs_acf_1_10,remaining_avg_abs_acf_1_10,prophet_avg_abs_pacf_1_10,remaining_avg_abs_pacf_1_10,prophet_lb_stat_lag_10,prophet_lb_p_lag_10,prophet_lb_reject_lag_10,prophet_lb_stat_lag_20,prophet_lb_p_lag_20,prophet_lb_reject_lag_20,prophet_lb_stat_lag_30,prophet_lb_p_lag_30,prophet_lb_reject_lag_30,remaining_lb_stat_lag_10,remaining_lb_p_lag_10,remaining_lb_reject_lag_10,remaining_lb_stat_lag_20,remaining_lb_p_lag_20,remaining_lb_reject_lag_20,remaining_lb_stat_lag_30,remaining_lb_p_lag_30,remaining_lb_reject_lag_30,prophet_dominant_freq,prophet_dominant_period_steps,prophet_total_power,prophet_peak_power,remaining_dominant_freq,remaining_dominant_period_steps,remaining_total_power,remaining_peak_power,acf_reduction,pacf_reduction
c_10032,0.49643399154503864,0.2137789953494294,0.17030786545463164,0.1300311297770024,404.14927236453906,1.231900598182062e-80,1.0,558.3213212642578,1.694998858014872e-105,1.0,603.3007813145181,6.1392029205064676e-108,1.0,137.4379097703851,1.4108325854447686e-24,1.0,215.71468117310343,8.540553729937969e-35,1.0,249.327968521065,2.0433065015981973e-36,1.0,0.006493506493506494,154.0,1.892644179840612,0.6278168140218232,0.06493506493506494,15.399999999999999,3.0253875426536077,0.41674524913477884,0.28265499619560924,0.04027673567762924
c_10034,0.7966067674939352,0.5271962542377279,0.12923752120015536,0.16678553572458216,1038.731002413446,8.461768242434853e-217,1.0,1423.1525974071649,1.2080650984919454e-289,1.0,1445.384957834064,1.706353752413726e-285,1.0,534.4864089089355,1.8693518202756406e-108,1.0,555.0375852400095,8.303328154759772e-105,1.0,746.4058388814598,1.0078870915795392e-137,1.0,0.012987012987012988,77.0,1.9919257365023229,0.7669437015275067,0.012987012987012988,77.0,2.8287399788922505,0.7372264316189172,0.26941051325620735,-0.0375480145244268
c_10089,0.10751331233581589,0.2909295034798903,0.10002240645688867,0.14566649527800618,37.26507126083732,5.091821315385564e-05,1.0,61.905847379371075,3.59654600018536e-06,1.0,76.65703976025573,5.906814105495993e-06,1.0,173.8450212459275,4.431640159079165e-32,1.0,288.53940672065636,1.7580914808527873e-49,1.0,375.721251263237,2.187233499036369e-61,1.0,0.06493506493506494,15.399999999999999,0.7006016595402395,0.049066184179781674,0.06493506493506494,15.399999999999999,1.976989519004936,0.43018738483705826,-0.18341619114407437,-0.04564408882111751
c_10132,0.06064995419802127,0.14665049790425178,0.049255226404277354,0.097324240597495,10.265371458919896,0.4175280446957134,0.0,26.8080690261358,0.1407507033501936,0.0,34.72632427415402,0.25273461401059655,0.0,49.75733518593806,2.9578028323936917e-07,1.0,70.86228954075376,1.3162645527452602e-07,1.0,93.28063922052716,2.0719833321334382e-08,1.0,0.16339869281045752,6.12,5.582294559881936,0.29332833246921824,0.032679738562091505,30.599999999999998,8.857950090307275,0.7495390367680939,-0.0860005437062305,-0.04806901419321765
c_1016,0.07693581017962804,0.35142505875009755,0.06688604012439454,0.16816581203040115,19.474277390106813,0.03463610047434812,1.0,34.143115435654906,0.02517271434894676,1.0,39.876257425587006,0.10728329370949903,0.0,235.42342476568837,6.257528763722373e-45,1.0,367.8441935888621,9.273708318124234e-66,1.0,502.71792791298196,3.347215661100909e-87,1.0,0.06493506493506494,15.399999999999999,0.17596942018786862,0.01438838462718219,0.06493506493506494,15.399999999999999,0.5620436728503599,0.16216375149987636,-0.2744892485704695,-0.10127977190600661
c_10306,0.05789010287780294,0.22100230435807205,0.04910236927951364,0.12535328955352149,9.304059679378382,0.5035108202450529,0.0,22.567539229476214,0.3105245461022906,0.0,28.444365755969347,0.5469014622261557,0.0,103.01864061532251,1.3535966386248314e-17,1.0,144.3626950070522,7.498810546009267e-21,1.0,205.4234923582386,4.764474764932245e-28,1.0,0.03896103896103896,25.666666666666668,1.9954374481664707,0.17055122221112284,0.07142857142857144,13.999999999999998,4.189897266121392,0.5617744196379721,-0.16311220148026911,-0.07625092027400784
c_10312,0.2558234068930939,0.3565545942595375,0.13812009111635998,0.2059482532396653,139.97499060162457,4.264418339644012e-25,1.0,152.686178672356,1.9205485171973597e-22,1.0,155.99577777765728,5.743637794026818e-19,1.0,289.7275106596659,2.3023552548933168e-56,1.0,326.39359560090475,3.18894509658424e-57,1.0,439.716608006788,2.4818535098739252e-74,1.0,0.01948051948051948,51.333333333333336,0.03021959232297821,0.0050618759122333795,0.01948051948051948,51.333333333333336,0.1630090705256325,0.0320387280247315,-0.1007311873664436,-0.06782816212330534
c_10382,0.06488675614427697,0.31205404966772055,0.08074360870985067,0.1658394763553427,23.943480253661516,0.007751832567712433,1.0,39.694521681587915,0.005458750635231701,1.0,54.92257541482259,0.0036222258466989993,1.0,197.93005777315258,4.359928734566186e-37,1.0,290.3069320030211,7.672298337360581e-50,1.0,346.6294912070578,1.4790894885996002e-55,1.0,0.07792207792207792,12.833333333333334,1.1397708303119487,0.0964554412791074,0.06493506493506494,15.399999999999999,2.7422082053271004,0.6104250369259644,-0.24716729352344358,-0.08509586764549204
c_10393,0.2909715907051075,0.21780357007072815,0.12495717087735563,0.13530418173047656,165.975175042715,1.8878741769783062e-30,1.0,256.55357421339284,5.432392533616314e-43,1.0,264.6638077280863,2.1878449340829044e-39,1.0,141.81325112525826,1.7906938012290469e-25,1.0,211.13112046872115,6.977296504583918e-34,1.0,244.8041765369303,1.5216971079858422e-35,1.0,0.012987012987012988,77.0,1.2426936590048774,0.22085848895653976,0.006493506493506494,154.0,2.462142694676115,0.3005235525684522,0.07316802063437933,-0.010347010853120939
c_10641,0.2381301531669613,0.19324946587250874,0.10386743282296788,0.11726687860602167,109.2371919951452,7.602844275412784e-19,1.0,118.0495864521068,6.542798632311954e-16,1.0,122.56758373558803,3.7781212876831574e-13,1.0,94.38433625271881,7.203583974094332e-16,1.0,130.46097224255104,3.194069733193569e-18,1.0,194.64283934860384,4.953983112979701e-26,1.0,0.012987012987012988,77.0,0.1795299529039966,0.026902056365645452,0.05844155844155845,17.11111111111111,0.3531621101541287,0.04854020339479312,0.04488068729445255,-0.013399445783053784
