container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio,day1_mape,energy_recovery_ratio,energy_actual,energy_predicted,variant_id
c_10032,0.35767406543778213,0.4366435657284793,0.7027593740672912,0.771963305085595,0.2780389942155877,0.31166298645976637,0.05298875043522699,0.06468793566347841,-0.11761176468156843,-0.039969553818108405,0.06343266816996744,0.0033255000598728657,0.052425668914985714,10.530686544124377,0.002748149599398538,0.39698052025174557,0.0010909618576988578,v2_volatility
c_10034,3.669238806745984,4.115306054424581,,,3.669238806745984,4.115306054424581,0.12030291169658967,0.134928067358183,0.5318623196528809,-0.020591532750906083,0.13355997199754616,0.012899867258965969,0.09658483051496128,68.80045918547971,0.008630278000242908,1.891530974348445,0.016324438154697418,v2_volatility
c_10089,0.7615916998643506,1.0165713922139585,1.173871224936514,1.6149292220814844,0.6598603884829077,0.8030472686722404,0.0543994071331679,0.07261224230099704,0.2666141169214792,-0.09821982706295262,0.06928914592205651,0.002694434253498912,0.03888681578684612,7.659039003547876,0.0015887504254814963,0.5101779667327826,0.000810545461717993,v2_volatility
c_10132,0.6250320541515645,0.7718424786607155,1.4530245308794327,1.4934174097682544,0.4717001140167741,0.541336760412289,0.15625801353789112,0.19296061966517888,-0.16812817486091575,-0.03407057881874387,0.18975515988932884,0.01055321004241705,0.05561487786984034,22.023692343696656,0.0030685641816324168,3.496608049032525,0.010729566216468811,v2_volatility
c_1016,0.34364251461346534,0.5124155527343353,1.3645210044313,1.4999265708151717,0.2508353791754803,0.28620664282536884,0.024545893900961804,0.03660111090959537,-0.04993863241228522,-0.011672655493063289,0.03638934692361461,0.0025027799420058727,0.06877781970804514,14.064527327011737,0.006102469126246331,0.12738783139317833,0.000777380308136344,v2_volatility
c_10306,0.3512317644162038,0.4014805603599898,0.5126698675759328,0.5283693158715702,0.30323665266601424,0.35511868070061287,0.10035193269034397,0.11470873153142565,-0.07568659280238399,-0.015136666410297872,0.11385031065216984,0.005479377694427967,0.04812791166787683,1532.9169710123344,0.0023437937727724375,1.2524947054889028,0.0029355892911553383,v2_volatility
c_10312,0.3057563103298353,0.39895356028628454,0.5428221154468231,0.6235069606175351,0.2177032970006684,0.2718180687531478,0.008735894580852438,0.011398673151036702,0.2769522084713866,-0.05196452892396297,0.011113574180935965,0.0025055352598428726,0.2254481968672891,23.010039997071686,0.044959565158882366,0.013423386081979398,0.0006035096012055874,v2_volatility
c_10382,0.551609923286308,0.7950938778994727,1.1201466205213426,1.491822559905324,0.44632534972426446,0.5806096425096743,0.0689512404107885,0.09938673473743409,-0.06100051295371986,-0.025821886239653535,0.0981278858542851,0.0035897481720894575,0.036582344976024965,14.589767327127706,0.0013124274109516743,0.9431274051745839,0.00123778625857085,v2_volatility
c_10393,1.143535855291347,1.4898675125767864,2.5298598858501284,2.6117555775619246,1.0001230245438868,1.320485346642616,0.054454088347207,0.07094607202746601,0.008615656374949376,-0.0030688478882408,0.07083746059594516,0.0034785389434546232,0.049105923817570334,9.995420307198827,0.0028616887973790107,0.4818709267103174,0.0013789646327495575,v2_volatility
c_10641,0.5851104022956847,0.7664202951753679,0.8926739517693316,1.041991613652716,0.3137307998189373,0.3842949510295345,0.027862400109318317,0.036496204532160376,-0.01619276748178536,-0.3381998787809386,0.03154911700302905,0.002222055569291115,0.07043162472907796,11.591575255597403,0.003725697412742311,0.12723148627102296,0.0004740260192193091,v2_volatility
c_10695,0.6353106984818807,0.8876404763196712,1.5603624267268466,1.7171015595249142,0.39187603315425806,0.4683423138671251,0.12706213969637611,0.17752809526393426,0.04639313427128139,-0.15517410719294777,0.16517464062341308,0.011556210927665234,0.0699635905611722,19.547489457337218,0.0043120209579604165,3.0540147738747896,0.013168975710868835,v2_volatility
c_10733,1.7550236531918413,2.218245017960525,1.7537289664470672,2.442977768807889,1.755909491490897,2.0503366319890732,0.10968897832449008,0.13864031362253282,0.14041481713058696,-0.016026917819737863,0.13754250356546124,0.004827217198908329,0.03509618535197659,4.577453982530414,0.0013074053048777296,1.8671419218409755,0.0024411112535744905,v2_volatility
