container_id,day1_mae_treatment,day1_rmse_treatment,day1_mape_treatment,train_steps_treatment,validation_steps_treatment,day1_mae_baseline,day1_rmse_baseline,day1_mape_baseline,train_steps_baseline,validation_steps_baseline,delta_day1_mae,delta_day1_rmse,delta_day1_mape,pattern_type,cv,peak_fraction_treatment,peak_steps_treatment,delta_peak_mae
c_10032,0.3455953316144531,0.4271297061322578,10.159755764365508,614,154,0.3531221154126398,0.4327977328186703,10.397754968183348,614,154,-0.0075267837981867,-0.0056680266864124,-0.2379992038178393,medium,0.47438554027280405,0.1875,18,-0.0058466940427024
c_10034,3.7362048322912753,4.231610766980173,71.74584157084135,613,154,3.6561898548874816,4.107339381144937,69.09120345194393,613,154,0.0800149774037937,0.124271385835236,2.6546381188974237,spiky,0.5520329350166905,0.0,0,
c_10089,0.7769515071484355,1.0373632054525568,7.804369498842901,614,154,0.767384200123057,1.024064625455502,7.732747936443928,614,154,0.0095673070253785,0.0132985799970548,0.0716215623989722,stable,0.30962096041338866,0.1979166666666666,19,0.0218391933012753
c_10132,0.6174010350045969,0.7550336365546264,22.230568155651763,611,153,0.6161709487152378,0.7626872448676484,21.675027361908448,611,153,0.001230086289359,-0.0076536083130219,0.5555407937433152,medium,0.38202832566431094,0.15625,15,-0.0774095515875765
c_1016,0.3383541507366218,0.5229356507867403,13.676622048273614,614,154,0.3478017208669357,0.5139317804109284,14.290074087889778,614,154,-0.0094475701303139,0.0090038703758119,-0.6134520396161633,spiky,0.5521464081558519,0.0833333333333333,8,0.0388428653459413
c_10306,0.3482440294691106,0.4004451198259443,1501.7496175098886,614,154,0.3498958781742383,0.4010295572516438,1522.751599498606,614,154,-0.0016518487051276,-0.0005844374256995,-21.00198198871749,spiky,1.2781204751697743,0.2291666666666666,22,0.0032997070619867
c_10312,0.352645508836376,0.4505597818051706,26.267948758960408,614,154,0.3192895326828834,0.4103126315689475,23.986002314390813,614,154,0.0333559761534926,0.0402471502362231,2.281946444569595,spiky,1.8291343891753877,0.2708333333333333,26,0.0727547436333856
c_10382,0.5502856755942872,0.7943924316326515,14.512168416808782,614,154,0.5509489858687353,0.7926803926062403,14.592026490627566,614,154,-0.0006633102744481,0.0017120390264111,-0.0798580738187837,stable,0.29113784649153945,0.15625,15,0.0030837237679708
c_10393,1.1425125143499058,1.485238618054319,10.069955848416646,614,154,1.1531114679365286,1.4936879473947569,10.145024875459027,614,154,-0.0105989535866228,-0.0084493293404379,-0.0750690270423817,medium,0.36297109142529216,0.09375,9,0.0391576761903706
c_10641,0.613075405775315,0.8126556659981317,12.00569864801474,613,154,0.5863754414484974,0.7703941902754676,11.588750739499892,613,154,0.0266999643268176,0.042261475722664,0.4169479085148477,medium,0.3773595828280585,0.46875,45,0.0688237234525634
c_10695,0.6488986860808731,0.8966701801238685,19.89189092130289,614,154,0.63970343114487,0.8904394867651344,19.658345216812855,614,154,0.009195254936003,0.006230693358734,0.2335457044900337,stable,0.2966996823646909,0.2083333333333333,20,0.0145425155424163
c_10733,1.7565457235192343,2.230308003784262,4.578952742234066,611,153,1.7676144136357277,2.231522023365973,4.612660031685286,611,153,-0.0110686901164933,-0.0012140195817109,-0.03370728945122,stable,0.08396497250363398,0.40625,39,0.0284647947842948
c_10878,0.4095030626399304,0.5570834685399031,19.628533912373335,614,154,0.4118594789730776,0.5572886780074063,19.81110147595898,614,154,-0.0023564163331472,-0.0002052094675032,-0.1825675635856463,medium,0.3466244213581849,0.1666666666666666,16,0.0101514235234392
c_10898,0.58637141039635,0.7731697965172708,20.43920948980734,614,154,0.5882831983095519,0.7765384401543982,20.49634508329809,614,154,-0.0019117879132019,-0.0033686436371274,-0.0571355934907487,medium,0.3386730422990353,0.1458333333333333,14,-0.0105408848654144
c_11013,2.7285458796622204,4.105359269260684,10.762622080831225,612,154,2.733269214823506,4.04162076383406,10.883295063065953,612,154,-0.0047233351612856,0.0637385054266239,-0.1206729822347281,medium,0.40466315287214116,0.0833333333333333,8,0.2247178980906028
c_11087,6.259831827156962,12.10614060652374,204.42151550060044,614,154,6.341315955758329,12.143608317798146,207.99544643124003,614,154,-0.0814841286013674,-0.0374677112744059,-3.573930930639591,spiky,2.7030504957897166,0.0520833333333333,5,-0.1100550226459802
c_11203,1.470692284253315,2.3600673240414207,8.029783908568284,612,154,1.4382352439657524,2.327395812928256,7.941284871601323,612,154,0.0324570402875625,0.0326715111131648,0.0884990369669607,medium,0.3762283853937954,0.34375,33,0.0646819877244224
c_11307,2.6050294388770667,4.43805468418097,21.42841491876051,614,154,2.599772794136848,4.427834255988572,21.43252282172822,614,154,0.0052566447402186,0.0102204281923974,-0.0041079029677106,stable,0.3331949316693187,0.2291666666666666,22,0.0541880327625534
c_11327,0.682861530625915,0.8451041927437478,10.838579448533476,612,153,0.6761880078960535,0.8348698183787383,10.8008119965218,612,153,0.0066735227298615,0.0102343743650095,0.0377674520116766,stable,0.2545294472839137,0.1770833333333333,17,0.0046307185668197
c_11461,1.5034332086635012,2.1043301454754686,12.05677648568606,609,153,1.4544164221832905,2.0343420952109654,11.734932370577924,609,153,0.0490167864802106,0.0699880502645031,0.321844115108135,spiky,0.5324313690474681,0.1458333333333333,14,0.2232153779339216
c_11735,2.1386173723487083,4.420634695313217,16.25744690960386,613,154,2.081541006767186,4.383919986397988,15.752291983137551,613,154,0.0570763655815222,0.0367147089152295,0.5051549264663091,medium,0.36807505204146124,0.4583333333333333,44,0.1109267029415264
c_11752,0.486008816202707,0.6068793662624737,34.93742190930658,612,153,0.4919711095589451,0.6081134757258618,35.69204009360279,612,153,-0.0059622933562381,-0.001234109463388,-0.7546181842962127,spiky,0.5714695684156642,0.2395833333333333,23,0.0073867935419043
c_1181,5.489640269089423,9.007100015066266,21.63703502114306,609,153,5.491862429044893,8.96833995329392,21.611556620056923,609,153,-0.0022221599554699,0.0387600617723453,0.0254784010861364,spiky,0.6623125133612394,0.125,12,0.1746825423445734
c_1186,0.9838725137250875,1.1772151856046291,12.490414276236269,613,154,0.9899183458354428,1.17486422950655,12.660585753029494,613,154,-0.0060458321103552,0.0023509560980792,-0.1701714767932252,spiky,0.49892107794220797,0.28125,27,0.0485970318982218
c_11996,1.342525395179024,1.6746325772760189,13.849565984012155,613,154,1.3379557047956772,1.6551429506370745,13.95790959918067,613,154,0.0045696903833467,0.0194896266389443,-0.1083436151685148,medium,0.35185644877092465,0.0625,6,0.0642930304893525
c_12060,0.1406415428737075,0.2373514577182401,553.8732714445467,614,154,0.1393219184435442,0.2378292161176445,533.964054228503,614,154,0.0013196244301633,-0.0004777583994043,19.90921721604377,spiky,3.104761691252072,0.1041666666666666,10,-0.0028282200248214
c_12158,1.9077646825166223,2.301466731664428,6.796128736614751,611,153,1.9106663974913136,2.30898771468804,6.787862265102428,611,153,-0.0029017149746912,-0.0075209830236118,0.0082664715123232,medium,0.345981615336683,0.1458333333333333,14,0.0623252992870191
c_12164,0.7627413380915864,0.990244741807388,10.798421972436866,614,154,0.7588075810014022,0.9877322833694504,10.76692901907045,614,154,0.0039337570901841,0.0025124584379375,0.031492953366417,stable,0.18651163104536705,0.2291666666666666,22,0.0275531570712863
c_12174,0.583496991216227,0.7655297546733763,9.234069844912744,614,154,0.5749557041623001,0.7553018590539455,9.081618127389412,614,154,0.0085412870539268,0.0102278956194307,0.1524517175233324,stable,0.2157696379810584,0.2395833333333333,23,-0.0082737248517927
c_12189,0.398792497482458,0.5149830179865396,13.205295595912794,614,154,0.4024761780560019,0.5173666973243207,13.432714898815576,614,154,-0.0036836805735439,-0.0023836793377811,-0.2274193029027813,spiky,0.49045031107244447,0.21875,21,0.0346955903364037
c_12193,0.3177763101882266,0.4172464485217362,12.78119154602394,610,153,0.316933921865914,0.4207564636224599,12.673227391040568,610,153,0.0008423883223125,-0.0035100151007236,0.1079641549833727,stable,0.2697366064498054,0.1354166666666666,13,-0.0175338783689462
c_12231,6.99236408236623,7.686347643413077,95.194266260781,614,154,7.85918750959097,8.6255976350485,109.14685799570096,614,154,-0.8668234272247402,-0.9392499916354228,-13.952591734919949,spiky,1.2242942445865186,0.625,60,-0.5063773340046316
c_12237,17.75263578508424,22.750771578157455,53.907302585488495,608,152,17.675737610789266,22.827999641939517,53.914758789478704,608,152,0.0768981742949748,-0.0772280637820621,-0.007456203990209,medium,0.37593256650887497,0.5208333333333334,50,0.2910765877926176
c_12441,1.9068755313649617,3.4198497649046864,12.94527226333708,611,153,1.8266581067639935,3.360683822518409,12.392895074274769,611,153,0.0802174246009681,0.0591659423862775,0.5523771890623106,medium,0.43920225892862985,0.1875,18,0.16663027554993
c_12517,1.1616111381231953,1.4007047503255352,6.130661079244063,613,154,1.1290802073804955,1.3714012899737709,6.0046544443293515,613,154,0.0325309307426997,0.0293034603517643,0.1260066349147113,stable,0.3080985941957716,0.3020833333333333,29,0.0669469070943986
c_12624,0.2710582376060504,0.391249008469739,13.430625797761788,613,154,0.2778658534523479,0.3942650505298057,13.85514034977224,613,154,-0.0068076158462974,-0.0030160420600667,-0.4245145520104518,stable,0.2986979677316617,0.2083333333333333,20,0.0130967258339902
c_12767,0.5207383265599458,0.6346062304069401,11.181149409637149,614,154,0.5226328974446229,0.6445162966860847,11.194594833926509,614,154,-0.0018945708846771,-0.0099100662791445,-0.01344542428936,stable,0.2012432951575585,0.09375,9,-0.0173504939367477
c_12858,0.3043786587811327,0.4191564693713207,13.355819436212368,614,154,0.3102623125022321,0.4178256137016864,13.753997749104045,614,154,-0.0058836537210993,0.0013308556696342,-0.3981783128916767,medium,0.40478507663558083,0.09375,9,0.0230776554781185
c_1286,0.393571613972804,0.5572837041826793,18.854863958421983,612,154,0.3933469189181538,0.5570774020285941,18.86380194416001,612,154,0.0002246950546501,0.0002063021540851,-0.0089379857380258,medium,0.44895056271014705,0.1145833333333333,11,-0.0008401372506341
c_12971,0.961568787576665,1.3417604348165555,22.51877568976022,614,154,0.965601286616744,1.343063431910597,22.727513091244944,614,154,-0.004032499040079,-0.0013029970940414,-0.2087374014847256,medium,0.4308700235300957,0.2291666666666666,22,0.0091371693246071
c_12974,0.5668861738754312,0.7135324052248097,20.876838396933657,612,153,0.5617758974284702,0.7094902000407403,20.721965521254067,612,153,0.0051102764469609,0.0040422051840693,0.1548728756795903,stable,0.2913411824612262,0.09375,9,0.0003547158687271
c_12993,5.185642254027727,6.006267307010795,153.01917707028986,613,154,5.087813574401984,5.906397488126685,149.67601312526224,613,154,0.097828679625743,0.0998698188841098,3.3431639450276123,spiky,1.1197578039145932,0.0520833333333333,5,-0.1289192687720053
c_12999,1.432839071551798,1.957929381965169,5.640656728126864,612,153,1.4379966922043337,1.974744277423105,5.665187203643635,612,153,-0.0051576206525356,-0.0168148954579359,-0.0245304755167712,stable,0.3073494821112332,0.125,12,0.0969389593859277
c_13020,0.9974004719163588,1.2077422443754986,5.477178689450015,613,154,0.9742188058469138,1.1856310022704477,5.3714327051342705,613,154,0.023181666069445,0.0221112421050508,0.1057459843157442,stable,0.1691209617921211,0.34375,33,0.0590976258145445
c_13044,0.5312009399781751,0.6773378411459985,37.01300859640655,612,153,0.5339166952754063,0.6789273891780856,37.22565481811777,612,153,-0.0027157552972312,-0.0015895480320871,-0.2126462217112177,spiky,0.5903024911007788,0.2395833333333333,23,-0.0060073788753589
c_13083,0.8038932854898352,1.0766339754727892,10.561610079125405,614,154,0.7873580024877608,1.0541661998694418,10.347841672258502,614,154,0.0165352830020744,0.0224677756033473,0.2137684068669028,stable,0.25544838635836725,0.0729166666666666,7,-0.0006722024783294
c_13166,1.2697560866219904,1.5982003649428302,10.004333029634145,614,154,1.2816950852422158,1.6070277600446568,10.107143495434707,614,154,-0.0119389986202254,-0.0088273951018265,-0.1028104658005624,stable,0.30622952901293526,0.0625,6,0.0255361048203491
c_13170,2.208466977737233,2.792604986368641,11.283513177606324,614,154,2.1748403333377255,2.7620471102946387,11.201425506308995,614,154,0.0336266443995074,0.0305578760740021,0.0820876712973284,medium,0.34953501845695034,0.0520833333333333,5,0.0310567965032531
c_13229,1.3726944306637308,2.6033420037478208,10.336873549619476,614,154,1.3682773426796315,2.5988738463196355,10.305493139743325,614,154,0.0044170879840992,0.0044681574281852,0.0313804098761512,stable,0.20784643665484434,0.2083333333333333,20,0.0114175938884728
c_13269,0.4203680627635289,0.5393636647855904,16.11680740826226,614,154,0.4228511237817396,0.5415910511069288,16.243639157552863,614,154,-0.0024830610182107,-0.0022273863213384,-0.1268317492906021,stable,0.2893858704013754,0.0833333333333333,8,0.0090491815499262
c_13308,0.0028136634366987,0.0031140594478583,28.136634366987497,614,154,0.0034893799599411,0.0036901197358387,34.89379959941172,614,154,-0.0006757165232424,-0.0005760602879803,-6.757165232424224,spiky,33.196385345395676,1.0,96,-0.0006757165232424
c_13389,7.047551228651298,8.010066743016186,69.50664888059718,613,154,7.303697650318969,8.25280660481358,71.52689312639038,613,154,-0.2561464216676707,-0.2427398617973946,-2.0202442457931937,spiky,0.6581557410534015,0.2291666666666666,22,-0.1045359196961559
