container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_peak_mae,delta_peak_rmse,delta_residual_mae_scaled,delta_residual_rmse_scaled,delta_residual_pearson_r,delta_residual_r2,delta_residual_std_ratio,delta_energy_recovery_ratio
c_10032,v1_prophet,v2_volatility,-0.001178799044791845,0.0011725661401102427,-0.06036936451957331,0.007529797454481013,0.012047867978305371,-0.00017463689552472267,0.0001737135022385483,-0.07094146840741365,-0.005577985539841679,0.009958235570073401,0.0009861354268663972
c_10034,v1_prophet,v2_volatility,0.0574122343286767,0.07699148931498279,0.2615788807424053,,,0.0018823683386451767,0.0025243111250814187,-0.039215551585489505,-0.037830397407499716,-0.022012541654226198,-0.004103957001948669
c_10089,v1_prophet,v2_volatility,0.0008866168677604813,-0.00018372127198151844,0.005876903999105565,-0.05306861320748957,-0.03991196335607161,6.332977626860581e-05,-1.3122947998669976e-05,0.17473027903963964,0.0003969904668565949,-0.024560320027074367,-0.002048896950901975
c_10132,v1_prophet,v2_volatility,0.00352778727256009,0.00691757024526285,0.12826696109232927,0.0076512603312342,0.010609067162463903,0.0008819468181400225,0.0017293925613156846,-0.14562333577869277,-0.018452471460244313,0.008017023907864379,0.0008263344679357559
c_1016,v1_prophet,v2_volatility,0.002392668420091615,0.0065510546755229715,0.06688998389856593,0.01327315855451161,0.016239598057933957,0.0001709048871493951,0.00046793247682306444,-0.20213163751094276,-0.025702411087672017,0.009308434192698466,0.0020627841205592854
c_10306,v1_prophet,v2_volatility,0.0021040478134371488,0.0011984695842068849,-0.5774687850296232,0.0035239436090870324,0.0026870013570343687,0.0006011565181249096,0.0003424198812019691,-0.041147277507199494,-0.006051573458203396,0.02062410259039087,0.0015916764175387395
c_10312,v1_prophet,v2_volatility,-0.020406138670789775,-0.02095904692788103,-1.5427148895576117,-0.04070036837003865,-0.03571384363693464,-0.0005830325334511364,-0.0005988299122251708,0.14554299606729293,0.11343337765189432,0.06427116759828358,0.0185172440599627
c_10382,v1_prophet,v2_volatility,0.010886970250408856,0.007111698244721354,0.3169994891948722,-0.010600225348025516,-0.0017380403974482928,0.001360871281301107,0.0008889622805901692,-0.2059789744290355,-0.018268809335458158,-0.019487167864893642,-0.0017708169179619536
c_10393,v1_prophet,v2_volatility,0.003392245025378493,-0.000886294691686107,-0.018199945576137466,0.005007465990880977,0.005740356382022416,0.00016153547739897883,-4.2204509127924394e-05,0.01500363454685633,0.001193769267349376,-0.004644907777266637,-0.00010172592703541934
c_10641,v1_prophet,v2_volatility,-0.006510639394834872,-0.002186528293308898,-0.15108644216267741,-0.00953051011323014,-0.0006690370719688588,-0.0003100304473730858,-0.00010412039491947134,-0.08226270033607279,0.007646419960759987,0.016684885805979432,0.0013668950797855657
c_10695,v1_prophet,v2_volatility,-0.0021980142986814943,-0.0002778838260771854,-0.08254115336941936,-0.008295759838802041,-0.0021246005835611204,-0.00043960285973632107,-5.557676521542043e-05,0.016299228019165966,0.0007233884796415957,0.01045340045277214,0.001138922711711201
c_10733,v1_prophet,v2_volatility,-0.0056948220037718045,-0.001270399903038566,-0.01971112418738752,0.019335478393652572,0.02933082571530088,-0.00035592637523575166,-7.939999393991037e-05,-0.018988822884717482,0.0011641005388423054,-0.010383962895366687,-0.0007242308217907385
c_10878,v1_prophet,v2_volatility,-0.002898069038260953,-0.0008249780302210796,-0.15576609717825463,0.0007727265165158315,0.0023917733672100816,-0.0005796138076522017,-0.00016499560604420205,0.055697335493111844,0.0029447003078425515,-0.00461165095126502,-0.0003107435589631193
c_10898,v1_prophet,v2_volatility,-0.002142054520874237,-0.0026728245158459396,-0.09855577492794154,-0.0033587149830835994,-0.00523730411492207,-0.0004760121157497965,-0.0005939610035213261,0.09260807199379717,0.0075192074884258275,-0.011964626389212071,-0.0009710484319649145
c_11013,v1_prophet,v2_volatility,0.03795220528545329,0.019155627170888145,0.2434279661402492,0.07166408424382098,0.06155435405803189,0.0008433823396767348,0.00042568060379749584,0.06345930719377764,-0.011539291059391665,0.023470796245345316,0.003964538038293955
c_11087,v1_prophet,v2_volatility,0.03498814135447503,0.07504754415578141,0.29930129454450594,0.32325192214484844,0.35114128005739786,0.0003762165737040274,0.0008069628403847562,-0.16597728572792525,-0.012612533982377494,-0.015057536023093586,-0.0014706240042841772
c_11203,v1_prophet,v2_volatility,-0.014679469471955642,-0.014775811156617191,-0.1319071887543286,-0.019014922183652416,-0.023477579099052015,-0.0005242667668555676,-0.0005277075413077509,0.23693412616668796,0.013883915940488878,-0.018164243782585354,-0.0014056606071153428
c_11307,v1_prophet,v2_volatility,0.010601391570769003,-0.0008493813221432944,0.1280180214785922,-0.04082133119465503,-0.02714078539325726,0.000623611268868729,-4.996360718495518e-05,0.01773252978989695,0.00038220782260378616,-0.005614209431313598,-0.0002979245589460382
c_11327,v1_prophet,v2_volatility,-0.01043400226189739,-0.0050985150301562365,-0.26321609046391004,-8.917186299672863e-05,0.014010782302121827,-0.0011593335846552671,-0.000566501670017372,0.2024237700739543,0.012890698471947681,-0.04616216788008218,-0.006253857757982622
c_11461,v1_prophet,v2_volatility,-0.007019320725926814,0.003930019088039138,-0.06335531777524928,-0.08759134759505516,-0.03775790932967027,-0.00016451532951392012,9.210982237591037e-05,-0.06620825860033241,-0.0038699051419782693,0.03340364908622595,0.00654201397834909
c_11735,v1_prophet,v2_volatility,0.012667653471557738,0.021997566146989556,0.1109722236988322,0.027378189313645773,0.03264143564530286,0.0003585184944780509,0.0006225726268015985,-0.22529503638441922,-0.012651878833678687,0.005020627668879438,0.0001535436987096349
c_11752,v1_prophet,v2_volatility,-0.0030654118128500274,-0.0003497903211198139,-0.38087017634220643,0.005606347599298456,0.005788059485782204,-0.0006130823625700166,-6.995806422396833e-05,-0.008868817443698454,0.001152417307125675,-0.033745737747899573,-0.003962227383082844
c_1181,v1_prophet,v2_volatility,-0.013535068159249874,-0.008043809278804659,0.004184240873648548,-0.020568947479961963,0.002759456042099373,-0.0001854118925924686,-0.00011018916820282332,0.07129154977920474,0.0018278742535171588,-0.005401070014142025,-0.00017103405437081723
c_1186,v1_prophet,v2_volatility,0.0035427722768227587,-0.01539480769582302,-0.16127495336194464,-0.00464787172623593,-0.023218425357673267,0.00015675983525764714,-0.0006811861812310999,0.15030353134805896,0.027564831825868552,0.0010524796778098727,0.00025553217839938136
c_11996,v1_prophet,v2_volatility,0.002683696824403947,0.003236388433041304,-0.09098459419308824,-0.0967094211409858,-0.09308931600843584,0.00012779508687638108,0.0001541137349067162,0.11216585211569713,-0.0038552908447553325,-0.03876905877387551,-0.005611885043259643
c_12060,v1_prophet,v2_volatility,-0.00047027224973739123,0.0006256798931155994,-10.12084276405949,0.00379380750237035,0.0032748711831616095,-0.00047027224973739123,0.0006256798931155994,0.003530698218936229,-0.005392304523355929,-0.0034125541040909667,2.1064148599505205e-05
c_12158,v1_prophet,v2_volatility,0.027405391195646,0.05543769782336261,-0.0815946549733102,0.1019717775395872,0.11035872297672622,0.0006643731198944305,0.0013439441896572757,-0.4010272477980863,-0.05295519056512621,-0.0006366197152035818,0.0009211500936841185
c_12164,v1_prophet,v2_volatility,0.0035539783990053975,0.007220829940080997,0.035490351082748006,0.016754770474686875,0.015601834246074198,0.0002733829537696422,0.0005554484569293,-0.08243835696737309,-0.01517233374215543,0.001937665556375881,0.00036252165137325154
c_12174,v1_prophet,v2_volatility,0.011539795411795506,0.011357932187266995,0.21918306026261014,-0.014390442641975643,0.0018656276813753259,0.00230795908235909,0.002271586437453371,-0.07389543808217539,-0.03776830825028399,-0.05946935543558827,-0.008064965012218359
c_12189,v1_prophet,v2_volatility,0.0023768529567099184,0.0005410686703821721,0.08632865252162247,-0.0024717447964606176,-0.00366209675435325,0.0001739160700031661,3.959039051576463e-05,0.027242871374915566,-0.002218279782673971,0.025681655652815688,0.0026205509470308384
c_12193,v1_prophet,v2_volatility,-0.004956041157634483,-0.004217027923707706,-0.23533560096682393,-0.006671359895755291,-0.008266177494160587,-0.0014868123472903533,-0.0012651083771123006,0.220273810302267,0.020847060380807303,-0.013336193901323623,-0.0012867439333103079
c_12231,v1_prophet,v2_volatility,0.04608104155552972,0.06046250500750361,1.3460637066158796,-0.0373914649231466,-0.055661524968170006,0.0020329871274498146,0.002667463456213437,0.030599478249561662,-0.017278989580390425,0.015259897069189357,0.004184715874271555
c_12237,v1_prophet,v2_volatility,0.09730192428984807,-0.018631995762540043,0.05223338205958328,0.272795705942559,0.24637191873790876,0.0017375343623187156,-0.0003327142100453817,0.3151918203465491,0.004189498641275158,0.002763124586372394,0.00025612934870381996
