container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_peak_mae,delta_peak_rmse,delta_residual_mae_scaled,delta_residual_rmse_scaled,delta_residual_pearson_r,delta_residual_r2,delta_residual_std_ratio,delta_energy_recovery_ratio
c_10032,v0_baseline,v1_prophet,0.0021993129690376922,0.0010318083743966477,0.07801152786436738,-0.0023853137809055625,-0.004341788801884405,0.0003258241435611445,0.00015286049991061756,-0.0025234702786278568,-0.004895983688227412,0.01626331636367627,0.001080556624647679
c_10034,v0_baseline,v1_prophet,-0.07922033660878247,-0.1192167795199417,-1.338322852501193,,,-0.00259738808553385,-0.003908746869506291,0.05401293835837262,0.058881498369795726,0.05281637697515096,0.008815400133735857
c_10089,v0_baseline,v1_prophet,-0.0018258467463661,-0.0035305699208982855,-0.015036488394626346,0.03350305420290911,0.01447225176272493,-0.00013041762474043372,-0.0002521835657784549,0.03966020790656984,0.007642897868683107,0.032801866985866464,0.002783923741520422
c_10132,v0_baseline,v1_prophet,4.9352065464858264e-05,-0.003242287365989416,0.008594836428851949,-0.012750970532457995,-0.012555675179366288,1.2338016366214566e-05,-0.0008105718414973262,0.09124932635243155,0.008628048542796307,0.004182140608247044,0.0003610002653164166
c_1016,v0_baseline,v1_prophet,-0.001483938001759555,0.0011972344617939834,-0.10384744094273479,0.0034158831476815976,0.0032422945305403683,-0.0001059955715542564,8.551674727099584e-05,-0.06011321588939039,-0.004661488137115755,0.005496520579641513,0.0010423589011019198
c_10306,v0_baseline,v1_prophet,-0.00047085867698609674,-0.00019248819354628077,0.531776722378936,-0.00023139127998461628,-0.0007713863069059856,-0.0001345310505674463,-5.4996626727518705e-05,0.0882230360202921,0.0009707337581257303,0.01395368338827339,0.0005697049167907908
c_10312,v0_baseline,v1_prophet,0.001465770873716854,0.0021479676927333435,-0.09200309154763531,0.017651429113139994,0.01682369912275239,4.187916782048308e-05,6.137050550666587e-05,0.10181515932952573,-0.011892163459460647,0.02029116985657556,0.008751550665814848
c_10382,v0_baseline,v1_prophet,-0.00823254990919231,-0.002477475540717533,-0.26568031856065133,0.007373610836414857,0.01308844412147292,-0.0010290687386490527,-0.00030968444258969163,0.029823235416329696,0.006345605955581313,0.02972852492158118,0.0023908700337178152
c_10393,v0_baseline,v1_prophet,0.0035284759379297093,0.0036524138093665393,0.02045242405789871,-0.0037701275238455345,-0.004004235920997967,0.00016802266371093721,0.0001739244671127016,-0.03868967025527824,-0.004914948762319127,0.022706176318405255,0.0019951024860316033
c_10641,v0_baseline,v1_prophet,0.006345765534817138,0.005104660976277708,0.12488887252711578,0.013209893882291657,0.008493541291535012,0.000302179311181764,0.0002430790941084643,-0.01694112183864356,-0.017817368277720513,0.0056182758043667735,0.0006164989894311469
c_10695,v0_baseline,v1_prophet,-1.543061406061863e-05,-0.0032359646342460247,0.05037760235444466,-0.005243475974566536,-0.009233060419856276,-3.0861228121070727e-06,-0.0006471929268492549,0.05081796075660858,0.008440549254620233,0.0056184570495888125,0.0006206669249291452
c_10733,v0_baseline,v1_prophet,-0.005738861281618712,-0.009231180847348863,-0.014328669740729438,-0.01320584410897041,-0.01479438307240466,-0.0003586788301011695,-0.000576948802959304,-0.009874595208968606,0.008478788542680915,0.0332811152816931,0.001866427252936606
c_10878,v0_baseline,v1_prophet,0.0008965899345980688,0.0006214443811486392,0.0765148772385622,-0.0025984009334933944,-0.0022394100200551215,0.00017931798691961376,0.00012428887622972784,-0.08089624072929516,-0.002218607119035876,0.01285246549150942,0.0008055031071374028
c_10898,v0_baseline,v1_prophet,0.0007968242222067268,-0.0005227642141656386,0.0570446118061092,-0.003148516552755609,-0.0019923494066371727,0.00017707204937922327,-0.0001161698253701049,0.04246360904175026,0.0014736831648414217,0.01760952719066068,0.0013309163210211538
