transition,added_feature,delta_mae_mean,delta_rmse_mean,delta_pearson_r_mean,delta_std_ratio_mean,delta_r2_mean,mae_improved_fraction,pearson_improved_fraction,mae_significant,pearson_significant,rank_by_composite
v3_cpu_std -> v4_full,is_peak_p90,-0.005162191493217253,-0.010331579176384767,0.019508224192877375,-0.01473163005496887,-0.003389453009694381,0.4444444444444444,0.494949494949495,False,False,1
v0_baseline -> v1_prophet,prophet_yhat_scaled,0.008311425845136786,0.007491672224758929,-0.003930257586347331,0.022915345557333384,0.004451552670282597,0.47474747474747475,0.5151515151515151,False,False,2
v1_prophet -> v2_volatility,res_roll_std_12,0.005521958924333595,0.006745056109887445,-0.012680481862787224,-0.0008283207258810054,-0.031472121632133726,0.42424242424242425,0.48484848484848486,False,False,3
v2_volatility -> v3_cpu_std,cpu_std,0.011122126594672278,0.011472322759559473,-0.02427282020125853,0.01254972022213846,0.019956187103468893,0.36363636363636365,0.42424242424242425,False,False,4
