container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_peak_mae,delta_peak_rmse,delta_residual_mae_scaled,delta_residual_rmse_scaled,delta_residual_pearson_r,delta_residual_r2,delta_residual_std_ratio,delta_energy_recovery_ratio
c_12858,v3_cpu_std,v4_full,0.010483990820287337,-0.0011047241945081887,0.6446271479883787,-0.02790625943210512,-0.027441253354215878,0.001397865442704982,-0.0001472965592677622,-0.05064157831669161,0.005352582341315415,-0.04071341908435019,-0.00919200822079451
c_1286,v3_cpu_std,v4_full,0.0009325840939049534,0.002865890293731077,-0.017192216670370186,0.017108874014494235,0.016334318215468935,0.00023314602347623836,0.0007164725734327693,-0.12565086778425955,-0.010287156169448086,-0.030633820061567778,-0.0033303854137127923
c_12971,v3_cpu_std,v4_full,0.002959040168905691,-0.004671066406452873,0.13755643250769012,-0.017279848698473987,-0.016146751966831463,0.0003114779125163586,-0.0004916912006792395,0.11957380601390456,0.007003869465424417,-0.01690490672036151,-0.000892402307790905
c_12974,v3_cpu_std,v4_full,-0.0015856548460154718,-0.0007972945721282931,-0.03232820041872486,-0.0084375112864008,-0.007170918011298655,-0.0003171309692030916,-0.00015945891442570304,0.014689419924875706,0.0022759343523932607,-0.016297104828693947,-0.001092923910535191
c_12993,v3_cpu_std,v4_full,0.14149461705691646,0.15866621276313264,6.210646359777854,0.17326434259302914,0.12308981434052413,0.0021438578341957115,0.0024040335267141305,-0.13420811850438136,-0.0696872528527972,-0.026865484891389617,-0.00028147089269979324
c_12999,v3_cpu_std,v4_full,0.012699739502997964,0.00916030927160949,0.04848229993621356,-0.03341376659712614,-0.027177243264570716,0.00045356212510706817,0.0003271539025574838,0.06304140462727369,-0.009787181395852995,0.009992342613953147,0.0007814640091198962
c_13020,v3_cpu_std,v4_full,-0.00040074809514722975,0.0012843543095573118,-0.012024513912759716,0.014895221191086883,0.016766438034373943,-3.082677654976662e-05,9.879648535054963e-05,-0.036358148676558164,-0.002901279877933316,-0.06995503627175438,-0.010454230070240437
c_13044,v3_cpu_std,v4_full,0.004342316909666466,0.0002692976341123199,0.5806762929655633,-0.007503305571963326,-0.008406778146777816,0.0010855792274166165,6.732440852807997e-05,0.01227347806342563,-0.0007938385926405944,-0.013537683274749194,-0.0004450135431377382
c_13083,v3_cpu_std,v4_full,-0.003932894091944528,-0.009263633355624634,-0.04787602685006043,-0.021124010406700755,-0.028495361562019816,-0.0004369882324382762,-0.0010292925950694115,0.2071658042441637,0.01833514794445157,-0.017341486417879068,-0.0011253208149449364
c_13166,v3_cpu_std,v4_full,0.006582456377182133,0.006441379416949333,0.0654323256738909,0.020645999645231283,0.024686418447872782,0.0003134503036753347,0.00030673235318808,-0.07071744293388581,-0.009725703511833439,-0.0019072024212255997,-0.00019033667041198953
