epoch,loss,val_loss,mae,val_mae
1,0.8519344925880432,1.714766502380371,0.5852563977241516,0.8054295182228088
2,0.8509426116943359,1.7119590044021606,0.5851995348930359,0.804990291595459
3,0.8526350855827332,1.7134828567504883,0.5871352553367615,0.806138813495636
4,0.85797119140625,1.7212470769882202,0.5891852378845215,0.8084366321563721
5,0.8572375774383545,1.7177897691726685,0.5891362428665161,0.806713342666626
6,0.8535184860229492,1.7144614458084106,0.5865498185157776,0.8060861825942993
7,0.8594443798065186,1.7242337465286255,0.5911449193954468,0.8075422048568726
8,0.8637537360191345,1.721008062362671,0.5919240117073059,0.808559775352478
9,0.8607367277145386,1.7207918167114258,0.5912458896636963,0.8094229102134705
10,0.8598998188972473,1.7206991910934448,0.591095507144928,0.8094659447669983
11,0.8594773411750793,1.720672369003296,0.5909117460250854,0.8093774914741516
12,0.8592737317085266,1.7206531763076782,0.5908060669898987,0.8093836903572083
