loss,mae,val_loss,val_mae
0.8516635894775391,0.5912821888923645,1.707515835762024,0.8065070509910583
0.8493445515632629,0.5897870063781738,1.7065739631652832,0.8057741522789001
0.8501605987548828,0.5899851322174072,1.7030086517333984,0.8047952651977539
0.8512119650840759,0.5902749300003052,1.710914134979248,0.8069809675216675
0.8527122735977173,0.5909712910652161,1.705851674079895,0.8057873249053955
0.8542838096618652,0.5923359394073486,1.7049635648727417,0.8061091303825378
0.8571910262107849,0.5935074090957642,1.7069052457809448,0.807274341583252
0.8563145399093628,0.5931088924407959,1.7047510147094727,0.8061137795448303
0.8635885715484619,0.5973480939865112,1.718263030052185,0.8115684390068054
0.8635174036026001,0.5982827544212341,1.715690016746521,0.8103135824203491
0.8616651892662048,0.5976085066795349,1.71464204788208,0.8097608089447021
0.8608782887458801,0.5972762107849121,1.7141600847244263,0.8095309734344482
0.8605704307556152,0.5972549915313721,1.7140476703643799,0.8095177412033081
