container_id,threshold,day1_steps,peak_steps,peak_fraction,prophet_peak_mae,hybrid_peak_mae,mean_residual_correction_at_peaks,peak_error_reduction,contribution_ratio
c_10032,4.0,96,18,0.1875,0.6927680548138324,0.6967894924924349,0.013318464902113167,-0.004021437678602524,-0.00580488325155698
c_10034,21.0,96,0,0.0,,,,,
c_10089,12.5,96,19,0.19791666666666666,1.1841258866055373,1.1903451512972847,0.029589399781176133,-0.006219264691747384,-0.005252198910688269
c_10132,4.0,96,15,0.15625,1.4383931395627805,1.4417810238151747,0.014591455040499569,-0.0033878842523942243,-0.002355325647217713
c_1016,3.0,96,8,0.08333333333333333,1.3504920959501772,1.3688930860997073,0.0193742034243769,-0.018400990149530116,-0.01362539640528853
c_10306,1.0,96,22,0.22916666666666666,0.5078593522669527,0.511627039603505,0.006041827986006287,-0.0037676873365523056,-0.007418761355352274
c_10312,1.5,96,26,0.2708333333333333,0.5735143172310256,0.5728777359909583,0.029704801715454865,0.0006365812400673798,0.0011099657339695484
c_10382,5.0,96,15,0.15625,1.117839389355874,1.1316218498777806,0.028037550766021012,-0.01378246052190657,-0.01232955346997421
c_10393,19.0,96,9,0.09375,2.537604972589434,2.557854687596422,0.03623403506935574,-0.020249715006988023,-0.007979853139365787
c_10641,5.0,96,45,0.46875,0.8900486499753233,0.9022718581434664,0.02704132532987084,-0.012223208168143151,-0.01373319106599627
c_10695,3.6,96,20,0.20833333333333334,1.5763589033621834,1.571552856362309,0.019559208085411228,0.004806046999874525,0.0030488278967586674
c_10733,38.5,96,39,0.40625,1.7566999370960956,1.76665974633193,0.026106247605266385,-0.009959809235834394,-0.005669613247836969
c_10878,3.0000000000000004,96,16,0.16666666666666666,0.8967209567345604,0.898297416379199,0.00971162106907289,-0.0015764596446385948,-0.001758026990223721
c_10898,3.3333333333333335,96,14,0.14583333333333334,1.6196416026564344,1.6246479388227582,0.01755241583201236,-0.005006336166323733,-0.0030910148011218373
c_11013,37.735,96,8,0.08333333333333333,10.86443913911879,10.835154969687014,0.21205681463470727,0.02928416943177581,0.0026954147431628057
c_11087,24.500000000000004,96,5,0.052083333333333336,43.27353494142693,43.23916253795427,0.18903593737632035,0.03437240347265913,0.0007943054229145836
c_11203,23.5,96,33,0.34375,2.314928161733958,2.3322634421889576,0.04136155542536554,-0.01733528045499977,-0.0074884744768991315
c_11307,13.0,96,22,0.22916666666666666,5.734440167026687,5.69471173357367,0.06790630566882266,0.0397284334530168,0.006928040453095534
c_11327,8.0,96,17,0.17708333333333334,1.066404182464903,1.08265225492821,0.02827836065005292,-0.01624807246330695,-0.015236317271140953
c_11461,19.0,96,14,0.14583333333333334,3.5837913472360907,3.416398749569283,0.18193501979112575,0.16739259766680759,0.04670824315592618
