container_id,peak_error_reduction
c_10032,-0.004021437678602524
c_10089,-0.006219264691747384
c_10132,-0.0033878842523942243
c_1016,-0.018400990149530116
c_10306,-0.0037676873365523056
c_10312,0.0006365812400673798
c_10382,-0.01378246052190657
c_10393,-0.020249715006988023
c_10641,-0.012223208168143151
c_10695,0.004806046999874525
c_10733,-0.009959809235834394
c_10878,-0.0015764596446385948
c_10898,-0.005006336166323733
c_11013,0.02928416943177581
c_11087,0.03437240347265913
c_11203,-0.01733528045499977
c_11307,0.0397284334530168
c_11327,-0.01624807246330695
c_11461,0.16739259766680759
c_11735,-0.03272791268381914
c_11752,-0.006876840033446907
c_1181,0.015079732542893964
c_1186,0.017654486975489103
c_11996,0.006034236736013554
c_12060,-0.0004600030108122821
c_12158,-0.014288039901023897
c_12164,0.0025293700415534026
c_12174,-0.00887992731093079
c_12189,-0.008667427351957357
c_12193,-0.00451916523534468
c_12231,-0.5381953072144352
c_12237,-0.05722996211597575
c_12441,-0.015977728094488164
c_12517,-0.003408145953315067
c_12624,-0.0027637864356317987
c_12767,-0.016034426193477502
c_12858,-0.01163992542691028
c_1286,-0.0016155295584625584
c_12971,-0.0027279218415556805
c_12974,-0.0036935691928698944
c_12993,-0.06369206313975084
c_12999,-0.015786990950194646
c_13020,0.026644634737489126
c_13044,-0.002677040873095393
c_13083,-0.021459602089765273
c_13166,0.01638508761243429
c_13170,-0.1140544235473504
c_13229,-0.010013560977677027
c_13269,0.004507753910729662
c_13308,0.00011659549353263722
c_13389,-0.12206445647417752
c_13403,0.002728899389239814
c_13441,0.015555158068309538
c_13607,-0.0026407073484735477
c_13615,-0.3537871918471698
c_13658,-0.006140682102499184
c_13690,-0.03573713989251104
c_1379,0.004070437579912323
c_1387,-0.015302809042623267
c_13873,-0.004935328726454635
c_14106,-0.00010463789171715095
c_14135,0.006174599134753489
c_14296,-0.00649586694326576
c_14363,-0.006122945500205201
c_14388,-0.030445521263533393
c_14396,-0.019318526994902552
c_14413,-0.0005099243878105009
c_14416,0.005653143918607384
c_14417,0.0005651098011489886
c_14435,0.017355546676775413
c_14471,-0.00663112483660111
c_14820,0.04860536371415858
c_14855,-0.007265732281238835
c_14886,-0.04045244256715086
c_1494,0.0005668246740242466
c_14964,-0.05330187093477434
c_15030,0.0036178288033799078
c_15035,0.00010741028059157998
c_15072,0.0031805345837092602
c_15179,0.06431998945369655
c_15235,-0.022438539670734503
c_15282,0.0017249634533073044
c_15420,0.00549296100091734
c_15446,0.0010490292575672522
c_15486,-0.004480082826921805
c_15527,0.024415801250142977
c_15555,0.014754852112245587
c_15570,0.014858709714051566
c_15604,-0.00485810974690426
c_15616,-0.011757921381843062
c_15630,-0.004059706371562166
c_15640,0.018344702035392402
c_15642,-0.0014359663276563017
c_15647,-0.010100263013737454
c_15794,0.0012284587374880272
c_15856,-0.001923088513649418
c_16008,-0.009644759859956054
c_16048,0.08419734314381966
