container_id,contribution_ratio
c_10032,-0.00580488325155698
c_10089,-0.005252198910688269
c_10132,-0.002355325647217713
c_1016,-0.01362539640528853
c_10306,-0.007418761355352274
c_10312,0.0011099657339695484
c_10382,-0.01232955346997421
c_10393,-0.007979853139365787
c_10641,-0.01373319106599627
c_10695,0.0030488278967586674
c_10733,-0.005669613247836969
c_10878,-0.001758026990223721
c_10898,-0.0030910148011218373
c_11013,0.0026954147431628057
c_11087,0.0007943054229145836
c_11203,-0.0074884744768991315
c_11307,0.006928040453095534
c_11327,-0.015236317271140953
c_11461,0.04670824315592618
c_11735,-0.008656341750174996
c_11752,-0.007817919427479864
c_1181,0.000738112795203722
c_1186,0.016453100380797364
c_11996,0.0021959276433334463
c_12060,-0.0007491083110044439
c_12158,-0.005924673282654747
c_12164,0.0017399700431110759
c_12174,-0.008607498680735794
c_12189,-0.015598418863957816
c_12193,-0.0049748843473237
c_12231,-0.10159963776763921
c_12237,-0.01045102984242706
c_12441,-0.003960637318439167
c_12517,-0.0018996138057931166
c_12624,-0.004418676170870038
c_12767,-0.012272059104818428
c_12858,-0.012019291549658152
c_1286,-0.0013563314457900825
c_12971,-0.0012968001574304412
c_12974,-0.0024898059676727357
c_12993,-0.007042720011433659
c_12999,-0.005459469266667523
c_13020,0.020584716321858283
c_13044,-0.0026300651701338
c_13083,-0.009101041767254937
c_13166,0.020467803812609285
c_13170,-0.016496642658764896
c_13229,-0.0026843695061852892
c_13269,0.003707887646660974
c_13308,0.03233396761486969
c_13389,-0.037064403343866244
c_13403,0.002770588022366403
c_13441,0.008454397288227682
c_13607,-0.0010201823513784928
c_13615,-0.06355822712391754
c_13658,-0.001734379142349403
c_13690,-0.015066277383956696
c_1379,0.007120246071433981
c_1387,-0.019216923961968932
c_13873,-0.0021733833411739048
c_14106,-0.011118138069703222
c_14135,0.0016872166668541611
c_14296,-0.0012469876765902328
c_14363,-0.0037388124177865807
c_14388,-0.055585715172565504
c_14396,-0.011561701546312956
c_14413,-0.0005643380825649287
c_14416,0.005367633318104717
c_14417,0.0001553525581616307
c_14435,0.02574982551607431
c_14471,-0.0013552368240435488
c_14820,0.00785791648862909
c_14855,-0.005825926493529047
c_14886,-0.023970118666171596
c_1494,0.0006635404766606703
c_14964,-0.017576013906988448
c_15030,0.0007213192921401727
c_15035,0.006594645845732113
c_15072,0.0005408077754198904
c_15179,0.031240053738467992
c_15235,-0.014411424587842189
c_15282,0.0019183324165647595
c_15420,0.002586793016798869
c_15446,0.008452932699194811
c_15486,-0.002512352700454289
c_15527,0.0017691551462880712
c_15555,0.008781687463416062
c_15570,0.014276716959008968
c_15604,-0.0036621848295144174
c_15616,-0.008427842523324906
c_15630,-0.005309059886172471
c_15640,0.0006283853197856473
c_15642,-0.0019110802069466173
c_15647,-0.008264733697468222
c_15794,0.05841190767147823
c_15856,-0.001856284881929676
c_16008,-0.0006641988145699532
c_16048,0.014912751058568771
