loss,mae,val_loss,val_mae
1.5308253765106201,0.7769691348075867,2.54207444190979,0.9120214581489563
1.3639395236968994,0.7542940378189087,2.4805893898010254,0.9155582189559937
1.3431614637374878,0.7494766116142273,2.4631383419036865,0.9216629266738892
1.3461790084838867,0.751230776309967,2.4536664485931396,0.9150685667991638
1.3178521394729614,0.7432978749275208,2.4497079849243164,0.9148997068405151
1.3171988725662231,0.7409511804580688,2.442662477493286,0.9155982136726379
1.3160321712493896,0.7428668737411499,2.436884641647339,0.9166131019592285
1.3113741874694824,0.7406080961227417,2.4529621601104736,0.9105418920516968
1.40422523021698,0.7692272067070007,2.571286201477051,0.9073309898376465
1.4657820463180542,0.7272641062736511,2.5902657508850098,0.9080349802970886
1.4542728662490845,0.7240639328956604,2.5772018432617188,0.9039877653121948
1.4399802684783936,0.711372971534729,2.5770046710968018,0.9008916020393372
1.4349874258041382,0.7108665108680725,2.5691163539886475,0.9036454558372498
1.436211347579956,0.71333909034729,2.5467331409454346,0.9086994528770447
1.443977952003479,0.7145516276359558,2.619720220565796,0.9065080881118774
1.4403866529464722,0.7163270711898804,2.599466562271118,0.9030526280403137
1.438307285308838,0.7163046002388,2.600020408630371,0.9024211764335632
