container_id,series,ar_order,n_forecasts,forecast_pearson_r,forecast_mae,residual_avg_abs_acf_1_10,residual_lb_reject_lag_20
c_10032,prophet_z,1,105,0.6194291686160063,0.7489094666421424,0.22187692369716944,1.0
c_10032,remaining_corr_z,1,105,0.6071635238340976,0.744981361773594,0.2219365569217972,1.0
c_10032,prophet_z,2,104,0.6121744898416965,0.6921558164510405,0.19386978804179975,1.0
c_10032,remaining_corr_z,2,104,0.6030292425333758,0.6829908592504268,0.19297576885765066,1.0
c_10032,prophet_z,5,101,0.6211320028033431,0.6033230995198026,0.089870768172453,0.0
c_10032,remaining_corr_z,5,101,0.6120224777826803,0.5892953254416068,0.09073530093294883,0.0
c_10034,prophet_z,1,105,0.9433077565615006,0.1888981308616077,0.06729236732280798,0.0
c_10034,remaining_corr_z,1,105,0.9512556456025831,0.19500031763606385,0.07476161769437467,0.0
c_10034,prophet_z,2,104,0.9424606631450463,0.18950684318237343,0.05935587741660446,0.0
c_10034,remaining_corr_z,2,104,0.9512926620584501,0.19402817011521126,0.06653646631047799,0.0
c_10034,prophet_z,5,101,0.9377433109176814,0.19509953252929677,0.07962932055012242,0.0
c_10034,remaining_corr_z,5,101,0.9470768910113238,0.19915524614907634,0.07213001420842478,0.0
c_10089,prophet_z,1,105,0.2822893677859976,0.4250008803710631,0.06560737324767071,0.0
c_10089,remaining_corr_z,1,105,0.21262897492033178,0.4168325921653015,0.07983101312794652,0.0
c_10089,prophet_z,2,104,0.2967579411332877,0.42993525161255786,0.06420383254271658,0.0
c_10089,remaining_corr_z,2,104,0.2475467044414404,0.4198951415982999,0.0740103221527873,0.0
c_10089,prophet_z,5,101,0.22932713770901036,0.43766358578690945,0.06186781131720899,0.0
c_10089,remaining_corr_z,5,101,0.1732515376866489,0.4253030904266037,0.075801340139899,0.0
c_10132,prophet_z,1,104,0.15156315936934614,1.2986133310665566,0.06326734170673812,0.0
c_10132,remaining_corr_z,1,104,0.13657460004566663,1.254645429957313,0.06764715543731416,0.0
c_10132,prophet_z,2,103,0.09494698217072685,1.297192000641019,0.06435078442826012,0.0
c_10132,remaining_corr_z,2,103,0.08370284113292761,1.2600136171627991,0.06973877403376787,0.0
c_10132,prophet_z,5,100,0.024816252226727745,1.330319661421896,0.06769668604600435,0.0
c_10132,remaining_corr_z,5,100,0.026335571774720866,1.2956992653364652,0.07142108972083369,0.0
c_1016,prophet_z,1,105,0.2905416214184017,0.20416824900937192,0.05249859024807033,0.0
c_1016,remaining_corr_z,1,105,0.24113436281807113,0.20098912730985563,0.05514791837383596,0.0
c_1016,prophet_z,2,104,0.27239041888193816,0.20685260884536058,0.05891272625840769,0.0
c_1016,remaining_corr_z,2,104,0.2194853857031739,0.20365512147644865,0.051171487932214155,0.0
c_1016,prophet_z,5,101,0.18173778225173537,0.2011677531298472,0.06813231048381332,0.0
c_1016,remaining_corr_z,5,101,0.133161703750329,0.19957194814876714,0.050805730785517166,0.0
c_10306,prophet_z,1,105,0.06533222544241017,0.8822676034549202,0.06896123680119863,0.0
c_10306,remaining_corr_z,1,105,0.09927834634652881,0.9345561418876427,0.0689455037057276,0.0
c_10306,prophet_z,2,104,0.05210141095011541,0.8868682741352406,0.0726603444708301,0.0
c_10306,remaining_corr_z,2,104,0.09087209897309848,0.9383725365187146,0.07326745162397477,0.0
c_10306,prophet_z,5,101,-0.006825421469864826,0.9161455695422346,0.0732443715319981,0.0
c_10306,remaining_corr_z,5,101,0.03446152681330226,0.9657233097432361,0.06898287258697008,0.0
c_10312,prophet_z,1,105,0.6416667642340378,0.07563535967646443,0.09583456031246067,0.0
c_10312,remaining_corr_z,1,105,0.6427488122396976,0.074975888030479,0.08861547896723972,0.0
c_10312,prophet_z,2,104,0.6513425569682111,0.07479809383996086,0.09752155390618356,0.0
c_10312,remaining_corr_z,2,104,0.6568217423921652,0.07419296385272524,0.10407343835821543,0.0
c_10312,prophet_z,5,101,0.6354676177122376,0.07368170467623733,0.07626788163072298,0.0
c_10312,remaining_corr_z,5,101,0.6455096020773751,0.07298698050246126,0.06879639129305837,0.0
c_10382,prophet_z,1,105,0.3150247007714632,0.5252489659100007,0.05845993924140501,0.0
