ridge_pearson_r,ridge_r_squared,prophet_var,remaining_var,var_ratio_remaining_to_prophet,theoretical_min_var_ratio_if_orthogonal_error,container_id
0.030978281316501464,0.0009596539133243036,1.007864558586528,1.0142202081013985,1.0063060551745007,0.9990403460866757,c_10032
0.15919320644766188,0.025342476979087897,1.0607336416114552,1.0340342291965587,0.9748292960951677,0.9746575230209121,c_10034
0.3597087145525397,0.1293903593250405,0.37308205623572477,0.3279226584091807,0.8789558568369985,0.8706096406749595,c_10089
0.09929265011979685,0.009859030367812393,2.992094040283161,2.970752517971784,0.9928673624478203,0.9901409696321876,c_10132
0.19184726712192157,0.03680537390214993,0.09370664802789774,0.09029613242116197,0.9636043367411838,0.9631946260978501,c_1016
-0.2203162276788704,0.048539240178647865,1.062603686580271,1.1660239753161747,1.0973272444298932,0.9514607598213521,c_10306
0.16981346225209384,0.0288366119620433,0.016092436392258474,0.015795931187439924,0.9815748717228928,0.9711633880379567,c_10312
0.1476901867524465,0.021812391262972523,0.6069469565477926,0.5947194997813339,0.97985415919044,0.9781876087370275,c_10382
0.23328428516110927,0.05442155770312975,0.6617550775955698,0.6293899363456315,0.9510919638614118,0.9455784422968703,c_10393
-0.0943867218456252,0.00890885326076342,0.0956026910202871,0.10311749447973434,1.0786045181286015,0.9910911467392366,c_10641
0.046204286420575856,0.0021348360836346103,1.8546595248018505,1.885150388791333,1.0164401409432495,0.9978651639163654,c_10695
-0.15566866587949146,0.02423273353670075,1.697397623466859,1.8538620430530643,1.0921790023875688,0.9757672664632993,c_10733
0.17759661973276708,0.03154055934050507,1.118787331146585,1.0850641126101734,0.9698573467918604,0.968459440659495,c_10878
-0.09393467827737446,0.008823723783073846,2.2776187473780785,2.40471717693682,1.0558032066187781,0.9911762762169262,c_10898
0.09391395882284176,0.008819831661778417,0.6232702084696913,0.6234495515665258,1.0002877453380532,0.9911801683382215,c_11013
0.02749614505754129,0.0007560379930253524,1.4241272465314505,1.4590133455446936,1.0244964760685609,0.9992439620069746,c_11087
0.5035753905195309,0.2535881739368981,0.4710693663902085,0.39630076312327706,0.8412789949813948,0.7464118260631019,c_11203
0.10170977477589832,0.010344878284963962,4.373170002987324,4.3532095699306455,0.9954357061255237,0.989655121715036,c_11307
0.1976764487322379,0.03907597838338908,0.619205817543902,0.5951864493034216,0.9612093950671298,0.960924021616611,c_11327
