container_id,threshold_treatment,day1_steps_treatment,peak_steps_treatment,non_peak_steps_treatment,peak_fraction_treatment,peak_mae_treatment,peak_rmse_treatment,non_peak_mae_treatment,non_peak_rmse_treatment,overall_mae_treatment,overall_rmse_treatment,threshold_baseline,day1_steps_baseline,peak_steps_baseline,non_peak_steps_baseline,peak_fraction_baseline,peak_mae_baseline,peak_rmse_baseline,non_peak_mae_baseline,non_peak_rmse_baseline,overall_mae_baseline,overall_rmse_baseline,delta_peak_mae,delta_peak_rmse,delta_non_peak_mae,delta_non_peak_rmse
c_1186,22.0,96,27,69,0.28125,1.1039614025779072,1.3195834013052976,0.9368812093913754,1.1165754283595737,0.9838725137250875,1.1772151856046291,22.0,96,27,69,0.28125,1.0553643706796854,1.2456359250021383,0.9643090317659565,1.1459818446445869,0.9899183458354427,1.17486422950655,0.04859703189822184,0.07394747630315934,-0.02742782237458108,-0.02940641628501317
c_11996,14.666666666666666,96,6,90,0.0625,2.806180272101098,2.999664122183887,1.2449484033842186,1.546443736579052,1.342525395179024,1.6746325772760189,14.666666666666666,96,6,90,0.0625,2.7418872416117455,2.9280718424447074,1.2443602690079392,1.5331528794868017,1.3379557047956772,1.6551429506370743,0.06429303048935253,0.0715922797391797,0.00058813437627947,0.013290857092250308
c_12060,0.5,96,10,86,0.10416666666666667,0.6116992069550106,0.6612947413261183,0.08586739588750952,0.10971004284644316,0.14064154287370756,0.23735145771824015,0.5,96,10,86,0.10416666666666667,0.614527426979832,0.6644804576297064,0.08406546396258058,0.10862137536645111,0.13932191844354427,0.23782921611764457,-0.002828220024821415,-0.003185716303588104,0.0018019319249289456,0.0010886674799920476
c_12158,43.666666666666664,96,14,82,0.14583333333333334,2.488229848549664,3.0953818350424007,1.8086608736817127,2.1366387820366066,1.9077646825166223,2.301466731664428,43.666666666666664,96,14,82,0.14583333333333334,2.4259045492626448,3.033659281850934,1.822698908164501,2.161112768512465,1.9106663974913138,2.30898771468804,0.06232529928701913,0.06172255319146691,-0.014038034482788397,-0.0244739864758583
c_12164,8.0,96,22,74,0.22916666666666666,1.4787097579852302,1.6472443846220888,0.5498858619069896,0.6822163492764973,0.7627413380915864,0.990244741807388,8.0,96,22,74,0.22916666666666666,1.4511566009139438,1.6306262799250066,0.5529740885949711,0.6893232156936806,0.7588075810014022,0.9877322833694504,0.02755315707128636,0.016618104697082137,-0.003088226687981477,-0.007106866417183277
c_12174,7.0,96,23,73,0.23958333333333334,1.0322563531358626,1.1847788233854204,0.44210705526894456,0.5730753078723527,0.583496991216227,0.7655297546733763,7.0,96,23,73,0.23958333333333334,1.0405300779876554,1.1810047534656167,0.4282678877515718,0.5574698836829042,0.5749557041623001,0.7553018590539455,-0.008273724851792785,0.0037740699198036687,0.013839167517372741,0.015605424189448547
c_12189,3.4999999999999996,96,21,75,0.21875,0.5990236540355861,0.7066570869544779,0.3427277736475822,0.44681497791653596,0.398792497482458,0.5149830179865396,3.4999999999999996,96,21,75,0.21875,0.5643280636991823,0.6751876186177709,0.3571576500759114,0.4636480277825262,0.40247617805600194,0.5173666973243207,0.03469559033640379,0.03146946833670705,-0.014429876428329158,-0.016833049865990213
c_12193,3.0,96,13,83,0.13541666666666666,0.8953813258166949,0.93363682784623,0.2273080547283461,0.2546263750699345,0.3177763101882266,0.41724644852173626,3.0,96,13,83,0.13541666666666666,0.9129152041856412,0.9495760749383211,0.22358745596041454,0.25206197301765837,0.316933921865914,0.4207564636224599,-0.017533878368946265,-0.015939247092091047,0.0037205987679315433,0.002564402052276149
c_12231,7.0,96,60,36,0.625,5.329034764920229,6.072653920345999,9.764579611442896,9.802276820238346,6.99236408236623,7.686347643413077,7.0,96,60,36,0.625,5.835412098924861,6.553268377893574,11.232146527367819,11.2617471162417,7.85918750959097,8.6255976350485,-0.5063773340046316,-0.48061445754757504,-1.4675669159249232,-1.4594702960033548
c_12237,67.0,96,50,46,0.5208333333333334,5.824318290267871,7.439789948926449,30.718198279449865,31.938067305039382,17.75263578508424,22.750771578157458,67.0,96,50,46,0.5208333333333334,5.533241702475253,7.270550039027738,30.874102728521883,32.0950495983446,17.675737610789266,22.827999641939517,0.2910765877926176,0.1692399098987103,-0.15590444907201828,-0.1569822933052194
