container_id,threshold,day1_steps,peak_steps,non_peak_steps,peak_fraction,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,overall_mae,overall_rmse
c_10032,4.0,96,18,78,0.1875,0.6967894924924349,0.7664375173102334,0.27381425916345636,0.3081885832140988,0.3531221154126398,0.43279773281867034
c_10034,21.0,96,0,96,0.0,,,3.6561898548874816,4.107339381144937,3.6561898548874816,4.107339381144937
c_10089,12.5,96,19,77,0.19791666666666666,1.1903451512972847,1.6336193036935207,0.6630172121709745,0.8055849993758467,0.767384200123057,1.024064625455502
c_10132,4.0,96,15,81,0.15625,1.4417810238151747,1.4811816968812657,0.4632801940671013,0.5321042287066131,0.6161709487152378,0.7626872448676484
c_1016,3.0,96,8,88,0.08333333333333333,1.3688930860997073,1.4985470913462349,0.254975233118502,0.2898066932557099,0.3478017208669357,0.5139317804109284
c_10306,1.0,96,22,74,0.22916666666666666,0.511627039603505,0.5291564128915621,0.3018136409925645,0.3541077204996767,0.3498958781742383,0.4010295572516438
c_10312,1.5,96,26,70,0.2708333333333333,0.5728777359909583,0.6501874832194049,0.22509962859702706,0.271789884529748,0.31928953268288346,0.4103126315689475
c_10382,5.0,96,15,81,0.15625,1.1316218498777806,1.484051017948236,0.4434169740152084,0.580386634700438,0.5509489858687353,0.7926803926062403
c_10393,19.0,96,9,87,0.09375,2.557854687596422,2.634387254753678,1.007793203833781,1.3205971646886814,1.1531114679365286,1.4936879473947569
c_10641,5.0,96,45,51,0.46875,0.9022718581434664,1.0503068075762783,0.30764330907058335,0.3792457544459784,0.5863754414484974,0.7703941902754676
c_10695,3.6,96,20,76,0.20833333333333334,1.571552856362309,1.7261246854248178,0.3944798981929125,0.46632083838945926,0.63970343114487,0.8904394867651344
c_10733,38.5,96,39,57,0.40625,1.76665974633193,2.4438958267367705,1.7682676070541152,2.0737196271601763,1.7676144136357275,2.231522023365973
c_10878,3.0000000000000004,96,16,80,0.16666666666666666,0.898297416379199,1.0186277859812005,0.31457189149185333,0.4064040987584877,0.4118594789730776,0.5572886780074063
c_10898,3.3333333333333335,96,14,82,0.14583333333333334,1.6246479388227582,1.7042727805903024,0.4113428767585167,0.4583308417153998,0.5882831983095519,0.7765384401543982
c_11013,37.735,96,8,88,0.08333333333333333,10.835154969687014,11.326274558908034,1.9967341461995505,2.4814197805451466,2.733269214823506,4.04162076383406
c_11087,24.500000000000004,96,5,91,0.052083333333333336,43.23916253795427,48.482145390558934,4.313961747945365,5.140083055459262,6.341315955758329,12.143608317798146
c_11203,23.5,96,33,63,0.34375,2.3322634421889576,3.5342744890781534,0.9699347591821688,1.3081179289257379,1.4382352439657524,2.327395812928256
c_11307,13.0,96,22,74,0.22916666666666666,5.69471173357367,8.463967215866635,1.6796558121421168,2.0338236269459,2.599772794136848,4.427834255988572
c_11327,8.0,96,17,79,0.17708333333333334,1.08265225492821,1.2323149317856301,0.5887210180283743,0.7212553170783086,0.6761880078960535,0.8348698183787383
c_11461,19.0,96,14,82,0.14583333333333334,3.416398749569283,4.087847437061572,1.1194438297027551,1.4114239118432272,1.4544164221832905,2.0343420952109654
c_11735,9.5,96,44,52,0.4583333333333333,3.8135297373296067,6.38803667902298,0.6160120809066766,0.9755853467132565,2.081541006767186,4.383919986397988
c_11752,2.0,96,23,73,0.23958333333333334,0.8865021799000773,1.0228400402980726,0.36766679972543775,0.39584056105462845,0.49197110955894513,0.6081134757258618
c_1181,36.366666666666674,96,12,84,0.125,20.415039675876113,22.609806454740756,3.359979965211861,4.346519530809309,5.491862429044893,8.96833995329392
c_1186,22.0,96,27,69,0.28125,1.0553643706796854,1.2456359250021383,0.9643090317659565,1.1459818446445869,0.9899183458354427,1.17486422950655
c_11996,14.666666666666666,96,6,90,0.0625,2.7418872416117455,2.9280718424447074,1.2443602690079392,1.5331528794868017,1.3379557047956772,1.6551429506370743
c_12060,0.5,96,10,86,0.10416666666666667,0.614527426979832,0.6644804576297064,0.08406546396258058,0.10862137536645111,0.13932191844354427,0.23782921611764457
c_12158,43.666666666666664,96,14,82,0.14583333333333334,2.4259045492626448,3.033659281850934,1.822698908164501,2.161112768512465,1.9106663974913138,2.30898771468804
c_12164,8.0,96,22,74,0.22916666666666666,1.4511566009139438,1.6306262799250066,0.5529740885949711,0.6893232156936806,0.7588075810014022,0.9877322833694504
c_12174,7.0,96,23,73,0.23958333333333334,1.0405300779876554,1.1810047534656167,0.4282678877515718,0.5574698836829042,0.5749557041623001,0.7553018590539455
c_12189,3.4999999999999996,96,21,75,0.21875,0.5643280636991823,0.6751876186177709,0.3571576500759114,0.4636480277825262,0.40247617805600194,0.5173666973243207
c_12193,3.0,96,13,83,0.13541666666666666,0.9129152041856412,0.9495760749383211,0.22358745596041454,0.25206197301765837,0.316933921865914,0.4207564636224599
c_12231,7.0,96,60,36,0.625,5.835412098924861,6.553268377893574,11.232146527367819,11.2617471162417,7.85918750959097,8.6255976350485
c_12237,67.0,96,50,46,0.5208333333333334,5.533241702475253,7.270550039027738,30.874102728521883,32.0950495983446,17.675737610789266,22.827999641939517
c_12441,16.666666666666668,96,18,78,0.1875,4.05010830099551,6.321790516004553,1.3135542157874895,2.1628333641537436,1.8266581067639935,3.360683822518409
c_12517,22.733333333333338,96,29,67,0.3020833333333333,1.7975338481994705,1.8929003511137519,0.8397495270260139,1.069538213809042,1.1290802073804957,1.3714012899737709
c_12624,2.5,96,20,76,0.20833333333333334,0.6282421715347618,0.6698271571171888,0.1856615592201338,0.2797871577885036,0.27786585345234793,0.3942650505298057
c_12767,5.666666666666667,96,9,87,0.09375,1.3226143616813892,1.3533514830755815,0.4398761942477161,0.5185576649335124,0.5226328974446229,0.6445162966860847
c_12858,3.0,96,9,87,0.09375,0.9800768236267329,1.0591041795601388,0.24097115617900783,0.2767669753944546,0.3102623125022321,0.41782561370168647
c_1286,3.0,96,11,85,0.11458333333333333,1.1927178692387825,1.2769807877177108,0.28989891358254305,0.37345293432864624,0.3933469189181538,0.5570774020285941
c_12971,5.0,96,22,74,0.22916666666666666,2.106307124793652,2.4856138394927334,0.6264725239155009,0.709440064562658,0.965601286616744,1.343063431910597
c_12974,3.7453703703703694,96,9,87,0.09375,1.4871702902011084,1.5304139107101753,0.46604544300371453,0.5596040100000993,0.5617758974284702,0.7094902000407403
c_12993,15.066666666666672,96,5,91,0.052083333333333336,9.107365961342229,10.410909948123436,4.866959047647026,5.554006349132176,5.087813574401984,5.906397488126685
c_12999,32.65833333333333,96,12,84,0.125,2.9074583566232675,3.6263012581410554,1.2280735972873433,1.6056533549985639,1.4379966922043337,1.974744277423105
c_13020,20.0,96,33,63,0.34375,1.2677445771845621,1.489408670301251,0.8204672113367171,0.9899819116813265,0.9742188058469138,1.1856310022704475
c_13044,2.0,96,23,73,0.23958333333333334,1.020538082300903,1.1839718076087888,0.3805976281303869,0.4055998066558597,0.5339166952754063,0.6789273891780856
c_13083,9.462500000000006,96,7,89,0.07291666666666667,2.3793876985166795,2.484349361610496,0.6621421836989693,0.8445305186919602,0.7873580024877608,1.0541661998694418
c_13166,20.725,96,6,90,0.0625,0.7841447475592407,1.1928621665382966,1.3148651077544142,1.6309034591601455,1.2816950852422158,1.6070277600446568
c_13170,31.0,96,5,91,0.052083333333333336,7.027850515672296,7.13731558636469,1.9081914222204415,2.2910922537771974,2.1748403333377255,2.7620471102946387
c_13229,12.12971014492754,96,20,76,0.20833333333333334,3.740334947286049,5.369501276457686,0.7440516572568899,0.9717528023497606,1.3682773426796315,2.5988738463196355
c_13269,3.4999999999999996,96,8,88,0.08333333333333333,1.2112124459148996,1.2579235209079267,0.35118191267872506,0.41968373538523046,0.4228511237817396,0.5415910511069288
c_13308,0.0,96,96,0,1.0,0.003489379959941173,0.0036901197358387063,,,0.003489379959941173,0.0036901197358387063
c_13389,47.31666666666668,96,22,74,0.22916666666666666,3.415371388781179,4.3775190157337045,8.459686538884256,9.091775031172348,7.303697650318969,8.25280660481358
c_13403,3.0,96,8,88,0.08333333333333333,0.9822242467335164,1.1124011257934916,0.3057608075646567,0.3551767923750357,0.3621327608287283,0.46771540108334386
c_13441,20.0,96,10,86,0.10416666666666667,1.824334492015831,2.2869762164617238,0.73858640745449,0.9571268407486794,0.8516851662629631,1.168539401814063
c_13607,4.0,96,70,26,0.7291666666666666,2.591106725120067,4.930684751641316,0.21941611366766212,0.2910472355378972,1.9487738511850405,4.213097224270485
c_13615,10.786956521739135,96,11,85,0.11458333333333333,5.920134899397314,7.3663588827787185,5.0138689812072395,5.4235201921267935,5.11771195099985,5.679948497248
c_13658,5.499999999999999,96,23,73,0.23958333333333334,3.54670569038608,5.605709199421365,0.4581207715852637,0.5562793451554311,1.198094241714626,2.786390005592991
c_13690,5.308333333333337,96,11,85,0.11458333333333333,2.40773248962407,4.5986957533854484,0.6684818956906518,0.9646706533740711,0.8677710262455225,1.8019900280088412
c_1379,3.0,96,32,64,0.3333333333333333,0.5676004764693485,0.7042178095881184,0.3393668271641711,0.4191984957405411,0.41544471026589697,0.5314688705224896
c_1387,3.4999999999999996,96,15,81,0.15625,0.8116221925666536,0.9070343671971368,0.28357290961355425,0.38054799400246975,0.366080610074976,0.5007372583671237
c_13873,4.0,96,71,25,0.7395833333333334,2.275739854074904,4.1679253792915585,0.2357869700882686,0.2871590448344113,1.7445021238700509,3.5873696950886558
c_14106,0.0,96,96,0,1.0,0.009516096092824385,0.057184425270605466,,,0.009516096092824385,0.057184425270605466
c_14135,29.0,96,29,67,0.3020833333333333,3.653461567372607,4.868084710515613,1.3406600258578507,1.83437226708746,2.0393188248570997,3.0833878855579204
c_14296,6.5,96,66,30,0.6875,5.215742971155298,5.735040772817701,0.5788421536907101,0.70003804963168,3.7667114656976133,4.7713198231684055
c_14363,3.6666666666666665,96,14,82,0.14583333333333334,1.6437941672701528,2.519244329305542,0.29959180642029587,0.3969448787509545,0.4956213173775666,1.0296269413663652
c_14388,11.000000000000002,96,23,73,0.23958333333333334,0.5781675604424027,0.7006966180774719,0.7195330982433474,0.8447390247839016,0.6856642714785378,0.8125581756284331
c_14396,25.145454545454555,96,20,76,0.20833333333333334,1.690225436113592,2.4057552548119516,2.4717183818935027,2.8185414324275357,2.308907351522688,2.7376817447293127
c_14413,3.0,96,38,58,0.3958333333333333,0.9040895401615389,1.0507337864722275,0.30918449960876576,0.34658681514570344,0.5446677448275717,0.713855997721813
c_14416,2.6623188405797107,96,12,84,0.125,1.0475380082302654,1.3861829381146722,0.2174114728862392,0.23486461457021526,0.3211772898042424,0.5370792362585728
c_14417,13.499999999999998,96,6,90,0.0625,3.637030613347751,4.480046749148677,1.1580759850792306,1.543989005401298,1.313010649346013,1.8679760037029212
c_14435,5.0,96,21,75,0.21875,0.6566508331311665,0.6925944307222258,0.39162856162190435,0.4909994520411472,0.44960218351455544,0.5415493071356067
c_14471,28.0,96,13,83,0.13541666666666666,4.899595010525725,5.35385079181303,1.4849678802368456,1.7861879182991713,1.9473653041301315,2.5768139284735523
c_14820,38.24999999999999,96,7,89,0.07291666666666667,6.136922795626,7.650862115987262,2.324663905800864,3.503855256772483,2.60264111651728,3.9560120197007667
c_14855,8.948148148148153,96,17,79,0.17708333333333334,1.254403383143982,1.4191723286262485,0.481476613519821,0.5953081643749869,0.6183490623074328,0.8051643511504825
c_14886,38.908212560386474,96,21,75,0.21875,1.7280720630841047,2.155850670641552,1.0896535041893207,1.387364425443939,1.2293075639475546,1.5875821437746158
c_1494,1.6666666666666667,96,14,82,0.14583333333333334,0.8536759743136804,0.9214674953240856,0.18854255800076475,0.21034024981661675,0.2855411812130649,0.4020178339478417
c_14964,14.0,96,28,68,0.2916666666666667,3.0859502983225586,4.040121093241658,2.5465472988632367,3.0038984239386926,2.703873173705539,3.3395106099746386
c_15030,21.5,96,42,54,0.4375,5.011954113887516,5.80149664692003,3.202586902894603,3.6506206358756077,3.9941850577040015,4.71397405761117
c_15035,0.0,96,96,0,1.0,0.016180087653978048,0.10115256346481759,,,0.016180087653978048,0.10115256346481759
c_15072,11.500000000000002,96,6,90,0.0625,5.877900929601695,9.035514732671896,1.1137447091494286,1.4342606622576934,1.4115044729276953,2.651616030765826
c_15179,17.5,96,13,83,0.13541666666666666,1.9945749789149074,2.465190920355501,2.398702538476144,2.751999973535412,2.3439769314522265,2.7149355069641516
c_15235,27.0,96,14,82,0.14583333333333334,1.5794351803542777,1.8455817711032882,1.112068160397473,1.4387812701327076,1.1802258508078403,1.5049706378051688
c_15282,2.0,96,10,86,0.10416666666666667,0.8974744862417934,0.988706785931007,0.26786623024217887,0.2815186470387971,0.3334504235754721,0.41572160490936244
c_15420,7.0,96,14,82,0.14583333333333334,2.117970712066681,2.184832861707253,1.3619251848603346,1.6678657571509792,1.4721818242445934,1.7527792571972216
c_15446,0.0,96,96,0,1.0,0.12305337341117493,0.4596008301765383,,,0.12305337341117493,0.4596008301765383
c_15486,5.0,96,25,71,0.2604166666666667,1.7877021702797333,1.9186039556676289,0.6841967752646492,0.8415574971546765,0.9715679718831606,1.2175349882028164
c_15527,46.775,96,10,86,0.10416666666666667,13.776409582193846,13.983641607135441,5.151459318812229,5.969217221885051,6.049891637914481,7.231107561824119
