container_id,threshold,day1_steps,peak_steps,non_peak_steps,peak_fraction,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,overall_mae,overall_rmse
c_10032,4.0,96,18,78,0.1875,0.6909427984497325,0.7618011406587443,0.2658997623447732,0.3010256365319651,0.3455953316144531,0.42712970613225787
c_10034,21.0,96,0,96,0.0,,,3.7362048322912753,4.231610766980173,3.7362048322912753,4.231610766980173
c_10089,12.5,96,19,77,0.19791666666666666,1.21218434459856,1.6544959694758365,0.6695563914139891,0.8162152995774306,0.7769515071484355,1.0373632054525568
c_10132,4.0,96,15,81,0.15625,1.3643714722275981,1.4108615948206014,0.4790731762595966,0.5541016471740297,0.6174010350045969,0.7550336365546264
c_1016,3.0,96,8,88,0.08333333333333333,1.4077359514456487,1.5353376159329062,0.24113762339943753,0.28987124782415813,0.33835415073662184,0.5229356507867403
c_10306,1.0,96,22,74,0.22916666666666666,0.5149267466654918,0.5342684530949101,0.2986897081404569,0.35095358636455154,0.34824402946911065,0.40044511982594433
c_10312,1.5,96,26,70,0.2708333333333333,0.6456324796243439,0.7234201732266243,0.2438217768294167,0.289867945483032,0.352645508836376,0.4505597818051706
c_10382,5.0,96,15,81,0.15625,1.1347055736457514,1.4921713876039997,0.4420597685477196,0.5793042277565119,0.5502856755942872,0.7943924316326515
c_10393,19.0,96,9,87,0.09375,2.5970123637867926,2.6720161913814233,0.9920470126840208,1.302131786604691,1.1425125143499058,1.485238618054319
c_10641,5.0,96,45,51,0.46875,0.9710955815960299,1.1216003228720823,0.2971752506393901,0.3648759775854825,0.613075405775315,0.8126556659981317
c_10695,3.6,96,20,76,0.20833333333333334,1.5860953719047253,1.7413626712987818,0.4022679792851226,0.4664929694961142,0.6488986860808731,0.8966701801238685
c_10733,38.5,96,39,57,0.40625,1.7951245411162249,2.4785734395690557,1.730149690426557,2.0431338093649076,1.7565457235192345,2.2303080037842626
c_10878,3.0000000000000004,96,16,80,0.16666666666666666,0.9084488399026382,1.0246958843158298,0.309713907187389,0.4030013126998209,0.40950306263993047,0.5570834685399031
c_10898,3.3333333333333335,96,14,82,0.14583333333333334,1.6141070539573437,1.6949760913048435,0.4109043493005707,0.4575487710421503,0.58637141039635,0.7731697965172708
c_11013,37.735,96,8,88,0.08333333333333333,11.059872867777617,11.572228510592565,1.9711525171062747,2.4923742615331848,2.7285458796622204,4.105359269260684
c_11087,24.500000000000004,96,5,91,0.052083333333333336,43.12910751530829,48.353954126457644,4.234047448687107,5.113121537097393,6.259831827156962,12.10614060652374
c_11203,23.5,96,33,63,0.34375,2.39694542991338,3.58065778702083,0.985512065098043,1.3310424969598458,1.470692284253315,2.3600673240414207
c_11307,13.0,96,22,74,0.22916666666666666,5.748899766336224,8.499363717546778,1.6703652874702901,2.0187820156933443,2.6050294388770667,4.43805468418097
c_11327,8.0,96,17,79,0.17708333333333334,1.0872829734950298,1.249641278644857,0.5958341315274979,0.7292795885428262,0.682861530625915,0.8451041927437478
c_11461,19.0,96,14,82,0.14583333333333334,3.639614127503205,4.267465872561249,1.1387193932518451,1.440486050433233,1.5034332086635012,2.1043301454754686
c_11735,9.5,96,44,52,0.4583333333333333,3.924456440271133,6.436646988655215,0.62752277641435,1.0104681932177186,2.1386173723487083,4.420634695313217
c_11752,2.0,96,23,73,0.23958333333333334,0.8938889734419816,1.0315419025591368,0.35749862967526436,0.3861158218210746,0.48600881620270703,0.6068793662624737
c_1181,36.366666666666674,96,12,84,0.125,20.589722218220686,22.771277554905073,3.3324857049278127,4.317600589757667,5.489640269089423,9.007100015066266
c_1186,22.0,96,27,69,0.28125,1.1039614025779072,1.3195834013052976,0.9368812093913754,1.1165754283595737,0.9838725137250875,1.1772151856046291
c_11996,14.666666666666666,96,6,90,0.0625,2.806180272101098,2.999664122183887,1.2449484033842186,1.546443736579052,1.342525395179024,1.6746325772760189
c_12060,0.5,96,10,86,0.10416666666666667,0.6116992069550106,0.6612947413261183,0.08586739588750952,0.10971004284644316,0.14064154287370756,0.23735145771824015
c_12158,43.666666666666664,96,14,82,0.14583333333333334,2.488229848549664,3.0953818350424007,1.8086608736817127,2.1366387820366066,1.9077646825166223,2.301466731664428
c_12164,8.0,96,22,74,0.22916666666666666,1.4787097579852302,1.6472443846220888,0.5498858619069896,0.6822163492764973,0.7627413380915864,0.990244741807388
c_12174,7.0,96,23,73,0.23958333333333334,1.0322563531358626,1.1847788233854204,0.44210705526894456,0.5730753078723527,0.583496991216227,0.7655297546733763
c_12189,3.4999999999999996,96,21,75,0.21875,0.5990236540355861,0.7066570869544779,0.3427277736475822,0.44681497791653596,0.398792497482458,0.5149830179865396
c_12193,3.0,96,13,83,0.13541666666666666,0.8953813258166949,0.93363682784623,0.2273080547283461,0.2546263750699345,0.3177763101882266,0.41724644852173626
c_12231,7.0,96,60,36,0.625,5.329034764920229,6.072653920345999,9.764579611442896,9.802276820238346,6.99236408236623,7.686347643413077
c_12237,67.0,96,50,46,0.5208333333333334,5.824318290267871,7.439789948926449,30.718198279449865,31.938067305039382,17.75263578508424,22.750771578157458
c_12441,16.666666666666668,96,18,78,0.1875,4.21673857654544,6.4235710411026945,1.3738302132463893,2.2073158756214912,1.9068755313649615,3.4198497649046864
c_12517,22.733333333333338,96,29,67,0.3020833333333333,1.8644807552938691,1.954418839098117,0.8573839903926047,1.0760392242204717,1.1616111381231953,1.4007047503255352
c_12624,2.5,96,20,76,0.20833333333333334,0.641338897368752,0.6797355011348772,0.173615958721129,0.2678979697345398,0.27105823760605047,0.391249008469739
c_12767,5.666666666666667,96,9,87,0.09375,1.3052638677446415,1.3288165758498391,0.43958051195463255,0.5115878489539287,0.5207383265599458,0.6346062304069401
c_12858,3.0,96,9,87,0.09375,1.0031544791048514,1.0849551679415697,0.23209150495454112,0.2685057963014779,0.30437865878113274,0.41915646937132073
c_1286,3.0,96,11,85,0.11458333333333333,1.1918777319881484,1.2766417874982425,0.2902614104649359,0.37395022313471443,0.39357161397280405,0.5572837041826793
c_12971,5.0,96,22,74,0.22916666666666666,2.115444294118259,2.4935705775402273,0.618524718064299,0.6978456155479245,0.961568787576665,1.3417604348165557
c_12974,3.7453703703703694,96,9,87,0.09375,1.4875250060698355,1.531199708275578,0.47164767399325136,0.5650265219871884,0.5668861738754312,0.7135324052248097
c_12993,15.066666666666672,96,5,91,0.052083333333333336,8.978446692570223,10.355080509337848,4.977246405756162,5.671487630397347,5.185642254027727,6.006267307010795
c_12999,32.65833333333333,96,12,84,0.125,3.0043973160091952,3.697514611614941,1.208330750915027,1.5582171779218015,1.432839071551798,1.957929381965169
c_13020,20.0,96,33,63,0.34375,1.3268422029991067,1.5435475043760964,0.8248357556349195,0.9872664194452927,0.9974004719163588,1.2077422443754986
c_13044,2.0,96,23,73,0.23958333333333334,1.014530703425544,1.1825910167409406,0.37891895971393563,0.4033679122886968,0.5312009399781751,0.6773378411459985
c_13083,9.462500000000006,96,7,89,0.07291666666666667,2.37871549603835,2.483896351843285,0.6800308644354577,0.8746705398288656,0.8038932854898352,1.0766339754727892
c_13166,20.725,96,6,90,0.0625,0.8096808523795899,1.2172647623484114,1.300427768904817,1.620415111473995,1.2697560866219904,1.5982003649428302
c_13170,31.0,96,5,91,0.052083333333333336,7.058907312175549,7.171043439120447,1.9419592670538086,2.3241455254147074,2.2084669777372326,2.792604986368641
c_13229,12.12971014492754,96,20,76,0.20833333333333334,3.751752541174522,5.376382687208263,0.7466265068451012,0.9768342025700195,1.3726944306637308,2.6033420037478208
