model,containers_evaluated,total_day1_steps,peak_steps,non_peak_steps,peak_step_fraction,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse
baseline,99,9504,2438,7066,0.25652356902356904,2.501220270363839,5.186215321890583,1.48526625156073,3.4908786895911854
peak_aware,99,9504,2438,7066,0.25652356902356904,2.525613525361348,5.204102317874833,1.4700396962602977,3.4508864179241363
