scope,metric,baseline,peak_aware,delta_treatment_minus_baseline
overall,day1_mae,1.745882,1.740819,-0.00506300000000004
overall,day1_rmse,2.387813,2.384394,-0.003419000000000061
overall,day1_mape,111.940318,110.174351,-1.7659670000000034
peak_subset,peak_mae,2.501220270363839,2.525613525361348,0.024393254997509217
peak_subset,peak_rmse,5.186215321890583,5.204102317874833,0.017886995984249587
peak_subset,non_peak_mae,1.48526625156073,1.4700396962602975,-0.015226555300432487
peak_subset,non_peak_rmse,3.4908786895911854,3.4508864179241363,-0.039992271667049106
peak_subset,peak_step_fraction,0.256523569023569,0.256523569023569,0.0
