container_id,day1_mae_treatment,day1_rmse_treatment,day1_mape_treatment,train_steps_treatment,validation_steps_treatment,day1_mae_baseline,day1_rmse_baseline,day1_mape_baseline,train_steps_baseline,validation_steps_baseline,delta_day1_mae,delta_day1_rmse,delta_day1_mape
c_10032,0.3455953316144531,0.4271297061322578,10.159755764365508,614,154,0.3531221154126398,0.4327977328186703,10.397754968183348,614,154,-0.00752678379818672,-0.005668026686412475,-0.23799920381783934
c_10034,3.7362048322912753,4.231610766980173,71.74584157084135,613,154,3.6561898548874816,4.107339381144937,69.09120345194393,613,154,0.08001497740379371,0.124271385835236,2.6546381188974237
c_10089,0.7769515071484355,1.0373632054525568,7.804369498842901,614,154,0.767384200123057,1.024064625455502,7.732747936443928,614,154,0.009567307025378557,0.01329857999705486,0.07162156239897222
c_10132,0.6174010350045969,0.7550336365546264,22.230568155651763,611,153,0.6161709487152378,0.7626872448676484,21.675027361908448,611,153,0.0012300862893590558,-0.007653608313021976,0.5555407937433152
c_1016,0.3383541507366218,0.5229356507867403,13.676622048273614,614,154,0.3478017208669357,0.5139317804109284,14.290074087889778,614,154,-0.009447570130313943,0.009003870375811962,-0.6134520396161633
c_10306,0.3482440294691106,0.4004451198259443,1501.7496175098886,614,154,0.3498958781742383,0.4010295572516438,1522.751599498606,614,154,-0.0016518487051276898,-0.0005844374256995244,-21.00198198871749
c_10312,0.352645508836376,0.4505597818051706,26.267948758960408,614,154,0.3192895326828834,0.4103126315689475,23.986002314390813,614,154,0.03335597615349262,0.040247150236223106,2.281946444569595
c_10382,0.5502856755942872,0.7943924316326515,14.512168416808782,614,154,0.5509489858687353,0.7926803926062403,14.592026490627566,614,154,-0.0006633102744481034,0.0017120390264111496,-0.07985807381878374
c_10393,1.1425125143499058,1.485238618054319,10.069955848416646,614,154,1.1531114679365286,1.4936879473947569,10.145024875459027,614,154,-0.010598953586622883,-0.008449329340437961,-0.07506902704238172
c_10641,0.613075405775315,0.8126556659981317,12.00569864801474,613,154,0.5863754414484974,0.7703941902754676,11.588750739499892,613,154,0.02669996432681765,0.04226147572266403,0.41694790851484775
c_10695,0.6488986860808731,0.8966701801238685,19.89189092130289,614,154,0.63970343114487,0.8904394867651344,19.658345216812855,614,154,0.009195254936003039,0.006230693358734052,0.23354570449003376
c_10733,1.7565457235192343,2.230308003784262,4.578952742234066,611,153,1.7676144136357277,2.231522023365973,4.612660031685286,611,153,-0.011068690116493363,-0.0012140195817109678,-0.033707289451220035
c_10878,0.4095030626399304,0.5570834685399031,19.628533912373335,614,154,0.4118594789730776,0.5572886780074063,19.81110147595898,614,154,-0.0023564163331472043,-0.00020520946750324232,-0.1825675635856463
c_10898,0.58637141039635,0.7731697965172708,20.43920948980734,614,154,0.5882831983095519,0.7765384401543982,20.49634508329809,614,154,-0.0019117879132019011,-0.003368643637127411,-0.057135593490748704
c_11013,2.7285458796622204,4.105359269260684,10.762622080831225,612,154,2.733269214823506,4.04162076383406,10.883295063065953,612,154,-0.004723335161285647,0.06373850542662396,-0.12067298223472811
c_11087,6.259831827156962,12.10614060652374,204.42151550060044,614,154,6.341315955758329,12.143608317798146,207.99544643124003,614,154,-0.08148412860136744,-0.03746771127440596,-3.573930930639591
c_11203,1.470692284253315,2.3600673240414207,8.029783908568284,612,154,1.4382352439657524,2.327395812928256,7.941284871601323,612,154,0.03245704028756258,0.0326715111131648,0.08849903696696071
c_11307,2.6050294388770667,4.43805468418097,21.42841491876051,614,154,2.599772794136848,4.427834255988572,21.43252282172822,614,154,0.005256644740218697,0.010220428192397435,-0.004107902967710686
c_11327,0.682861530625915,0.8451041927437478,10.838579448533476,612,153,0.6761880078960535,0.8348698183787383,10.8008119965218,612,153,0.006673522729861547,0.010234374365009513,0.03776745201167664
c_11461,1.5034332086635012,2.1043301454754686,12.05677648568606,609,153,1.4544164221832905,2.0343420952109654,11.734932370577924,609,153,0.04901678648021068,0.06998805026450317,0.32184411510813504
c_11735,2.1386173723487083,4.420634695313217,16.25744690960386,613,154,2.081541006767186,4.383919986397988,15.752291983137551,613,154,0.05707636558152229,0.036714708915229544,0.5051549264663091
c_11752,0.486008816202707,0.6068793662624737,34.93742190930658,612,153,0.4919711095589451,0.6081134757258618,35.69204009360279,612,153,-0.005962293356238102,-0.001234109463388089,-0.7546181842962127
c_1181,5.489640269089423,9.007100015066266,21.63703502114306,609,153,5.491862429044893,8.96833995329392,21.611556620056923,609,153,-0.0022221599554699267,0.03876006177234537,0.025478401086136415
c_1186,0.9838725137250875,1.1772151856046291,12.490414276236269,613,154,0.9899183458354428,1.17486422950655,12.660585753029494,613,154,-0.006045832110355254,0.0023509560980792266,-0.1701714767932252
c_11996,1.342525395179024,1.6746325772760189,13.849565984012155,613,154,1.3379557047956772,1.6551429506370745,13.95790959918067,613,154,0.004569690383346758,0.01948962663894438,-0.10834361516851487
c_12060,0.1406415428737075,0.2373514577182401,553.8732714445467,614,154,0.1393219184435442,0.2378292161176445,533.964054228503,614,154,0.001319624430163313,-0.00047775839940439324,19.90921721604377
c_12158,1.9077646825166223,2.301466731664428,6.796128736614751,611,153,1.9106663974913136,2.30898771468804,6.787862265102428,611,153,-0.002901714974691272,-0.007520983023611816,0.008266471512323292
c_12164,0.7627413380915864,0.990244741807388,10.798421972436866,614,154,0.7588075810014022,0.9877322833694504,10.76692901907045,614,154,0.003933757090184176,0.0025124584379375703,0.031492953366417
c_12174,0.583496991216227,0.7655297546733763,9.234069844912744,614,154,0.5749557041623001,0.7553018590539455,9.081618127389412,614,154,0.008541287053926871,0.010227895619430716,0.15245171752333242
c_12189,0.398792497482458,0.5149830179865396,13.205295595912794,614,154,0.4024761780560019,0.5173666973243207,13.432714898815576,614,154,-0.0036836805735439015,-0.002383679337781164,-0.22741930290278134
c_12193,0.3177763101882266,0.4172464485217362,12.78119154602394,610,153,0.316933921865914,0.4207564636224599,12.673227391040568,610,153,0.0008423883223125928,-0.0035100151007236846,0.10796415498337275
c_12231,6.99236408236623,7.686347643413077,95.194266260781,614,154,7.85918750959097,8.6255976350485,109.14685799570096,614,154,-0.8668234272247402,-0.9392499916354229,-13.952591734919949
c_12237,17.75263578508424,22.750771578157455,53.907302585488495,608,152,17.675737610789266,22.827999641939517,53.914758789478704,608,152,0.07689817429497481,-0.07722806378206215,-0.007456203990209076
c_12441,1.9068755313649617,3.4198497649046864,12.94527226333708,611,153,1.8266581067639935,3.360683822518409,12.392895074274769,611,153,0.08021742460096815,0.05916594238627759,0.5523771890623106
c_12517,1.1616111381231953,1.4007047503255352,6.130661079244063,613,154,1.1290802073804955,1.3714012899737709,6.0046544443293515,613,154,0.03253093074269975,0.029303460351764343,0.1260066349147113
c_12624,0.2710582376060504,0.391249008469739,13.430625797761788,613,154,0.2778658534523479,0.3942650505298057,13.85514034977224,613,154,-0.006807615846297466,-0.003016042060066726,-0.42451455201045185
c_12767,0.5207383265599458,0.6346062304069401,11.181149409637149,614,154,0.5226328974446229,0.6445162966860847,11.194594833926509,614,154,-0.0018945708846771492,-0.009910066279144591,-0.01344542428936002
c_12858,0.3043786587811327,0.4191564693713207,13.355819436212368,614,154,0.3102623125022321,0.4178256137016864,13.753997749104045,614,154,-0.005883653721099391,0.0013308556696342566,-0.3981783128916767
c_1286,0.393571613972804,0.5572837041826793,18.854863958421983,612,154,0.3933469189181538,0.5570774020285941,18.86380194416001,612,154,0.00022469505465017026,0.0002063021540851251,-0.008937985738025844
c_12971,0.961568787576665,1.3417604348165555,22.51877568976022,614,154,0.965601286616744,1.343063431910597,22.727513091244944,614,154,-0.004032499040079074,-0.0013029970940414692,-0.20873740148472564
c_12974,0.5668861738754312,0.7135324052248097,20.876838396933657,612,153,0.5617758974284702,0.7094902000407403,20.721965521254067,612,153,0.005110276446960937,0.004042205184069392,0.1548728756795903
c_12993,5.185642254027727,6.006267307010795,153.01917707028986,613,154,5.087813574401984,5.906397488126685,149.67601312526224,613,154,0.09782867962574304,0.09986981888410984,3.3431639450276123
c_12999,1.432839071551798,1.957929381965169,5.640656728126864,612,153,1.4379966922043337,1.974744277423105,5.665187203643635,612,153,-0.005157620652535666,-0.016814895457935908,-0.024530475516771233
c_13020,0.9974004719163588,1.2077422443754986,5.477178689450015,613,154,0.9742188058469138,1.1856310022704477,5.3714327051342705,613,154,0.02318166606944505,0.022111242105050888,0.10574598431574422
c_13044,0.5312009399781751,0.6773378411459985,37.01300859640655,612,153,0.5339166952754063,0.6789273891780856,37.22565481811777,612,153,-0.002715755297231226,-0.001589548032087107,-0.21264622171121772
c_13083,0.8038932854898352,1.0766339754727892,10.561610079125405,614,154,0.7873580024877608,1.0541661998694418,10.347841672258502,614,154,0.016535283002074408,0.02246777560334734,0.2137684068669028
c_13166,1.2697560866219904,1.5982003649428302,10.004333029634145,614,154,1.2816950852422158,1.6070277600446568,10.107143495434707,614,154,-0.011938998620225405,-0.008827395101826507,-0.10281046580056241
c_13170,2.208466977737233,2.792604986368641,11.283513177606324,614,154,2.1748403333377255,2.7620471102946387,11.201425506308995,614,154,0.033626644399507466,0.030557876074002177,0.08208767129732841
c_13229,1.3726944306637308,2.6033420037478208,10.336873549619476,614,154,1.3682773426796315,2.5988738463196355,10.305493139743325,614,154,0.004417087984099233,0.004468157428185293,0.031380409876151205
c_13269,0.4203680627635289,0.5393636647855904,16.11680740826226,614,154,0.4228511237817396,0.5415910511069288,16.243639157552863,614,154,-0.0024830610182107193,-0.0022273863213384537,-0.12683174929060215
