horizon,mae,rmse,r2,std_ratio
1,0.13713261788980768,0.13713261788980768,,
4,0.10665415402570043,0.12444965643007522,-534.8350878652349,5.049986676393637
12,0.10353972382472598,0.12642695421103572,-107.47591663426246,2.4307895781044437
24,0.09924160676122468,0.1254716673775069,-23.56706686773504,1.6253584235186722
48,0.09962556269952638,0.12714232045133866,-11.078152682411906,1.1859563022981756
96,0.10465421489805454,0.14906177182538255,-2.389407095444858,0.8267844357360024
