container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio
c_10032,0.4512429235100231,0.5435937480961965,0.612891026331636,0.7093507251664576,0.43452070597675263,0.5234592452315832,0.06575665424955485,0.07921433064863839,0.1246552628194327,-0.5810194021852741,0.06299921776343763,0.05545654892921448,0.8802736112923512
c_10034,3.1600990284484105,3.755824665313618,,,3.1600990284484105,3.755824665313618,0.10241055769252212,0.1217164699926989,0.5343371622340223,0.16342057170851465,0.13307478035605072,0.057164426892995834,0.429566193835139
c_10089,1.0608045027203101,1.3993764713576664,1.913483503374249,2.348578674860222,0.850403190870637,1.0394292813187078,0.07223922282460991,0.09529547477474837,0.06307724311963234,-0.7667419902116301,0.07169447891476498,0.06381504237651825,0.8900970247985998
c_10132,0.6282711018906968,0.7919184996182133,1.554121946557368,1.6194462261364406,0.5441028432846358,0.6676289688893746,0.1570666292073087,0.19797818006848547,0.09872235430573349,-0.08532299724075165,0.19003685080271865,0.0739489197731018,0.3891293686500297
c_1016,0.5429867055610079,0.6889594034404454,0.8654839825342295,1.1296559549744432,0.5136687712907151,0.6338811286940558,0.03911621485532065,0.04963194084784468,0.3324767156444069,-0.7099634282817553,0.037954899649077126,0.04699567332863808,1.238197802211309
c_10306,0.38938019134124335,0.4636850061529985,0.5726705868199102,0.6096121782747734,0.3348884521448829,0.4104145758232648,0.11125148324035522,0.13248143032942813,-0.033021824078362585,-0.3540714356396768,0.11385031065216984,0.06332483887672424,0.5562113841761165
c_10312,1.084655175062437,1.4140491653414953,1.3225813919254565,1.6162114142628519,1.009692120434362,1.3440694663311736,0.03085924968768745,0.04023075468332815,0.3671850271212247,-10.293726404940877,0.011971251317778264,0.04264632612466812,3.5623950239299482
c_10382,0.5872360094979642,0.8610422949619676,1.2574003213092062,1.7543027860520015,0.5005088632635682,0.6626191091138058,0.07214886984767566,0.10578920139053616,0.1738009345029946,-0.16713563380855412,0.09792209000249842,0.05853407457470894,0.5977616957850418
c_10393,1.5025403462089562,1.8580121588843221,2.334409325054029,2.540684574950105,1.4164849346042931,1.7724467747839148,0.06861379423183957,0.08484648300566548,0.11990596753948174,-0.3409028201075792,0.07327151863729381,0.05234687030315399,0.7144231657361941
c_10641,0.9885523687882408,1.2121934155943033,1.076391526377483,1.3361426830110152,0.9358488742346953,1.1313241097395423,0.04688985735652445,0.057497789839306646,-0.012850199200481938,-2.3875611276126425,0.031239752235556747,0.04417308792471886,1.4140025052580771
c_10695,0.6840991336695884,0.9352106580627739,1.5920376630969408,1.7561383466532834,0.44516794171502205,0.5414768273202039,0.13224426854320356,0.18078702825700949,0.03338168385273083,-0.28637396422600947,0.1593982852906902,0.06529293954372406,0.4096213420655759
c_10733,1.9364446244362252,2.453778446626402,1.8382679379752347,2.4860346594325864,2.0007672810830806,2.4324131461692704,0.12126191457387064,0.1536578266288633,0.004736552827521761,-0.24547074954448433,0.13768540929770545,0.061849892139434814,0.44921166632625575
c_10878,0.46094712197973225,0.6239527370867137,1.0346486068703284,1.2079730850201889,0.38670340040565526,0.5008609649025313,0.08930317654718108,0.12088363020433758,0.0680517518626324,-0.2143110316630561,0.10969896331687722,0.05863000452518463,0.5344627036795743
c_10898,0.650334438072891,0.8559350708112964,1.7216099821889421,1.827553086958058,0.48254429260893134,0.5694282849294204,0.13983751013038748,0.1840465799261783,-0.07175924871598438,-0.30391600935272645,0.1611769535229937,0.06302890926599503,0.3910541047483147
c_11013,3.4755939386718566,4.6612148199276895,11.2848356783225,11.677363210659134,2.861383914204952,3.5652173996239007,0.07632143765953986,0.1023567834949036,0.05862859521806829,-0.6191109712463254,0.080441159528662,0.05234449729323387,0.6507178364899501
