horizon,mae,rmse,r2,std_actual,std_predicted,std_ratio,container_id
1,0.10816860935996708,0.10816860935996708,,0.0,0.0,,c_10032
4,0.11418493197990207,0.11813707454064379,-3.7588189208954077,0.05415475835223231,0.025014327839016914,0.46190452326126574,c_10032
12,0.07248297790499424,0.0849464855468624,-3.3914866554821383,0.04053588246269994,0.08548857271671295,2.1089604449928356,c_10032
24,0.06846989803636677,0.07749163948001328,-1.6698868157384092,0.04742511841276351,0.06611007452011108,1.393988602088949,c_10032
48,0.06352929983097538,0.0731082690739911,-1.4665888875145732,0.04654983182372907,0.05396314337849617,1.1592553885659393,c_10032
96,0.06575665424955485,0.07921433064863839,-0.5810194021852741,0.06299921776343763,0.05545654892921448,0.8802736112923512,c_10032
1,0.01531387456040667,0.01531387456040667,,0.0,0.0,,c_10034
4,0.1317727653261755,0.15070456977105187,-21.6616826406523,0.03165777184555764,0.053861528635025024,1.7013682737303295,c_10034
12,0.15460114100000957,0.1682683464358284,-49.60218778035045,0.023654718274032937,0.050027087330818176,2.114888317470921,c_10034
24,0.14691277649944665,0.1611262079462869,-30.021621386353196,0.028929034519932714,0.05340603366494179,1.846104944433728,c_10034
48,0.12786271255364293,0.14323735798678164,-4.262904902984037,0.062437217488051436,0.051693499088287354,0.8279276554593404,c_10034
96,0.10241055769252212,0.1217164699926989,0.16342057170851465,0.13307478035605072,0.057164426892995834,0.429566193835139,c_10034
1,0.2681652558465729,0.2681652558465729,,0.0,0.0,,c_10089
4,0.18351785030946952,0.1977376246816903,-46.88095299058448,0.02857642656459682,0.05836258456110954,2.042333194781416,c_10089
12,0.1137284421444908,0.13591554720008323,-6.086759358984373,0.05105582461552996,0.09210441261529922,1.8039942221848526,c_10089
24,0.10214903885058484,0.1344768522545211,-1.6422314929367112,0.08272982440833422,0.0719708725810051,0.8699507474568595,c_10089
48,0.08270666451178214,0.10848628670301083,-0.9355716903665194,0.07797766270714179,0.06971313059329987,0.8940141083109817,c_10089
96,0.07223922282460991,0.09529547477474837,-0.7667419902116301,0.07169447891476498,0.06381504237651825,0.8900970247985998,c_10089
1,0.5476695495066304,0.5476695495066304,,0.0,0.0,,c_10132
4,0.35833518193294767,0.3921148719117912,-8.843018609498017,0.12498248666603785,0.07266097515821457,0.5813692549770585,c_10132
12,0.21213119861050858,0.2622940552656952,-0.48883726454307097,0.21496355341671938,0.056378986686468124,0.2622723051901462,c_10132
24,0.20957400403345153,0.25722484458031103,-0.2843740342907375,0.22696931920031777,0.06605372577905655,0.2910249103790063,c_10132
48,0.17576950110172826,0.22158105577347115,-0.07362998340781046,0.21384805841754503,0.0631299540400505,0.29520938608096825,c_10132
96,0.1570666292073087,0.19797818006848547,-0.08532299724075165,0.19003685080271865,0.0739489197731018,0.3891293686500297,c_10132
1,0.13455387594014886,0.13455387594014886,,0.0,0.0,,c_1016
4,0.04116053743749426,0.06860245848639271,-3.760751600810724,0.03144140310319653,0.08091671019792557,2.5735718578570395,c_1016
12,0.033572202321022225,0.05119018690328753,-0.8177305060474149,0.03796837124542303,0.06581613421440125,1.7334463411394077,c_1016
24,0.03809946168513833,0.05104109503938884,-1.501864689093006,0.03226919076031315,0.05611990764737129,1.7391172919152154,c_1016
48,0.03735975909689067,0.04838056839469843,-1.1036264932676634,0.033356974309044295,0.044961705803871155,1.3478952073803767,c_1016
96,0.03911621485532065,0.04963194084784468,-0.7099634282817553,0.037954899649077126,0.04699567332863808,1.238197802211309,c_1016
1,0.17293731169075455,0.17293731169075455,,0.0,0.0,,c_10306
4,0.106290506330502,0.12635901968407867,-2.0160145436716443,0.07275947088986824,0.03358308598399162,0.4615630868842405,c_10306
12,0.09147593074442485,0.1096516687628824,-0.594733398279885,0.08683027983141892,0.02777973562479019,0.31993143035729676,c_10306
24,0.11014167500068338,0.1316624704804846,-0.60323532113408,0.10398324436651984,0.049633122980594635,0.47731846878760525,c_10306
48,0.10510152542713386,0.12467845167628297,-0.3125397050661869,0.10882662865996756,0.0441664457321167,0.40584226742993423,c_10306
96,0.11125148324035522,0.13248143032942813,-0.3540714356396768,0.11385031065216984,0.06332483887672424,0.5562113841761165,c_10306
1,0.08464495334487682,0.08464495334487682,,0.0,0.0,,c_10312
4,0.0898717178769003,0.09047095963469341,-82.36311976513227,0.009908826344948737,0.01580626145005226,1.5951698919529338,c_10312
12,0.04000152675495552,0.05412471864596341,-6.764043403016036,0.019424581668434412,0.057649850845336914,2.967881204825112,c_10312
24,0.03355751516916062,0.04513271237496243,-7.838156008908138,0.01518135733684262,0.042921144515275955,2.827227076139859,c_10312
48,0.025519067957527147,0.03546110431314081,-7.3755402078855585,0.012253096170055908,0.03818536177277565,3.1163847278121395,c_10312
