band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
1-4,0.11418493197990207,0.11813707454064379,-3.7588189208954077,0.9745302003731338,0.46190452326126574,c_10032
5-12,0.051632000867540336,0.06201349788259118,-2.9526836090776594,0.622203312915836,1.9174098119983485,c_10032
13-24,0.06445681816773931,0.06923873895325798,-0.8683630219320495,0.13747759829036948,0.6408828435772224,c_10032
25-48,0.058588701625583973,0.0684447501616436,-1.2483492563003726,0.2947178050914801,0.6443478637436633,c_10032
49-96,0.06798400866813431,0.08488227938285199,-0.3156875741927081,0.17824735057605595,0.7439985775616706,c_10032
1-4,0.1317727653261755,0.15070456977105187,-21.6616826406523,-0.9981168031473767,1.7013682737303295,c_10034
5-12,0.1660153288369266,0.17639563754082188,-91.28927786908397,-0.9393313034071592,2.289383381397492,c_10034
13-24,0.13922441199888366,0.15365244339759854,-24.514782877309663,-0.035124193256974245,1.8537805545638206,c_10034
25-48,0.10881264860783928,0.12276899673336418,-4.790063820500858,0.08711322863626006,0.5863017245037881,c_10034
49-96,0.0769584028314013,0.09546128750406475,-0.5993707606689664,0.005733336814010344,0.5881330543586426,c_10034
1-4,0.18351785030946952,0.1977376246816903,-46.88095299058448,-0.3593259590343305,2.042333194781416,c_10089
5-12,0.07883373806200143,0.09032978384048403,-1.4231363740598804,-0.8354179882946723,0.6151143283206566,c_10089
13-24,0.09056963555667889,0.13302259813231188,-1.0463563440457087,-0.09748265106473492,0.35272099162942594,c_10089
25-48,0.06326429017297942,0.07385475619708882,-0.03209626436965962,0.27387574928140823,0.4867762510142175,c_10089
49-96,0.0617717811374377,0.07995736753096327,-0.6074690893974628,0.148320064843528,0.9012995729023621,c_10089
1-4,0.35833518193294767,0.3921148719117912,-8.843018609498017,-0.24499282783897505,0.5813692549770585,c_10132
5-12,0.13902920694928905,0.16223507868024464,-0.4696730644641405,-0.4270133750767744,0.16648255742859805,c_10132
13-24,0.20701680945639447,0.25205370441833763,-0.4626793309495869,0.2566146488806831,0.2205113008995775,c_10132
25-48,0.14196499817000496,0.1789740424922204,0.0845459629245332,0.42291125925840417,0.23745458269462183,c_10132
49-96,0.13836375731288916,0.17115068007102158,-0.12190121954079158,0.14152257707309426,0.5159093462941027,c_10132
1-4,0.04116053743749426,0.06860245848639271,-3.760751600810724,0.7055263844569648,2.5735718578570395,c_1016
5-12,0.029778034762786204,0.0397178070593235,8.887745493146859e-05,0.7160432432250143,1.4017824692634808,c_1016
13-24,0.04262672104925443,0.0508915663980422,-3.1671534709499403,0.0967272414296099,1.6293648392497253,c_1016
25-48,0.036620056508643,0.04556495817586428,-0.7594392270027084,0.058580206395416584,0.8651961109996813,c_1016
49-96,0.040872670613750633,0.05085252900745266,-0.5667229999677783,0.403079526322161,1.1911660771669685,c_1016
1-4,0.106290506330502,0.12635901968407867,-2.0160145436716443,-0.998055719270511,0.4615630868842405,c_10306
5-12,0.08406864295138627,0.1002593225888078,-0.2401067356617348,-0.26099460959405385,0.2618674743352785,c_10306
13-24,0.1288074192569419,0.15048762010067163,-0.7367161993681384,-0.43493888812612225,0.44746584924936605,c_10306
25-48,0.10006137585358432,0.11727926710107793,-0.12155814547933019,0.005404257946287849,0.33936286654144127,c_10306
49-96,0.1174014410535766,0.13984971380688277,-0.3931334969392426,0.019909615650315765,0.6459848899663662,c_10306
1-4,0.0898717178769003,0.09047095963469341,-82.36311976513227,0.7660310985188257,1.5951698919529338,c_10312
5-12,0.015066431193983139,0.017370391018796453,0.24130055108871384,0.8752364907317112,1.5964316604113702,c_10312
13-24,0.0271135035833657,0.03382954750122259,-21.46571728155275,-0.3291688158907227,2.380565320774043,c_10312
25-48,0.017480620745893682,0.0218636253145223,-5.856641998806257,-0.05180103914073647,2.023574681129838,c_10312
49-96,0.036199431417847754,0.04449199170269641,-13.63664908365544,0.29819954563249024,3.999152788188035,c_10312
1-4,0.12325693293981412,0.16102615141010937,-8.997040431767985,-0.9602223935776123,1.5496105723320552,c_10382
5-12,0.03856995877710985,0.04688405937037968,0.18552828286296008,0.5477141991890122,0.6834732927900746,c_10382
13-24,0.04965744686206111,0.05927642732552388,-0.5221658110088396,0.5695478881470166,1.3901484422677504,c_10382
25-48,0.058051047570625965,0.06663666418434601,-0.0662886718608342,0.15633950948591202,0.3789578303861086,c_10382
49-96,0.08615811665335354,0.1294485473927633,-0.1300780742830998,0.17550205756961107,0.5330288548528421,c_10382
1-4,0.05843978512933215,0.06620846444277007,-7.180217410475013,-0.07721106807732525,1.8469339147166555,c_10393
5-12,0.07311470240319812,0.09440086431042938,-0.0674786362333406,0.4584542373633065,0.5767786677806082,c_10393
13-24,0.06332143354588853,0.0711662888264054,0.43477949228916135,0.6787229694944537,0.6016829865290105,c_10393
25-48,0.07259180320534023,0.08490634535384471,-0.9330326262252324,-0.6316663383319632,0.521955632658644,c_10393
49-96,0.06804556264655953,0.08761619060296753,-0.6718142629447545,0.059041025475466705,0.8718531650383534,c_10393
1-4,0.06405830218215688,0.07865305731313262,-15.325675393317816,-0.27871234019215435,1.8600477989189312,c_10641
5-12,0.030428210817433278,0.03815317179994147,-9.76152527532516,-0.3107043630600351,2.7610851532275547,c_10641
13-24,0.036415097624555505,0.04482446246147432,-2.71788973362452,0.2010402812548862,1.7637516442797112,c_10641
25-48,0.03793097417289021,0.048620175152821264,-1.134671605092791,-0.07331908134974505,0.8524082045182755,c_10641
49-96,0.05530089290237963,0.0645723378054932,-3.0921038829590826,-0.13937344521476147,1.4990684046677396,c_10641
1-4,0.14048866419433653,0.1726927368438176,-8.93200953624425,0.5417053301052142,2.170304191751264,c_10695
