container_id,day1_mae,day1_rmse,day1_mape,train_steps,validation_steps
c_10032,0.8135422079099549,1.0116342800286102,23.879625284733578,614,154
c_10034,6.504191973970996,7.410873580268894,90.60087388816775,613,154
c_10089,0.9946638299359215,1.2764777234701137,10.267316092417273,614,154
c_10132,0.6645563102430767,0.7937106669473543,25.84510255420785,611,153
c_1016,0.36403759171565375,0.5735541347415278,14.474371674745552,614,154
c_10306,0.34667221373981905,0.41723444917298397,1188.574673998603,614,154
c_10312,0.4691326975115333,0.5911662663597108,35.64250537572171,614,154
c_10382,0.5670947362979254,0.7970414150084341,15.197615584377383,614,154
c_10393,1.5552987151675757,2.1128980923694574,13.38292135004448,614,154
c_10641,0.9274216334025066,1.2633648965377609,17.601373873977344,613,154
c_10695,0.6048463097876973,0.8454449244649661,19.66328607323019,614,154
c_10733,2.834604682745757,3.509141557622097,7.218420763458276,611,153
c_10878,0.4114207963148753,0.5769649469372191,20.136629544248063,614,154
c_10898,0.568020410504606,0.7460306054512051,20.23379172490256,614,154
c_11013,4.293277836508221,5.515957889239738,17.676056853007793,612,154
c_11087,6.929827322562535,11.847125277657065,252.8092322924191,614,154
c_11203,2.0113665809233985,2.932424920614466,11.545522097862538,612,154
c_11307,2.544108198748695,4.677663100116183,19.148826088145512,614,154
c_11327,0.7217837792067301,0.9288742794976514,12.29101274958479,612,153
c_11461,2.700024541881349,3.4543600446297242,25.809205194348166,609,153
c_11735,2.7725197248988684,4.581780929897904,23.473849312494398,613,154
c_11752,0.44874883877734345,0.6225988672368181,30.086214999241335,612,153
c_1181,7.055913628869587,10.22034881140725,44.58438980906875,609,153
c_1186,1.9974076673388481,2.4294098621911493,22.61598748017676,613,154
c_11996,1.747551343838374,2.0953778863250543,17.655294915521015,613,154
c_12060,0.18025793142409788,0.24695153033460554,955.2427513321533,614,154
c_12158,4.020762854152256,5.055006556094251,13.314785003654315,611,153
c_12164,0.8304649117920135,1.0590380150514405,11.536001733714093,614,154
c_12174,0.667573923865954,0.8790657569007055,10.538438699230191,614,154
c_12189,0.5432471326655811,0.7003668977816099,16.515130144853725,614,154
c_12193,0.3227718359894223,0.40220375449200335,13.44444698254194,610,153
c_12231,10.035881229407257,13.009594188129673,57.59552786485037,614,154
c_12237,13.624608235889012,15.96660668148455,26.039377051573027,608,152
c_12441,2.5848506920867496,3.772772148295751,19.083403080812236,611,153
c_12517,1.8524646706051298,2.5129200245068577,9.805105928032635,613,154
c_12624,0.30463663935661317,0.4319593383785207,15.211282388156683,613,154
c_12767,0.5677131259882893,0.6928766232188074,12.19048680597811,614,154
c_12858,0.3217490331994163,0.43104108097744726,14.142612543109609,614,154
c_1286,0.3958231000436678,0.569444941654516,19.607369080867123,612,154
c_12971,0.9566755819651815,1.3982595369250543,21.659544928193597,614,154
c_12974,0.5393464567405838,0.6872534593082413,20.73725872520935,612,153
c_12993,4.2279125043639425,5.13293425555969,97.0435620091308,613,154
c_12999,2.2649921695391337,3.061562115651459,8.485934993291178,612,153
c_13020,1.2273989333046809,1.4662955615670188,6.906794589318606,613,154
c_13044,0.5223692974282637,0.6836051456891423,34.999408460920094,612,153
c_13083,0.8799214780330656,1.1058010344066465,12.134616458135994,614,154
c_13166,1.3979926857683396,1.8467131815294509,9.753422357441181,614,154
c_13170,3.0650235275427504,3.753403919753192,15.224251678053072,614,154
c_13229,1.4605825068458678,2.6912785466254263,11.229915462427687,614,154
c_13269,0.4524501141574648,0.5557902704479835,18.544947405252906,614,154
c_13308,0.0029262188230253137,0.0036272054094715566,29.262188230253134,614,154
c_13389,6.201519349997952,7.80515396421974,28.939366852695542,613,154
c_13403,0.2702376822906512,0.4367464920821859,11.612958041330849,613,154
c_13441,1.52947532998191,1.9118281269370376,12.154022462741887,610,153
c_13607,2.06031530642951,4.247249654519879,28.651929595769403,614,154
c_13615,2.4091816470026965,4.138860633632024,31.19928051565469,614,154
c_13658,1.2121832619110744,2.8073197347285244,17.124147016641547,613,154
c_13690,1.3914658384190666,2.388430353803433,44.5604599817844,614,154
c_1379,0.4038797175836941,0.5149457785428628,15.474394634364522,614,154
c_1387,0.4263681942390071,0.5983766753545228,13.56638466033637,613,154
c_13873,1.8994915352927313,3.7156164407767185,27.052788331025507,612,153
c_14106,0.011687029231097767,0.05772168530508967,40.174543990876074,608,153
c_14135,4.029360111554464,4.814646607940406,15.93267971931093,614,154
c_14296,4.331523454851574,5.3435951999833025,38.873465466203236,614,154
c_14363,0.48158834626277286,0.9883784332910681,14.45097486511778,613,154
c_14388,1.2869946711593203,1.547008234952769,14.5484826479614,613,154
c_14396,2.011738377809525,2.628258807733353,9.99046186194265,613,154
c_14413,0.5208129042552577,0.7303298064354321,17.29350713717704,614,154
c_14416,0.3065713885757658,0.5398534756884348,11.849463276544627,614,154
c_14417,1.2862112058533561,1.6845319974934418,12.758495341007183,614,154
c_14435,0.5332736707632504,0.6334780839276353,12.015462056492117,614,154
c_14471,3.224648966959544,4.068054379394505,17.65724914393546,608,152
c_14820,4.982377286752065,6.7958485575210705,21.61732110120521,613,154
c_14855,0.8483588481942812,1.1390265633161718,12.070255713288464,613,154
c_14886,3.110876355568569,3.8428302427705443,15.093487273297265,613,154
c_1494,0.2890779612792863,0.3970305783378014,21.092619604810523,613,154
c_14964,2.7004290156894264,3.316048930869899,24.24586691129583,612,154
c_15030,4.535636155141725,5.305533416120284,23.04077688115917,613,154
c_15035,0.013055095225960637,0.10236582543697029,27.171022533245075,609,153
c_15072,1.3989227443933487,2.532011107999811,15.430085065537783,614,154
c_15179,2.420780262461415,3.210692843508494,20.768738765235643,613,154
c_15235,2.6022546192010245,3.4311583313380445,11.53672571106551,613,154
c_15282,0.32910528613461393,0.41166936146121796,26.412379254720044,613,154
c_15420,1.5831693982084591,1.952650588524787,49.65215349978872,611,153
c_15446,0.10694612585131026,0.4734508439036867,417.2045250015799,614,154
c_15486,1.0325703307986258,1.3438766363055918,27.12393786798292,614,154
c_15527,4.989657688140869,6.512261015801389,12.393732613767302,600,150
c_15555,1.4775575903199971,1.8414822329965568,6419.703937904135,610,153
c_15570,0.7999445647001268,1.0312181048058784,12.704604431569514,614,154
c_15604,0.7262138231760926,1.8047311397415473,29.45049296935836,614,154
c_15616,1.920488445626365,2.5405598762961636,29.32226076329769,614,154
c_15630,1.2518214900342244,1.5603219314430812,16.297427484493408,613,154
c_15640,8.111424615979194,9.45783864256063,223.8463726202804,614,154
c_15642,0.5025872637828191,0.6214446621165866,9.527459253509608,613,154
c_15647,1.4713246986269952,1.8673579777075093,24.856661081518165,614,154
c_15794,0.02717634140996476,0.03372187747842187,271.76341409964755,612,154
c_15856,0.5534818467442636,0.7232249006984116,33.10225504406946,608,153
c_16008,11.823492195208866,13.866651285903725,40.723727972029835,614,154
c_16048,4.6682579166359375,5.767533347988279,41.570242628371105,614,154
