container_id,band,band_range,sigma_actual,sigma_predicted,std_ratio,flagged_low_sigma,arm
c_10898,h25_48,25-48,0.1719909859646619,0.0036839277017861605,0.02141930683822627,False,mse
c_10898,h49_72,49-72,0.12012371012714441,0.003579351119697094,0.02979720752804376,False,mse
c_10898,h73_96,73-96,0.12802076863020567,0.004497168119996786,0.03512842617737345,False,mse
c_11013,h01_12,1-12,0.10530878118656904,0.005940788425505161,0.05641303943096858,False,mse
c_11013,h13_24,13-24,0.12414598867868235,0.005799876060336828,0.04671819139761501,False,mse
c_11013,h25_48,25-48,0.07568855765900487,0.003678840585052967,0.04860497674730476,False,mse
c_11013,h49_72,49-72,0.06715537090064264,0.007225780747830868,0.1075979575560906,False,mse
c_11013,h73_96,73-96,0.027713326995629218,0.011985857971012592,0.4324943725776025,False,mse
c_11087,h01_12,1-12,0.09922624974333936,0.00407708715647459,0.041088796231042356,False,mse
c_11087,h13_24,13-24,0.014967142653454418,0.004494347609579563,0.30028093629095376,False,mse
c_11087,h25_48,25-48,0.11457211819820656,0.0025271286722272635,0.022057100034193325,False,mse
c_11087,h49_72,49-72,0.07242423940014066,0.0027522132731974125,0.03800127272295617,False,mse
c_11087,h73_96,73-96,0.19973849052108955,0.003695329651236534,0.018500838979987985,False,mse
c_11203,h01_12,1-12,0.038206157258272984,0.014974702149629593,0.3919447341537349,False,mse
c_11203,h13_24,13-24,0.03930960758317666,0.006966161075979471,0.17721268423347936,False,mse
c_11203,h25_48,25-48,0.08345247030024548,0.0036453574430197477,0.043681839853325764,False,mse
c_11203,h49_72,49-72,0.048203671902179474,0.007528282701969147,0.15617654018653224,False,mse
c_11203,h73_96,73-96,0.10915579883029285,0.013631993904709816,0.12488565931255567,False,mse
c_11307,h01_12,1-12,0.19869043295503186,0.021126337349414825,0.1063279043445247,False,mse
c_11307,h13_24,13-24,0.2606803526737672,0.01083284243941307,0.041556037224523834,False,mse
c_11307,h25_48,25-48,0.3969194175464385,0.009122676216065884,0.02298369848584834,False,mse
c_11307,h49_72,49-72,0.09318840573354999,0.00817988533526659,0.08777792978511748,False,mse
c_11307,h73_96,73-96,0.2007347135399136,0.019429046660661697,0.09678966989831818,False,mse
